[DMH_INCIDENT].[FechaHoraID].[FechaHoraID].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[FechaHoraID].[FechaHoraID].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[FechaHoraID].&[2020010510],2020010510,341
[DMH_INCIDENT].[FechaHoraID].&[2020010511],2020010511,375
[DMH_INCIDENT].[FechaHoraID].&[2020010512],2020010512,389
[DMH_INCIDENT].[FechaHoraID].&[2020010513],2020010513,394
[DMH_INCIDENT].[FechaHoraID].&[2020010514],2020010514,462
[DMH_INCIDENT].[FechaHoraID].&[2020010515],2020010515,408
[DMH_INCIDENT].[FechaHoraID].&[2020010516],2020010516,382
[DMH_INCIDENT].[FechaHoraID].&[2020010517],2020010517,407
[DMH_INCIDENT].[FechaHoraID].&[2020010518],2020010518,397
[DMH_INCIDENT].[FechaHoraID].&[2020010519],2020010519,547
[DMH_INCIDENT].[FechaHoraID].&[2020010520],2020010520,584
[DMH_INCIDENT].[FechaHoraID].&[2020010521],2020010521,562
[DMH_INCIDENT].[FechaHoraID].&[2020010522],2020010522,583
[DMH_INCIDENT].[FechaHoraID].&[2020010523],2020010523,440
[DMH_INCIDENT].[FechaHoraID].&[2020010600],2020010600,379
[DMH_INCIDENT].[FechaHoraID].&[2020010601],2020010601,212
[DMH_INCIDENT].[FechaHoraID].&[2020010602],2020010602,205
[DMH_INCIDENT].[FechaHoraID].&[2020010603],2020010603,139
[DMH_INCIDENT].[FechaHoraID].&[2020010604],2020010604,97
[DMH_INCIDENT].[FechaHoraID].&[2020010605],2020010605,111
[DMH_INCIDENT].[FechaHoraID].&[2020010606],2020010606,193
[DMH_INCIDENT].[FechaHoraID].&[2020010607],2020010607,257
[DMH_INCIDENT].[FechaHoraID].&[2020010608],2020010608,327
[DMH_INCIDENT].[FechaHoraID].&[2020010609],2020010609,396
[DMH_INCIDENT].[FechaHoraID].&[2020010610],2020010610,504
[DMH_INCIDENT].[FechaHoraID].&[2020010611],2020010611,454
[DMH_INCIDENT].[FechaHoraID].&[2020010612],2020010612,377
[DMH_INCIDENT].[FechaHoraID].&[2020010613],2020010613,400
[DMH_INCIDENT].[FechaHoraID].&[2020010614],2020010614,502
[DMH_INCIDENT].[FechaHoraID].&[2020010615],2020010615,509
[DMH_INCIDENT].[FechaHoraID].&[2020010616],2020010616,476
[DMH_INCIDENT].[FechaHoraID].&[2020010617],2020010617,418
[DMH_INCIDENT].[FechaHoraID].&[2020010618],2020010618,430
[DMH_INCIDENT].[FechaHoraID].&[2020010619],2020010619,492
[DMH_INCIDENT].[FechaHoraID].&[2020010620],2020010620,535
[DMH_INCIDENT].[FechaHoraID].&[2020010621],2020010621,526
[DMH_INCIDENT].[FechaHoraID].&[2020010622],2020010622,500
[DMH_INCIDENT].[FechaHoraID].&[2020010623],2020010623,445
[DMH_INCIDENT].[FechaHoraID].&[2020010700],2020010700,324
[DMH_INCIDENT].[FechaHoraID].&[2020010701],2020010701,244
[DMH_INCIDENT].[FechaHoraID].&[2020010702],2020010702,195
[DMH_INCIDENT].[FechaHoraID].&[2020010703],2020010703,118
[DMH_INCIDENT].[FechaHoraID].&[2020010704],2020010704,102
[DMH_INCIDENT].[FechaHoraID].&[2020010705],2020010705,99
[DMH_INCIDENT].[FechaHoraID].&[2020010706],2020010706,177
[DMH_INCIDENT].[FechaHoraID].&[2020010707],2020010707,225
[DMH_INCIDENT].[FechaHoraID].&[2020010708],2020010708,299
[DMH_INCIDENT].[FechaHoraID].&[2020010709],2020010709,404
[DMH_INCIDENT].[FechaHoraID].&[2020010710],2020010710,451
[DMH_INCIDENT].[FechaHoraID].&[2020010711],2020010711,413
[DMH_INCIDENT].[FechaHoraID].&[2020010712],2020010712,455
[DMH_INCIDENT].[FechaHoraID].&[2020010713],2020010713,460
[DMH_INCIDENT].[FechaHoraID].&[2020010714],2020010714,428
[DMH_INCIDENT].[FechaHoraID].&[2020010715],2020010715,457
[DMH_INCIDENT].[FechaHoraID].&[2020010716],2020010716,401
[DMH_INCIDENT].[FechaHoraID].&[2020010717],2020010717,389
[DMH_INCIDENT].[FechaHoraID].&[2020010718],2020010718,412
[DMH_INCIDENT].[FechaHoraID].&[2020010719],2020010719,423
[DMH_INCIDENT].[FechaHoraID].&[2020010720],2020010720,413
[DMH_INCIDENT].[FechaHoraID].&[2020010721],2020010721,430
[DMH_INCIDENT].[FechaHoraID].&[2020010722],2020010722,460
[DMH_INCIDENT].[FechaHoraID].&[2020010723],2020010723,367
[DMH_INCIDENT].[FechaHoraID].&[2020010800],2020010800,289
[DMH_INCIDENT].[FechaHoraID].&[2020010801],2020010801,202
[DMH_INCIDENT].[FechaHoraID].&[2020010802],2020010802,147
[DMH_INCIDENT].[FechaHoraID].&[2020010803],2020010803,90
[DMH_INCIDENT].[FechaHoraID].&[2020010804],2020010804,90
[DMH_INCIDENT].[FechaHoraID].&[2020010805],2020010805,88
[DMH_INCIDENT].[FechaHoraID].&[2020010806],2020010806,204
[DMH_INCIDENT].[FechaHoraID].&[2020010807],2020010807,270
[DMH_INCIDENT].[FechaHoraID].&[2020010808],2020010808,317
[DMH_INCIDENT].[FechaHoraID].&[2020010809],2020010809,408
[DMH_INCIDENT].[FechaHoraID].&[2020010810],2020010810,471
[DMH_INCIDENT].[FechaHoraID].&[2020010811],2020010811,426
[DMH_INCIDENT].[FechaHoraID].&[2020010812],2020010812,413
[DMH_INCIDENT].[FechaHoraID].&[2020010813],2020010813,440
[DMH_INCIDENT].[FechaHoraID].&[2020010814],2020010814,487
[DMH_INCIDENT].[FechaHoraID].&[2020010815],2020010815,447
[DMH_INCIDENT].[FechaHoraID].&[2020010816],2020010816,417
[DMH_INCIDENT].[FechaHoraID].&[2020010817],2020010817,429
[DMH_INCIDENT].[FechaHoraID].&[2020010818],2020010818,459
[DMH_INCIDENT].[FechaHoraID].&[2020010819],2020010819,527
[DMH_INCIDENT].[FechaHoraID].&[2020010820],2020010820,466
[DMH_INCIDENT].[FechaHoraID].&[2020010821],2020010821,470
[DMH_INCIDENT].[FechaHoraID].&[2020010822],2020010822,530
[DMH_INCIDENT].[FechaHoraID].&[2020010823],2020010823,386
[DMH_INCIDENT].[FechaHoraID].&[2020010900],2020010900,311
[DMH_INCIDENT].[FechaHoraID].&[2020010901],2020010901,228
[DMH_INCIDENT].[FechaHoraID].&[2020010902],2020010902,159
[DMH_INCIDENT].[FechaHoraID].&[2020010903],2020010903,135
[DMH_INCIDENT].[FechaHoraID].&[2020010904],2020010904,112
[DMH_INCIDENT].[FechaHoraID].&[2020010905],2020010905,119
