[DMH_INCIDENT].[IncidentNewTypeId].[IncidentNewTypeId].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[IncidentNewTypeId].[IncidentNewTypeId].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[IncidentNewTypeId].&[20724],20724,33066
[DMH_INCIDENT].[IncidentNewTypeId].&[20725],20725,330
[DMH_INCIDENT].[IncidentNewTypeId].&[20726],20726,347
[DMH_INCIDENT].[IncidentNewTypeId].&[20727],20727,277533
[DMH_INCIDENT].[IncidentNewTypeId].&[20728],20728,24586
[DMH_INCIDENT].[IncidentNewTypeId].&[20729],20729,11676
[DMH_INCIDENT].[IncidentNewTypeId].&[20730],20730,191074
[DMH_INCIDENT].[IncidentNewTypeId].&[20731],20731,5609
[DMH_INCIDENT].[IncidentNewTypeId].&[20732],20732,146086
[DMH_INCIDENT].[IncidentNewTypeId].&[20733],20733,17787
[DMH_INCIDENT].[IncidentNewTypeId].&[20734],20734,15780
[DMH_INCIDENT].[IncidentNewTypeId].&[20735],20735,17540
[DMH_INCIDENT].[IncidentNewTypeId].&[20736],20736,69104
[DMH_INCIDENT].[IncidentNewTypeId].&[20737],20737,51363
[DMH_INCIDENT].[IncidentNewTypeId].&[20738],20738,11089
[DMH_INCIDENT].[IncidentNewTypeId].&[20739],20739,58341
[DMH_INCIDENT].[IncidentNewTypeId].&[20740],20740,60753
[DMH_INCIDENT].[IncidentNewTypeId].&[20741],20741,5585
[DMH_INCIDENT].[IncidentNewTypeId].&[20742],20742,2260
[DMH_INCIDENT].[IncidentNewTypeId].&[20743],20743,7870
[DMH_INCIDENT].[IncidentNewTypeId].&[20744],20744,9795
[DMH_INCIDENT].[IncidentNewTypeId].&[20745],20745,1424
[DMH_INCIDENT].[IncidentNewTypeId].&[20746],20746,12550
[DMH_INCIDENT].[IncidentNewTypeId].&[20747],20747,357505
[DMH_INCIDENT].[IncidentNewTypeId].&[20748],20748,77518
[DMH_INCIDENT].[IncidentNewTypeId].&[20749],20749,1300
[DMH_INCIDENT].[IncidentNewTypeId].&[20750],20750,447
[DMH_INCIDENT].[IncidentNewTypeId].&[20751],20751,1282
[DMH_INCIDENT].[IncidentNewTypeId].&[20752],20752,130944
[DMH_INCIDENT].[IncidentNewTypeId].&[20753],20753,3952
[DMH_INCIDENT].[IncidentNewTypeId].&[20754],20754,146
[DMH_INCIDENT].[IncidentNewTypeId].&[20755],20755,14450
[DMH_INCIDENT].[IncidentNewTypeId].&[20756],20756,153133
[DMH_INCIDENT].[IncidentNewTypeId].&[20757],20757,8734
[DMH_INCIDENT].[IncidentNewTypeId].&[20758],20758,762
[DMH_INCIDENT].[IncidentNewTypeId].&[20759],20759,290
[DMH_INCIDENT].[IncidentNewTypeId].&[20760],20760,10273
[DMH_INCIDENT].[IncidentNewTypeId].&[20761],20761,611
[DMH_INCIDENT].[IncidentNewTypeId].&[20762],20762,666
[DMH_INCIDENT].[IncidentNewTypeId].&[20763],20763,13053
[DMH_INCIDENT].[IncidentNewTypeId].&[20764],20764,2651
[DMH_INCIDENT].[IncidentNewTypeId].&[20765],20765,1274
[DMH_INCIDENT].[IncidentNewTypeId].&[20766],20766,5375
[DMH_INCIDENT].[IncidentNewTypeId].&[20767],20767,1998
[DMH_INCIDENT].[IncidentNewTypeId].&[20768],20768,3941
[DMH_INCIDENT].[IncidentNewTypeId].&[20769],20769,105931
[DMH_INCIDENT].[IncidentNewTypeId].&[20770],20770,574
[DMH_INCIDENT].[IncidentNewTypeId].&[20771],20771,289
[DMH_INCIDENT].[IncidentNewTypeId].&[20772],20772,12795
[DMH_INCIDENT].[IncidentNewTypeId].&[20773],20773,1217
[DMH_INCIDENT].[IncidentNewTypeId].&[20774],20774,4672
[DMH_INCIDENT].[IncidentNewTypeId].&[20775],20775,285
[DMH_INCIDENT].[IncidentNewTypeId].&[20776],20776,6754
[DMH_INCIDENT].[IncidentNewTypeId].&[20777],20777,3030
[DMH_INCIDENT].[IncidentNewTypeId].&[20778],20778,270
[DMH_INCIDENT].[IncidentNewTypeId].&[20779],20779,329
[DMH_INCIDENT].[IncidentNewTypeId].&[20780],20780,514
[DMH_INCIDENT].[IncidentNewTypeId].&[20781],20781,32
[DMH_INCIDENT].[IncidentNewTypeId].&[20782],20782,53
[DMH_INCIDENT].[IncidentNewTypeId].&[20783],20783,10770
[DMH_INCIDENT].[IncidentNewTypeId].&[20784],20784,193
[DMH_INCIDENT].[IncidentNewTypeId].&[20785],20785,258
[DMH_INCIDENT].[IncidentNewTypeId].&[20786],20786,8716
[DMH_INCIDENT].[IncidentNewTypeId].&[20787],20787,103
[DMH_INCIDENT].[IncidentNewTypeId].&[20788],20788,154
[DMH_INCIDENT].[IncidentNewTypeId].&[20789],20789,6465
[DMH_INCIDENT].[IncidentNewTypeId].&[20790],20790,153
[DMH_INCIDENT].[IncidentNewTypeId].&[20791],20791,312
[DMH_INCIDENT].[IncidentNewTypeId].&[20792],20792,1205
[DMH_INCIDENT].[IncidentNewTypeId].&[20793],20793,429
[DMH_INCIDENT].[IncidentNewTypeId].&[20794],20794,33
[DMH_INCIDENT].[IncidentNewTypeId].&[20795],20795,90
[DMH_INCIDENT].[IncidentNewTypeId].&[20796],20796,134
[DMH_INCIDENT].[IncidentNewTypeId].&[20797],20797,209
[DMH_INCIDENT].[IncidentNewTypeId].&[20798],20798,7
[DMH_INCIDENT].[IncidentNewTypeId].&[20799],20799,15
[DMH_INCIDENT].[IncidentNewTypeId].&[20800],20800,1948
[DMH_INCIDENT].[IncidentNewTypeId].&[20801],20801,136
[DMH_INCIDENT].[IncidentNewTypeId].&[20802],20802,1606
[DMH_INCIDENT].[IncidentNewTypeId].&[20803],20803,322
[DMH_INCIDENT].[IncidentNewTypeId].&[20804],20804,1685
[DMH_INCIDENT].[IncidentNewTypeId].&[20805],20805,19
[DMH_INCIDENT].[IncidentNewTypeId].&[20808],20808,51
[DMH_INCIDENT].[IncidentNewTypeId].&[20809],20809,97
[DMH_INCIDENT].[IncidentNewTypeId].&[20810],20810,14
[DMH_INCIDENT].[IncidentNewTypeId].&[20811],20811,48
[DMH_INCIDENT].[IncidentNewTypeId].&[20812],20812,8339
[DMH_INCIDENT].[IncidentNewTypeId].&[20813],20813,6686
[DMH_INCIDENT].[IncidentNewTypeId].&[20814],20814,226
[DMH_INCIDENT].[IncidentNewTypeId].&[20815],20815,642
[DMH_INCIDENT].[IncidentNewTypeId].&[20816],20816,589
[DMH_INCIDENT].[IncidentNewTypeId].&[20817],20817,595
[DMH_INCIDENT].[IncidentNewTypeId].&[20818],20818,39
[DMH_INCIDENT].[IncidentNewTypeId].&[20819],20819,79
[DMH_INCIDENT].[IncidentNewTypeId].&[20820],20820,23
[DMH_INCIDENT].[IncidentNewTypeId].&[20821],20821,1
[DMH_INCIDENT].[IncidentNewTypeId].&[20822],20822,9
[DMH_INCIDENT].[IncidentNewTypeId].&[20823],20823,26
[DMH_INCIDENT].[IncidentNewTypeId].&[20824],20824,4
[DMH_INCIDENT].[IncidentNewTypeId].&[20825],20825,10
[DMH_INCIDENT].[IncidentNewTypeId].&[20826],20826,107349
[DMH_INCIDENT].[IncidentNewTypeId].&[20827],20827,23622
[DMH_INCIDENT].[IncidentNewTypeId].&[20828],20828,3165
[DMH_INCIDENT].[IncidentNewTypeId].&[20829],20829,839
[DMH_INCIDENT].[IncidentNewTypeId].&[20830],20830,30266
[DMH_INCIDENT].[IncidentNewTypeId].&[20831],20831,20192
[DMH_INCIDENT].[IncidentNewTypeId].&[20832],20832,45742
[DMH_INCIDENT].[IncidentNewTypeId].&[20833],20833,6910
[DMH_INCIDENT].[IncidentNewTypeId].&[20834],20834,4100
[DMH_INCIDENT].[IncidentNewTypeId].&[20835],20835,26580
[DMH_INCIDENT].[IncidentNewTypeId].&[20836],20836,4522
[DMH_INCIDENT].[IncidentNewTypeId].&[20837],20837,38
[DMH_INCIDENT].[IncidentNewTypeId].&[20840],20840,37
[DMH_INCIDENT].[IncidentNewTypeId].&[20841],20841,81
[DMH_INCIDENT].[IncidentNewTypeId].&[20842],20842,17
[DMH_INCIDENT].[IncidentNewTypeId].&[20843],20843,86
[DMH_INCIDENT].[IncidentNewTypeId].&[20844],20844,16194
[DMH_INCIDENT].[IncidentNewTypeId].&[20845],20845,9087
[DMH_INCIDENT].[IncidentNewTypeId].&[20846],20846,28377
[DMH_INCIDENT].[IncidentNewTypeId].&[20847],20847,12338
[DMH_INCIDENT].[IncidentNewTypeId].&[20848],20848,1311
[DMH_INCIDENT].[IncidentNewTypeId].&[20849],20849,1476
[DMH_INCIDENT].[IncidentNewTypeId].&[20850],20850,93
[DMH_INCIDENT].[IncidentNewTypeId].&[20851],20851,70
[DMH_INCIDENT].[IncidentNewTypeId].&[20852],20852,232410
[DMH_INCIDENT].[IncidentNewTypeId].&[20853],20853,60614
[DMH_INCIDENT].[IncidentNewTypeId].&[20854],20854,266926
[DMH_INCIDENT].[IncidentNewTypeId].&[20855],20855,1295
[DMH_INCIDENT].[IncidentNewTypeId].&[20856],20856,218035
[DMH_INCIDENT].[IncidentNewTypeId].&[20857],20857,3101
[DMH_INCIDENT].[IncidentNewTypeId].&[20858],20858,465708
[DMH_INCIDENT].[IncidentNewTypeId].&[20859],20859,8794
[DMH_INCIDENT].[IncidentNewTypeId].&[20860],20860,3098
[DMH_INCIDENT].[IncidentNewTypeId].&[20861],20861,42037
[DMH_INCIDENT].[IncidentNewTypeId].&[20862],20862,191083
[DMH_INCIDENT].[IncidentNewTypeId].&[20863],20863,11131
[DMH_INCIDENT].[IncidentNewTypeId].&[20864],20864,29810
[DMH_INCIDENT].[IncidentNewTypeId].&[20865],20865,1929
[DMH_INCIDENT].[IncidentNewTypeId].&[20866],20866,829
[DMH_INCIDENT].[IncidentNewTypeId].&[20867],20867,5825
[DMH_INCIDENT].[IncidentNewTypeId].&[20868],20868,678
[DMH_INCIDENT].[IncidentNewTypeId].&[20869],20869,19243
[DMH_INCIDENT].[IncidentNewTypeId].&[20870],20870,1273
[DMH_INCIDENT].[IncidentNewTypeId].&[20871],20871,18333
[DMH_INCIDENT].[IncidentNewTypeId].&[20872],20872,3388
[DMH_INCIDENT].[IncidentNewTypeId].&[20873],20873,75248
[DMH_INCIDENT].[IncidentNewTypeId].&[20874],20874,24789
[DMH_INCIDENT].[IncidentNewTypeId].&[20875],20875,4689
[DMH_INCIDENT].[IncidentNewTypeId].&[20876],20876,151
[DMH_INCIDENT].[IncidentNewTypeId].&[20877],20877,231
[DMH_INCIDENT].[IncidentNewTypeId].&[20878],20878,2539
[DMH_INCIDENT].[IncidentNewTypeId].&[20879],20879,22848
[DMH_INCIDENT].[IncidentNewTypeId].&[20880],20880,57923
[DMH_INCIDENT].[IncidentNewTypeId].&[20881],20881,5734
[DMH_INCIDENT].[IncidentNewTypeId].&[20882],20882,41405
[DMH_INCIDENT].[IncidentNewTypeId].&[20883],20883,14912
[DMH_INCIDENT].[IncidentNewTypeId].&[20884],20884,1366
[DMH_INCIDENT].[IncidentNewTypeId].&[20885],20885,2064
[DMH_INCIDENT].[IncidentNewTypeId].&[20886],20886,28347
[DMH_INCIDENT].[IncidentNewTypeId].&[20887],20887,1069
[DMH_INCIDENT].[IncidentNewTypeId].&[20888],20888,69
[DMH_INCIDENT].[IncidentNewTypeId].&[20889],20889,1441
[DMH_INCIDENT].[IncidentNewTypeId].&[20890],20890,531
[DMH_INCIDENT].[IncidentNewTypeId].&[20891],20891,646
[DMH_INCIDENT].[IncidentNewTypeId].&[20892],20892,2083
[DMH_INCIDENT].[IncidentNewTypeId].&[20893],20893,501
[DMH_INCIDENT].[IncidentNewTypeId].&[20894],20894,5155
[DMH_INCIDENT].[IncidentNewTypeId].&[20895],20895,673
[DMH_INCIDENT].[IncidentNewTypeId].&[20896],20896,16283
