[DIVPOL].[DPA_DESPAR].[DPA_DESPAR].[MEMBER_UNIQUE_NAME],[DIVPOL].[DPA_DESPAR].[DPA_DESPAR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[DPA_DESPAR].&[GENERAL FARFAN],GENERAL FARFAN,7760
[DIVPOL].[DPA_DESPAR].&[GENERAL MORALES (SOCARTE)],GENERAL MORALES (SOCARTE),543
[DIVPOL].[DPA_DESPAR].&[GENERAL PROAÑO],GENERAL PROAÑO,5479
[DIVPOL].[DPA_DESPAR].&[GENERAL VILLAMIL (PLAYAS)],GENERAL VILLAMIL (PLAYAS),70833
[DIVPOL].[DPA_DESPAR].&[GIMA],GIMA,1057
[DIVPOL].[DPA_DESPAR].&[GIRON],GIRON,10998
[DIVPOL].[DPA_DESPAR].&[GONZALEZ SUAREZ],GONZALEZ SUAREZ,4774
[DIVPOL].[DPA_DESPAR].&[GONZALO DIAZ DE PINEDA (EL BOMBON)],GONZALO DIAZ DE PINEDA (EL BOMBON),2284
[DIVPOL].[DPA_DESPAR].&[GONZALO PIZARRO],GONZALO PIZARRO,2497
[DIVPOL].[DPA_DESPAR].&[GONZANAMA],GONZANAMA,3256
[DIVPOL].[DPA_DESPAR].&[GONZOL],GONZOL,744
[DIVPOL].[DPA_DESPAR].&[GRAL. ANTONIO ELIZALDE (BUCAY)],GRAL. ANTONIO ELIZALDE (BUCAY),12667
[DIVPOL].[DPA_DESPAR].&[GRAL. LEONIDAS PLAZA GUTIERREZ],GRAL. LEONIDAS PLAZA GUTIERREZ,7321
[DIVPOL].[DPA_DESPAR].&[GRAL. PEDRO J. MONTERO (BOLICHE)],GRAL. PEDRO J. MONTERO (BOLICHE),6339
[DIVPOL].[DPA_DESPAR].&[GRAL. VERNAZA (DOS ESTEROS)],GRAL. VERNAZA (DOS ESTEROS),2684
[DIVPOL].[DPA_DESPAR].&[GUACHANAMA],GUACHANAMA,661
[DIVPOL].[DPA_DESPAR].&[GUACHAPALA],GUACHAPALA,1903
[DIVPOL].[DPA_DESPAR].&[GUADALUPE],GUADALUPE,1934
[DIVPOL].[DPA_DESPAR].&[GUAITACAMA (GUAYTACAMA)],GUAITACAMA (GUAYTACAMA),14567
[DIVPOL].[DPA_DESPAR].&[GUALACEO],GUALACEO,35201
[DIVPOL].[DPA_DESPAR].&[GUALAQUIZA],GUALAQUIZA,18384
[DIVPOL].[DPA_DESPAR].&[GUALE],GUALE,1227
[DIVPOL].[DPA_DESPAR].&[GUALEA],GUALEA,1190
[DIVPOL].[DPA_DESPAR].&[GUALEL],GUALEL,1211
[DIVPOL].[DPA_DESPAR].&[GUALLETURO],GUALLETURO,959
[DIVPOL].[DPA_DESPAR].&[GUAMBALO (HUAMBALO)],GUAMBALO (HUAMBALO),3503
[DIVPOL].[DPA_DESPAR].&[GUAMOTE],GUAMOTE,10698
[DIVPOL].[DPA_DESPAR].&[GUANANDO],GUANANDO,168
[DIVPOL].[DPA_DESPAR].&[GUANAZAN],GUANAZAN,292
[DIVPOL].[DPA_DESPAR].&[GUANGAJE],GUANGAJE,1091
[DIVPOL].[DPA_DESPAR].&[GUANGOPOLO],GUANGOPOLO,6877
[DIVPOL].[DPA_DESPAR].&[GUANO],GUANO,22850
[DIVPOL].[DPA_DESPAR].&[GUAPAN],GUAPAN,4818
[DIVPOL].[DPA_DESPAR].&[GUARAINAG],GUARAINAG,210
[DIVPOL].[DPA_DESPAR].&[GUARANDA],GUARANDA,98330
[DIVPOL].[DPA_DESPAR].&[GUARE],GUARE,2974
[DIVPOL].[DPA_DESPAR].&[GUASAGANDA (CAB. EN GUASAGANDA CENTRO)],GUASAGANDA (CAB. EN GUASAGANDA CENTRO),2294
[DIVPOL].[DPA_DESPAR].&[GUASUNTOS],GUASUNTOS,666
[DIVPOL].[DPA_DESPAR].&[GUAYAQUIL],GUAYAQUIL,3952576
[DIVPOL].[DPA_DESPAR].&[GUAYAS (PUEBLO NUEVO)],GUAYAS (PUEBLO NUEVO),8119
[DIVPOL].[DPA_DESPAR].&[GUAYLLABAMBA],GUAYLLABAMBA,26488
[DIVPOL].[DPA_DESPAR].&[GUAYQUICHUMA],GUAYQUICHUMA,580
[DIVPOL].[DPA_DESPAR].&[GUAYZIMI],GUAYZIMI,3686
[DIVPOL].[DPA_DESPAR].&[GUEL],GUEL,437
[DIVPOL].[DPA_DESPAR].&[GUIZHAGUIÑA],GUIZHAGUIÑA,650
[DIVPOL].[DPA_DESPAR].&[HATUN SUMAKU],HATUN SUMAKU,468
[DIVPOL].[DPA_DESPAR].&[HONORATO VASQUEZ (CAB EN VASQUEZ)],HONORATO VASQUEZ (CAB EN VASQUEZ),993
[DIVPOL].[DPA_DESPAR].&[HONORATO VASQUEZ (TAMBO VIEJO)],HONORATO VASQUEZ (TAMBO VIEJO),2253
[DIVPOL].[DPA_DESPAR].&[HUACA],HUACA,9085
[DIVPOL].[DPA_DESPAR].&[HUACHI GRANDE],HUACHI GRANDE,25094
[DIVPOL].[DPA_DESPAR].&[HUAMBI],HUAMBI,2793
[DIVPOL].[DPA_DESPAR].&[HUAMBOYA],HUAMBOYA,6252
[DIVPOL].[DPA_DESPAR].&[HUAQUILLAS],HUAQUILLAS,80960
[DIVPOL].[DPA_DESPAR].&[HUASAGA (CAB EN WAMPUIK)],HUASAGA (CAB EN WAMPUIK),34
[DIVPOL].[DPA_DESPAR].&[HUERTAS],HUERTAS,1404
[DIVPOL].[DPA_DESPAR].&[HUIGRA],HUIGRA,1315
[DIVPOL].[DPA_DESPAR].&[ILAPO],ILAPO,512
[DIVPOL].[DPA_DESPAR].&[IMANTAG],IMANTAG,2597
[DIVPOL].[DPA_DESPAR].&[IMBANA (LA VICTORIA DE IMBANA)],IMBANA (LA VICTORIA DE IMBANA),184
[DIVPOL].[DPA_DESPAR].&[IMBAYA (SAN LUIS DE COBUENDO)],IMBAYA (SAN LUIS DE COBUENDO),2104
[DIVPOL].[DPA_DESPAR].&[INDANZA],INDANZA,906
[DIVPOL].[DPA_DESPAR].&[INES ARANGO (CAB. EN WESTERN)],INES ARANGO (CAB. EN WESTERN),363
[DIVPOL].[DPA_DESPAR].&[INGAPIRCA],INGAPIRCA,1975
[DIVPOL].[DPA_DESPAR].&[ISIDRO AYORA],ISIDRO AYORA,10928
[DIVPOL].[DPA_DESPAR].&[ISINLIVI],ISINLIVI,498
[DIVPOL].[DPA_DESPAR].&[ISLA DE BEJUCAL],ISLA DE BEJUCAL,6228
[DIVPOL].[DPA_DESPAR].&[ISLA SANTA MARÍA (FLOREANA) (CAB. EN  PTO. VELASCO IBARRA)],ISLA SANTA MARÍA (FLOREANA) (CAB. EN  PTO. VELASCO IBARRA),17
[DIVPOL].[DPA_DESPAR].&[IZAMBA],IZAMBA,28007
[DIVPOL].[DPA_DESPAR].&[JADAN],JADAN,1411
[DIVPOL].[DPA_DESPAR].&[JAMA],JAMA,6591
[DIVPOL].[DPA_DESPAR].&[JAMBELI],JAMBELI,3730
[DIVPOL].[DPA_DESPAR].&[JARAMIJO],JARAMIJO,21233
[DIVPOL].[DPA_DESPAR].&[JAVIER LOYOLA (CHUQUIPATA)],JAVIER LOYOLA (CHUQUIPATA),10018
[DIVPOL].[DPA_DESPAR].&[JERUSALEN],JERUSALEN,475
[DIVPOL].[DPA_DESPAR].&[JESUS MARIA],JESUS MARIA,6528
[DIVPOL].[DPA_DESPAR].&[JIJON Y CAAMAÑO (CAB. EN RIO BLANCO)],JIJON Y CAAMAÑO (CAB. EN RIO BLANCO),529
[DIVPOL].[DPA_DESPAR].&[JIMBILLA],JIMBILLA,326
[DIVPOL].[DPA_DESPAR].&[JIMBURA],JIMBURA,743
[DIVPOL].[DPA_DESPAR].&[JIPIJAPA],JIPIJAPA,38867
[DIVPOL].[DPA_DESPAR].&[JOSE LUIS TAMAYO (MUEY)],JOSE LUIS TAMAYO (MUEY),23338
[DIVPOL].[DPA_DESPAR].&[JOSEGUANGO BAJO],JOSEGUANGO BAJO,1880
[DIVPOL].[DPA_DESPAR].&[JUAN BAUTISTA AGUIRRE (LOS TINTOS)],JUAN BAUTISTA AGUIRRE (LOS TINTOS),4573
[DIVPOL].[DPA_DESPAR].&[JUAN BENIGNO VELA],JUAN BENIGNO VELA,4164
[DIVPOL].[DPA_DESPAR].&[JUAN DE VELASCO (PANGOR)],JUAN DE VELASCO (PANGOR),820
[DIVPOL].[DPA_DESPAR].&[JUAN GOMEZ RENDON (PROGRESO)],JUAN GOMEZ RENDON (PROGRESO),17813
[DIVPOL].[DPA_DESPAR].&[JUAN MONTALVO (SAN IGNACIO DE QUIL)],JUAN MONTALVO (SAN IGNACIO DE QUIL),317
[DIVPOL].[DPA_DESPAR].&[JULCUY],JULCUY,454
[DIVPOL].[DPA_DESPAR].&[JULIO ANDRADE (OREJUELA)],JULIO ANDRADE (OREJUELA),14431
[DIVPOL].[DPA_DESPAR].&[JULIO E. MORENO (CATANAHUAN GRANDE)],JULIO E. MORENO (CATANAHUAN GRANDE),2116
[DIVPOL].[DPA_DESPAR].&[JUNCAL],JUNCAL,699
[DIVPOL].[DPA_DESPAR].&[JUNIN],JUNIN,8498
[DIVPOL].[DPA_DESPAR].&[JUNQUILLAL],JUNQUILLAL,2838
[DIVPOL].[DPA_DESPAR].&[LA AVANZADA],LA AVANZADA,3248
[DIVPOL].[DPA_DESPAR].&[LA BELLEZA],LA BELLEZA,1439
[DIVPOL].[DPA_DESPAR].&[LA BOCANA],LA BOCANA,331
[DIVPOL].[DPA_DESPAR].&[LA BONITA],LA BONITA,381
[DIVPOL].[DPA_DESPAR].&[LA CANDELARIA],LA CANDELARIA,125
[DIVPOL].[DPA_DESPAR].&[LA CANELA],LA CANELA,92
[DIVPOL].[DPA_DESPAR].&[LA CHONTA],LA CHONTA,120
[DIVPOL].[DPA_DESPAR].&[LA CONCORDIA],LA CONCORDIA,62472
[DIVPOL].[DPA_DESPAR].&[LA ESMERALDA],LA ESMERALDA,3118
[DIVPOL].[DPA_DESPAR].&[LA ESPERANZA],LA ESPERANZA,22360
[DIVPOL].[DPA_DESPAR].&[LA IBERIA],LA IBERIA,5614
[DIVPOL].[DPA_DESPAR].&[LA JOYA DE LOS SACHAS],LA JOYA DE LOS SACHAS,22289
[DIVPOL].[DPA_DESPAR].&[LA LIBERTAD],LA LIBERTAD,118898
[DIVPOL].[DPA_DESPAR].&[LA LIBERTAD (ALIZO)],LA LIBERTAD (ALIZO),1665
[DIVPOL].[DPA_DESPAR].&[LA MANA],LA MANA,50996
[DIVPOL].[DPA_DESPAR].&[LA MERCED],LA MERCED,8044
[DIVPOL].[DPA_DESPAR].&[LA MERCED DE BUENOS AIRES],LA MERCED DE BUENOS AIRES,478
[DIVPOL].[DPA_DESPAR].&[LA PAZ],LA PAZ,5349
[DIVPOL].[DPA_DESPAR].&[LA PEAÑA],LA PEAÑA,5697
[DIVPOL].[DPA_DESPAR].&[LA PILA],LA PILA,1669
[DIVPOL].[DPA_DESPAR].&[LA PROVIDENCIA],LA PROVIDENCIA,238
[DIVPOL].[DPA_DESPAR].&[LA SOFIA],LA SOFIA,472
[DIVPOL].[DPA_DESPAR].&[LA TINGUE],LA TINGUE,220
[DIVPOL].[DPA_DESPAR].&[LA TOLA],LA TOLA,2278
[DIVPOL].[DPA_DESPAR].&[LA TRONCAL],LA TRONCAL,69222
[DIVPOL].[DPA_DESPAR].&[LA UNION],LA UNION,37494
[DIVPOL].[DPA_DESPAR].&[LA VICTORIA],LA VICTORIA,4078
[DIVPOL].[DPA_DESPAR].&[LA VICTORIA (ÑAUZA)],LA VICTORIA (ÑAUZA),1284
[DIVPOL].[DPA_DESPAR].&[LA VILLEGAS],LA VILLEGAS,3840
[DIVPOL].[DPA_DESPAR].&[LAGARTO],LAGARTO,2636
[DIVPOL].[DPA_DESPAR].&[LAGO SAN PEDRO],LAGO SAN PEDRO,8430
[DIVPOL].[DPA_DESPAR].&[LARAMA],LARAMA,462
[DIVPOL].[DPA_DESPAR].&[LAS GOLONDRINAS],LAS GOLONDRINAS,2533
[DIVPOL].[DPA_DESPAR].&[LAS NAVES],LAS NAVES,12413
[DIVPOL].[DPA_DESPAR].&[LAS NIEVES (CHAYA)],LAS NIEVES (CHAYA),813
[DIVPOL].[DPA_DESPAR].&[LAS PAMPAS],LAS PAMPAS,593
[DIVPOL].[DPA_DESPAR].&[LASCANO],LASCANO,579
[DIVPOL].[DPA_DESPAR].&[LATACUNGA],LATACUNGA,208729
[DIVPOL].[DPA_DESPAR].&[LAUREL],LAUREL,6811
[DIVPOL].[DPA_DESPAR].&[LAURO GUERRERO],LAURO GUERRERO,465
[DIVPOL].[DPA_DESPAR].&[LICAN],LICAN,12257
[DIVPOL].[DPA_DESPAR].&[LICTO],LICTO,2819
[DIVPOL].[DPA_DESPAR].&[LIMONAL],LIMONAL,7647
[DIVPOL].[DPA_DESPAR].&[LIMONCOCHA],LIMONCOCHA,4449
[DIVPOL].[DPA_DESPAR].&[LIMONES],LIMONES,136
[DIVPOL].[DPA_DESPAR].&[LINARES],LINARES,74
[DIVPOL].[DPA_DESPAR].&[LITA],LITA,4252
[DIVPOL].[DPA_DESPAR].&[LLACAO],LLACAO,5992
[DIVPOL].[DPA_DESPAR].&[LLAGOS],LLAGOS,954
[DIVPOL].[DPA_DESPAR].&[LLANO CHICO],LLANO CHICO,22218
[DIVPOL].[DPA_DESPAR].&[LLIGUA],LLIGUA,365
[DIVPOL].[DPA_DESPAR].&[LLOA],LLOA,6010
[DIVPOL].[DPA_DESPAR].&[LLUZHAPA],LLUZHAPA,332
[DIVPOL].[DPA_DESPAR].&[LOGROÑO],LOGROÑO,4154
[DIVPOL].[DPA_DESPAR].&[LOJA],LOJA,418303
[DIVPOL].[DPA_DESPAR].&[LOMAS DE SARGENTILLO],LOMAS DE SARGENTILLO,18275
[DIVPOL].[DPA_DESPAR].&[LORETO],LORETO,7615
[DIVPOL].[DPA_DESPAR].&[LOS ANDES],LOS ANDES,4177
[DIVPOL].[DPA_DESPAR].&[LOS ANDES (CAB. EN POATUG)],LOS ANDES (CAB. EN POATUG),727
[DIVPOL].[DPA_DESPAR].&[LOS ANGELES],LOS ANGELES,1656
[DIVPOL].[DPA_DESPAR].&[LOS ENCUENTROS],LOS ENCUENTROS,3970
[DIVPOL].[DPA_DESPAR].&[LOS LOJAS (ENRIQUE BAQUERIZO MORENO)],LOS LOJAS (ENRIQUE BAQUERIZO MORENO),11412
[DIVPOL].[DPA_DESPAR].&[LUDO],LUDO,1171
[DIVPOL].[DPA_DESPAR].&[LUIS CORDERO],LUIS CORDERO,2472
[DIVPOL].[DPA_DESPAR].&[LUIS CORDERO VEGA],LUIS CORDERO VEGA,1324
[DIVPOL].[DPA_DESPAR].&[LUIS GALARZA ORELLANA (CAB. EN DELEGSOL)],LUIS GALARZA ORELLANA (CAB. EN DELEGSOL),443
[DIVPOL].[DPA_DESPAR].&[LUIS VARGAS TORRES (CAB. EN PLAYA DE ORO)],LUIS VARGAS TORRES (CAB. EN PLAYA DE ORO),23
[DIVPOL].[DPA_DESPAR].&[LUMBAQUI],LUMBAQUI,10972
[DIVPOL].[DPA_DESPAR].&[LUZ DE AMERICA],LUZ DE AMERICA,13995
[DIVPOL].[DPA_DESPAR].&[MACARA],MACARA,17442
[DIVPOL].[DPA_DESPAR].&[MACAS],MACAS,107335
[DIVPOL].[DPA_DESPAR].&[MACHACHI],MACHACHI,75523
[DIVPOL].[DPA_DESPAR].&[MACHALA],MACHALA,504339
[DIVPOL].[DPA_DESPAR].&[MACHALILLA],MACHALILLA,2353
[DIVPOL].[DPA_DESPAR].&[MACUMA],MACUMA,1237
[DIVPOL].[DPA_DESPAR].&[MADRE TIERRA],MADRE TIERRA,2687
[DIVPOL].[DPA_DESPAR].&[MAGDALENA (CHAPACOTO)],MAGDALENA (CHAPACOTO),1662
[DIVPOL].[DPA_DESPAR].&[MAJUA],MAJUA,1165
[DIVPOL].[DPA_DESPAR].&[MALACATOS (VALLADOLID)],MALACATOS (VALLADOLID),11057
[DIVPOL].[DPA_DESPAR].&[MALCHINGUI],MALCHINGUI,4487
[DIVPOL].[DPA_DESPAR].&[MALDONADO],MALDONADO,4032
[DIVPOL].[DPA_DESPAR].&[MALIMPIA],MALIMPIA,2343
[DIVPOL].[DPA_DESPAR].&[MALVAS],MALVAS,1569
[DIVPOL].[DPA_DESPAR].&[MANGA DEL CURA],MANGA DEL CURA,2369
[DIVPOL].[DPA_DESPAR].&[MANGAHURCO],MANGAHURCO,107
[DIVPOL].[DPA_DESPAR].&[MANGLARALTO],MANGLARALTO,28056
[DIVPOL].[DPA_DESPAR].&[MANTA],MANTA,296912
[DIVPOL].[DPA_DESPAR].&[MANU],MANU,750
[DIVPOL].[DPA_DESPAR].&[MANUEL CORNEJO ASTORGA (TANDAPI)],MANUEL CORNEJO ASTORGA (TANDAPI),13505
[DIVPOL].[DPA_DESPAR].&[MANUEL J. CALLE],MANUEL J. CALLE,2758
[DIVPOL].[DPA_DESPAR].&[MARCABELI],MARCABELI,6424
[DIVPOL].[DPA_DESPAR].&[MARCOS ESPINEL (CHACATA)],MARCOS ESPINEL (CHACATA),587
[DIVPOL].[DPA_DESPAR].&[MARIANO ACOSTA],MARIANO ACOSTA,172
[DIVPOL].[DPA_DESPAR].&[MARIANO MORENO],MARIANO MORENO,1549
[DIVPOL].[DPA_DESPAR].&[MARISCAL SUCRE],MARISCAL SUCRE,1164
[DIVPOL].[DPA_DESPAR].&[MARISCAL SUCRE (HUAQUES)],MARISCAL SUCRE (HUAQUES),5862
[DIVPOL].[DPA_DESPAR].&[MATAJE (CAB. EN SANTANDER)],MATAJE (CAB. EN SANTANDER),289
[DIVPOL].[DPA_DESPAR].&[MATUS],MATUS,732
[DIVPOL].[DPA_DESPAR].&[MEMBRILLAL],MEMBRILLAL,839
[DIVPOL].[DPA_DESPAR].&[MEMBRILLO],MEMBRILLO,337
[DIVPOL].[DPA_DESPAR].&[MERA],MERA,4309
[DIVPOL].[DPA_DESPAR].&[MERCADILLO],MERCADILLO,579
[DIVPOL].[DPA_DESPAR].&[MILAGRO],MILAGRO,217268
[DIVPOL].[DPA_DESPAR].&[MILAGROS],MILAGROS,410
[DIVPOL].[DPA_DESPAR].&[MINDO],MINDO,4923
[DIVPOL].[DPA_DESPAR].&[MIRA (CHONTAHUASI)],MIRA (CHONTAHUASI),7807
[DIVPOL].[DPA_DESPAR].&[MOCACHE],MOCACHE,30454
[DIVPOL].[DPA_DESPAR].&[MOCHA],MOCHA,7249
[DIVPOL].[DPA_DESPAR].&[MOLLETURO],MOLLETURO,6146
[DIVPOL].[DPA_DESPAR].&[MONTALVO],MONTALVO,37505
[DIVPOL].[DPA_DESPAR].&[MONTALVO (ANDOAS)],MONTALVO (ANDOAS),1214
[DIVPOL].[DPA_DESPAR].&[MONTALVO (CAB EN HORQUETA)],MONTALVO (CAB EN HORQUETA),1818
[DIVPOL].[DPA_DESPAR].&[MONTE OLIVO],MONTE OLIVO,564
[DIVPOL].[DPA_DESPAR].&[MONTECRISTI],MONTECRISTI,58981
[DIVPOL].[DPA_DESPAR].&[MONTERREY],MONTERREY,5674
[DIVPOL].[DPA_DESPAR].&[MORALES],MORALES,221
[DIVPOL].[DPA_DESPAR].&[MORASPUNGO],MORASPUNGO,6246
[DIVPOL].[DPA_DESPAR].&[MOROMORO (CAB. EN EL VADO)],MOROMORO (CAB. EN EL VADO),1067
[DIVPOL].[DPA_DESPAR].&[MORRO],MORRO,5153
[DIVPOL].[DPA_DESPAR].&[MUISNE],MUISNE,14072
[DIVPOL].[DPA_DESPAR].&[MULALILLO],MULALILLO,3770
[DIVPOL].[DPA_DESPAR].&[MULALO],MULALO,9513
[DIVPOL].[DPA_DESPAR].&[MULLIQUINDIL (SANTA ANA)],MULLIQUINDIL (SANTA ANA),2264
[DIVPOL].[DPA_DESPAR].&[MULTITUD],MULTITUD,889
[DIVPOL].[DPA_DESPAR].&[MULUNCAY GRANDE],MULUNCAY GRANDE,545
[DIVPOL].[DPA_DESPAR].&[NABON],NABON,7098
[DIVPOL].[DPA_DESPAR].&[NAMBACOLA],NAMBACOLA,1969
[DIVPOL].[DPA_DESPAR].&[NANEGAL],NANEGAL,1374
[DIVPOL].[DPA_DESPAR].&[NANEGALITO],NANEGALITO,8135
[DIVPOL].[DPA_DESPAR].&[NARANJAL],NARANJAL,65999
[DIVPOL].[DPA_DESPAR].&[NARANJITO],NARANJITO,46750
[DIVPOL].[DPA_DESPAR].&[NARCISA DE JESUS],NARCISA DE JESUS,29779
[DIVPOL].[DPA_DESPAR].&[NAYON],NAYON,21588
[DIVPOL].[DPA_DESPAR].&[NAZON (CAB. EN PAMPA DE DOMINGUEZ)],NAZON (CAB. EN PAMPA DE DOMINGUEZ),1718
[DIVPOL].[DPA_DESPAR].&[NOBOA],NOBOA,727
[DIVPOL].[DPA_DESPAR].&[NONO],NONO,3825
[DIVPOL].[DPA_DESPAR].&[NUEVA FATIMA],NUEVA FATIMA,120
[DIVPOL].[DPA_DESPAR].&[NUEVA LOJA],NUEVA LOJA,184712
[DIVPOL].[DPA_DESPAR].&[NUEVA TARQUI],NUEVA TARQUI,423
[DIVPOL].[DPA_DESPAR].&[NUEVO PARAISO],NUEVO PARAISO,196
[DIVPOL].[DPA_DESPAR].&[NUEVO PARAISO (CAB. EN UNION )],NUEVO PARAISO (CAB. EN UNION ),2058
[DIVPOL].[DPA_DESPAR].&[NUEVO QUITO],NUEVO QUITO,178
[DIVPOL].[DPA_DESPAR].&[NUEVO ROCAFUERTE],NUEVO ROCAFUERTE,145
[DIVPOL].[DPA_DESPAR].&[NULTI],NULTI,7839
[DIVPOL].[DPA_DESPAR].&[OCTAVIO CORDERO PALACIOS (STA. ROSA)],OCTAVIO CORDERO PALACIOS (STA. ROSA),1323
[DIVPOL].[DPA_DESPAR].&[OLMEDO],OLMEDO,5204
[DIVPOL].[DPA_DESPAR].&[OLMEDO (PESILLO)],OLMEDO (PESILLO),1680
[DIVPOL].[DPA_DESPAR].&[ORIANGA],ORIANGA,354
[DIVPOL].[DPA_DESPAR].&[OTAVALO],OTAVALO,97864
[DIVPOL].[DPA_DESPAR].&[OTON],OTON,1325
[DIVPOL].[DPA_DESPAR].&[OYACACHI],OYACACHI,62
[DIVPOL].[DPA_DESPAR].&[PABLO ARENAS],PABLO ARENAS,1051
[DIVPOL].[DPA_DESPAR].&[PABLO SEXTO],PABLO SEXTO,4527
[DIVPOL].[DPA_DESPAR].&[PACAYACU],PACAYACU,5228
[DIVPOL].[DPA_DESPAR].&[PACCHA],PACCHA,10963
[DIVPOL].[DPA_DESPAR].&[PACHICUTZA],PACHICUTZA,1266
[DIVPOL].[DPA_DESPAR].&[PACTO],PACTO,2181
[DIVPOL].[DPA_DESPAR].&[PAJAN],PAJAN,6590
[DIVPOL].[DPA_DESPAR].&[PALANDA],PALANDA,5330
[DIVPOL].[DPA_DESPAR].&[PALENQUE],PALENQUE,9007
[DIVPOL].[DPA_DESPAR].&[PALESTINA],PALESTINA,11737
[DIVPOL].[DPA_DESPAR].&[PALETILLAS],PALETILLAS,596
[DIVPOL].[DPA_DESPAR].&[PALLATANGA],PALLATANGA,11062
[DIVPOL].[DPA_DESPAR].&[PALMA ROJA],PALMA ROJA,4746
[DIVPOL].[DPA_DESPAR].&[PALMALES],PALMALES,1937
[DIVPOL].[DPA_DESPAR].&[PALMAS],PALMAS,640
[DIVPOL].[DPA_DESPAR].&[PALMIRA],PALMIRA,2920
[DIVPOL].[DPA_DESPAR].&[PALO QUEMADO],PALO QUEMADO,120
[DIVPOL].[DPA_DESPAR].&[PALORA (METZERA)],PALORA (METZERA),10912
[DIVPOL].[DPA_DESPAR].&[PAMPANAL DE BOLIVAR],PAMPANAL DE BOLIVAR,42
[DIVPOL].[DPA_DESPAR].&[PAN DE AZUCAR],PAN DE AZUCAR,90
[DIVPOL].[DPA_DESPAR].&[PANCHO NEGRO],PANCHO NEGRO,5748
[DIVPOL].[DPA_DESPAR].&[PANGUINTZA],PANGUINTZA,1233
[DIVPOL].[DPA_DESPAR].&[PANO],PANO,545
[DIVPOL].[DPA_DESPAR].&[PANSALEO],PANSALEO,8001
[DIVPOL].[DPA_DESPAR].&[PAÑACOCHA],PAÑACOCHA,76
[DIVPOL].[DPA_DESPAR].&[PAPALLACTA],PAPALLACTA,2823
[DIVPOL].[DPA_DESPAR].&[PAQUISHA],PAQUISHA,5178
[DIVPOL].[DPA_DESPAR].&[PASA],PASA,2664
[DIVPOL].[DPA_DESPAR].&[PASAJE],PASAJE,98121
[DIVPOL].[DPA_DESPAR].&[PATAQUI],PATAQUI,78
[DIVPOL].[DPA_DESPAR].&[PATATE],PATATE,10511
[DIVPOL].[DPA_DESPAR].&[PATRICIA PILAR],PATRICIA PILAR,15786
[DIVPOL].[DPA_DESPAR].&[PATUCA],PATUCA,1141
[DIVPOL].[DPA_DESPAR].&[PAUTE],PAUTE,15584
[DIVPOL].[DPA_DESPAR].&[PEDERNALES],PEDERNALES,37653
[DIVPOL].[DPA_DESPAR].&[PEDRO CARBO],PEDRO CARBO,41455
[DIVPOL].[DPA_DESPAR].&[PEDRO PABLO GOMEZ],PEDRO PABLO GOMEZ,738
[DIVPOL].[DPA_DESPAR].&[PEDRO VICENTE MALDONADO],PEDRO VICENTE MALDONADO,9786
[DIVPOL].[DPA_DESPAR].&[PELILEO],PELILEO,39887
[DIVPOL].[DPA_DESPAR].&[PENIPE],PENIPE,3105
[DIVPOL].[DPA_DESPAR].&[PEÑAHERRERA],PEÑAHERRERA,643
[DIVPOL].[DPA_DESPAR].&[PERUCHO],PERUCHO,1048
[DIVPOL].[DPA_DESPAR].&[PIARTAL],PIARTAL,72
[DIVPOL].[DPA_DESPAR].&[PICAIGUA],PICAIGUA,8910
[DIVPOL].[DPA_DESPAR].&[PICHINCHA],PICHINCHA,5571
[DIVPOL].[DPA_DESPAR].&[PIEDRAS],PIEDRAS,268
[DIVPOL].[DPA_DESPAR].&[PIFO],PIFO,35460
[DIVPOL].[DPA_DESPAR].&[PILAGUIN (PILAHUIN)],PILAGUIN (PILAHUIN),4716
[DIVPOL].[DPA_DESPAR].&[PILALO],PILALO,947
[DIVPOL].[DPA_DESPAR].&[PILLARO],PILLARO,26789
[DIVPOL].[DPA_DESPAR].&[PIMAMPIRO],PIMAMPIRO,16352
[DIVPOL].[DPA_DESPAR].&[PIMOCHA],PIMOCHA,19055
[DIVPOL].[DPA_DESPAR].&[PINDAL],PINDAL,4079
[DIVPOL].[DPA_DESPAR].&[PINDILIG],PINDILIG,563
[DIVPOL].[DPA_DESPAR].&[PINGUILI],PINGUILI,888
[DIVPOL].[DPA_DESPAR].&[PINLLOPATA],PINLLOPATA,87
[DIVPOL].[DPA_DESPAR].&[PINTAG],PINTAG,21729
[DIVPOL].[DPA_DESPAR].&[PIÑAS],PIÑAS,20661
[DIVPOL].[DPA_DESPAR].&[PIOTER],PIOTER,451
[DIVPOL].[DPA_DESPAR].&[PISTISHI (NARIZ DEL DIABLO)],PISTISHI (NARIZ DEL DIABLO),181
[DIVPOL].[DPA_DESPAR].&[PLAN PILOTO],PLAN PILOTO,2824
[DIVPOL].[DPA_DESPAR].&[PLAZA GUTIERREZ (CALVARIO)],PLAZA GUTIERREZ (CALVARIO),158
[DIVPOL].[DPA_DESPAR].&[POALO],POALO,3931
[DIVPOL].[DPA_DESPAR].&[POMASQUI],POMASQUI,51986
[DIVPOL].[DPA_DESPAR].&[POMONA],POMONA,349
[DIVPOL].[DPA_DESPAR].&[POMPEYA],POMPEYA,313
[DIVPOL].[DPA_DESPAR].&[PORTOVELO],PORTOVELO,18245
