[DIVPOL].[DPA_DESPAR].[DPA_DESPAR].[MEMBER_UNIQUE_NAME],[DIVPOL].[DPA_DESPAR].[DPA_DESPAR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[DPA_DESPAR].&[CARLOS JULIO AROSEMENA TOLA],CARLOS JULIO AROSEMENA TOLA,2416
[DIVPOL].[DPA_DESPAR].&[CAROLINA],CAROLINA,2953
[DIVPOL].[DPA_DESPAR].&[CARONDELET],CARONDELET,586
[DIVPOL].[DPA_DESPAR].&[CASACAY],CASACAY,3726
[DIVPOL].[DPA_DESPAR].&[CASANGA],CASANGA,691
[DIVPOL].[DPA_DESPAR].&[CASCOL],CASCOL,3747
[DIVPOL].[DPA_DESPAR].&[CATACOCHA],CATACOCHA,9223
[DIVPOL].[DPA_DESPAR].&[CATAMAYO (LA TOMA)],CATAMAYO (LA TOMA),45855
[DIVPOL].[DPA_DESPAR].&[CATARAMA],CATARAMA,9345
[DIVPOL].[DPA_DESPAR].&[CAYAMBE],CAYAMBE,63052
[DIVPOL].[DPA_DESPAR].&[CAZADEROS],CAZADEROS,48
[DIVPOL].[DPA_DESPAR].&[CEBADAS],CEBADAS,2864
[DIVPOL].[DPA_DESPAR].&[CELICA],CELICA,9647
[DIVPOL].[DPA_DESPAR].&[CEVALLOS],CEVALLOS,12040
[DIVPOL].[DPA_DESPAR].&[CHACARITA],CHACARITA,2523
[DIVPOL].[DPA_DESPAR].&[CHACRAS],CHACRAS,4171
[DIVPOL].[DPA_DESPAR].&[CHAGUARPAMBA],CHAGUARPAMBA,2543
[DIVPOL].[DPA_DESPAR].&[CHAMBO],CHAMBO,9743
[DIVPOL].[DPA_DESPAR].&[CHANDUY],CHANDUY,8109
[DIVPOL].[DPA_DESPAR].&[CHANGAIMINA (LA LIBERTAD)],CHANGAIMINA (LA LIBERTAD),1233
[DIVPOL].[DPA_DESPAR].&[CHANTACO],CHANTACO,648
[DIVPOL].[DPA_DESPAR].&[CHANTILIN],CHANTILIN,1087
[DIVPOL].[DPA_DESPAR].&[CHAQUINAL],CHAQUINAL,276
[DIVPOL].[DPA_DESPAR].&[CHARAPOTO],CHARAPOTO,13586
[DIVPOL].[DPA_DESPAR].&[CHAUCHA],CHAUCHA,239
[DIVPOL].[DPA_DESPAR].&[CHAVEZPAMBA],CHAVEZPAMBA,218
[DIVPOL].[DPA_DESPAR].&[CHECA (CHILPA)],CHECA (CHILPA),6504
[DIVPOL].[DPA_DESPAR].&[CHECA (JIDCAY)],CHECA (JIDCAY),2636
[DIVPOL].[DPA_DESPAR].&[CHIBUNGA],CHIBUNGA,954
[DIVPOL].[DPA_DESPAR].&[CHICAN (GUILLERMO ORTEGA)],CHICAN (GUILLERMO ORTEGA),1726
[DIVPOL].[DPA_DESPAR].&[CHICAÑA],CHICAÑA,1183
[DIVPOL].[DPA_DESPAR].&[CHIGUAZA],CHIGUAZA,9598
[DIVPOL].[DPA_DESPAR].&[CHIGUINDA],CHIGUINDA,117
[DIVPOL].[DPA_DESPAR].&[CHILLA],CHILLA,1515
[DIVPOL].[DPA_DESPAR].&[CHILLANES],CHILLANES,9025
[DIVPOL].[DPA_DESPAR].&[CHINCA],CHINCA,3842
[DIVPOL].[DPA_DESPAR].&[CHIQUICHA (CAB. EN CHIQUICHA GRANDE)],CHIQUICHA (CAB. EN CHIQUICHA GRANDE),1066
[DIVPOL].[DPA_DESPAR].&[CHIQUINTAD],CHIQUINTAD,4633
[DIVPOL].[DPA_DESPAR].&[CHIRIJOS],CHIRIJOS,482
[DIVPOL].[DPA_DESPAR].&[CHITAN DE NAVARRETE],CHITAN DE NAVARRETE,422
[DIVPOL].[DPA_DESPAR].&[CHITO],CHITO,497
[DIVPOL].[DPA_DESPAR].&[CHOBO],CHOBO,7682
[DIVPOL].[DPA_DESPAR].&[CHONE],CHONE,68382
[DIVPOL].[DPA_DESPAR].&[CHONTADURO],CHONTADURO,887
[DIVPOL].[DPA_DESPAR].&[CHONTAMARCA],CHONTAMARCA,827
[DIVPOL].[DPA_DESPAR].&[CHONTAPUNTA],CHONTAPUNTA,1262
[DIVPOL].[DPA_DESPAR].&[CHORDELEG],CHORDELEG,5380
[DIVPOL].[DPA_DESPAR].&[CHOROCOPTE],CHOROCOPTE,645
[DIVPOL].[DPA_DESPAR].&[CHUGA],CHUGA,319
[DIVPOL].[DPA_DESPAR].&[CHUGCHILLAN],CHUGCHILLAN,1283
[DIVPOL].[DPA_DESPAR].&[CHUMBLIN],CHUMBLIN,210
[DIVPOL].[DPA_DESPAR].&[CHUMUNDE],CHUMUNDE,175
[DIVPOL].[DPA_DESPAR].&[CHUNCHI],CHUNCHI,7849
[DIVPOL].[DPA_DESPAR].&[CHUPIANZA],CHUPIANZA,480
[DIVPOL].[DPA_DESPAR].&[CHUQUIRIBAMBA],CHUQUIRIBAMBA,1875
[DIVPOL].[DPA_DESPAR].&[CHURA (CHANCAMA) (CAB. EN EL YERBERO)],CHURA (CHANCAMA) (CAB. EN EL YERBERO),1290
[DIVPOL].[DPA_DESPAR].&[CIANO],CIANO,360
[DIVPOL].[DPA_DESPAR].&[COCHAPAMBA],COCHAPAMBA,411
[DIVPOL].[DPA_DESPAR].&[COCHAPATA],COCHAPATA,879
[DIVPOL].[DPA_DESPAR].&[COJIMIES],COJIMIES,6603
[DIVPOL].[DPA_DESPAR].&[COJITAMBO],COJITAMBO,2843
[DIVPOL].[DPA_DESPAR].&[COLAISACA],COLAISACA,765
[DIVPOL].[DPA_DESPAR].&[COLIMES],COLIMES,9998
[DIVPOL].[DPA_DESPAR].&[COLON ELOY DEL MARIA],COLON ELOY DEL MARIA,850
[DIVPOL].[DPA_DESPAR].&[COLONCHE],COLONCHE,12941
[DIVPOL].[DPA_DESPAR].&[COLUMBE],COLUMBE,2201
[DIVPOL].[DPA_DESPAR].&[COMPUD],COMPUD,251
[DIVPOL].[DPA_DESPAR].&[CONCEPCION],CONCEPCION,2778
[DIVPOL].[DPA_DESPAR].&[CONOCOTO],CONOCOTO,156923
[DIVPOL].[DPA_DESPAR].&[CONONACO],CONONACO,297
[DIVPOL].[DPA_DESPAR].&[CONSTANTINO FERNANDEZ (CAB. EN CULLITAHUA)],CONSTANTINO FERNANDEZ (CAB. EN CULLITAHUA),1443
[DIVPOL].[DPA_DESPAR].&[CONVENTO],CONVENTO,1597
[DIVPOL].[DPA_DESPAR].&[COPAL],COPAL,192
[DIVPOL].[DPA_DESPAR].&[CORDONCILLO],CORDONCILLO,654
[DIVPOL].[DPA_DESPAR].&[CORONEL MARCELINO MARIDUEÑA (SAN CARLOS)],CORONEL MARCELINO MARIDUEÑA (SAN CARLOS),11269
[DIVPOL].[DPA_DESPAR].&[COSANGA],COSANGA,250
[DIVPOL].[DPA_DESPAR].&[COTACACHI],COTACACHI,22092
[DIVPOL].[DPA_DESPAR].&[COTALO],COTALO,798
[DIVPOL].[DPA_DESPAR].&[COTOGCHOA],COTOGCHOA,8528
[DIVPOL].[DPA_DESPAR].&[COTUNDO],COTUNDO,8114
[DIVPOL].[DPA_DESPAR].&[CRISTOBAL COLON],CRISTOBAL COLON,2229
[DIVPOL].[DPA_DESPAR].&[CRNEL. CARLOS CONCHA TORRES (CAB. EN HUELE)],CRNEL. CARLOS CONCHA TORRES (CAB. EN HUELE),176
[DIVPOL].[DPA_DESPAR].&[CRNEL. LORENZO DE GARAICOA (PEDREGAL)],CRNEL. LORENZO DE GARAICOA (PEDREGAL),4804
[DIVPOL].[DPA_DESPAR].&[CRUCITA],CRUCITA,14763
[DIVPOL].[DPA_DESPAR].&[CRUZPAMBA (CAB EN CARLOS BUSTAMANTE)],CRUZPAMBA (CAB EN CARLOS BUSTAMANTE),382
[DIVPOL].[DPA_DESPAR].&[CUBE],CUBE,2317
[DIVPOL].[DPA_DESPAR].&[CUBIJIES],CUBIJIES,1983
[DIVPOL].[DPA_DESPAR].&[CUCHAENTZA],CUCHAENTZA,1579
[DIVPOL].[DPA_DESPAR].&[CUCHIL (CUTCHIL)],CUCHIL (CUTCHIL),1095
[DIVPOL].[DPA_DESPAR].&[CUENCA],CUENCA,882926
[DIVPOL].[DPA_DESPAR].&[CUMANDA],CUMANDA,14362
[DIVPOL].[DPA_DESPAR].&[CUMANDA (CAB EN COLONIA AGRICOLA SEVILLA DEL ORO)],CUMANDA (CAB EN COLONIA AGRICOLA SEVILLA DEL ORO),600
[DIVPOL].[DPA_DESPAR].&[CUMBARATZA],CUMBARATZA,3857
[DIVPOL].[DPA_DESPAR].&[CUMBAYA],CUMBAYA,69271
[DIVPOL].[DPA_DESPAR].&[CUMBE],CUMBE,5850
[DIVPOL].[DPA_DESPAR].&[CUNCHIBAMBA],CUNCHIBAMBA,5128
[DIVPOL].[DPA_DESPAR].&[CURARAY],CURARAY,570
[DIVPOL].[DPA_DESPAR].&[CURTINCAPA],CURTINCAPA,220
