[DMH_INCIDENT].[HoraId].[HoraId].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[HoraId].[HoraId].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[HoraId].&[000249],000249,273
[DMH_INCIDENT].[HoraId].&[000250],000250,329
[DMH_INCIDENT].[HoraId].&[000251],000251,319
[DMH_INCIDENT].[HoraId].&[000252],000252,300
[DMH_INCIDENT].[HoraId].&[000253],000253,297
[DMH_INCIDENT].[HoraId].&[000254],000254,300
[DMH_INCIDENT].[HoraId].&[000255],000255,335
[DMH_INCIDENT].[HoraId].&[000256],000256,295
[DMH_INCIDENT].[HoraId].&[000257],000257,355
[DMH_INCIDENT].[HoraId].&[000258],000258,324
[DMH_INCIDENT].[HoraId].&[000259],000259,306
[DMH_INCIDENT].[HoraId].&[000300],000300,330
[DMH_INCIDENT].[HoraId].&[000301],000301,291
[DMH_INCIDENT].[HoraId].&[000302],000302,342
[DMH_INCIDENT].[HoraId].&[000303],000303,312
[DMH_INCIDENT].[HoraId].&[000304],000304,320
[DMH_INCIDENT].[HoraId].&[000305],000305,345
[DMH_INCIDENT].[HoraId].&[000306],000306,334
[DMH_INCIDENT].[HoraId].&[000307],000307,318
[DMH_INCIDENT].[HoraId].&[000308],000308,320
[DMH_INCIDENT].[HoraId].&[000309],000309,294
[DMH_INCIDENT].[HoraId].&[000310],000310,315
[DMH_INCIDENT].[HoraId].&[000311],000311,302
[DMH_INCIDENT].[HoraId].&[000312],000312,292
[DMH_INCIDENT].[HoraId].&[000313],000313,314
[DMH_INCIDENT].[HoraId].&[000314],000314,318
[DMH_INCIDENT].[HoraId].&[000315],000315,314
[DMH_INCIDENT].[HoraId].&[000316],000316,332
[DMH_INCIDENT].[HoraId].&[000317],000317,301
[DMH_INCIDENT].[HoraId].&[000318],000318,312
[DMH_INCIDENT].[HoraId].&[000319],000319,355
[DMH_INCIDENT].[HoraId].&[000320],000320,320
[DMH_INCIDENT].[HoraId].&[000321],000321,327
[DMH_INCIDENT].[HoraId].&[000322],000322,328
[DMH_INCIDENT].[HoraId].&[000323],000323,317
[DMH_INCIDENT].[HoraId].&[000324],000324,336
[DMH_INCIDENT].[HoraId].&[000325],000325,296
[DMH_INCIDENT].[HoraId].&[000326],000326,307
[DMH_INCIDENT].[HoraId].&[000327],000327,319
[DMH_INCIDENT].[HoraId].&[000328],000328,309
[DMH_INCIDENT].[HoraId].&[000329],000329,273
[DMH_INCIDENT].[HoraId].&[000330],000330,330
[DMH_INCIDENT].[HoraId].&[000331],000331,305
[DMH_INCIDENT].[HoraId].&[000332],000332,283
[DMH_INCIDENT].[HoraId].&[000333],000333,314
[DMH_INCIDENT].[HoraId].&[000334],000334,295
[DMH_INCIDENT].[HoraId].&[000335],000335,328
[DMH_INCIDENT].[HoraId].&[000336],000336,301
[DMH_INCIDENT].[HoraId].&[000337],000337,309
[DMH_INCIDENT].[HoraId].&[000338],000338,338
[DMH_INCIDENT].[HoraId].&[000339],000339,293
[DMH_INCIDENT].[HoraId].&[000340],000340,331
[DMH_INCIDENT].[HoraId].&[000341],000341,315
[DMH_INCIDENT].[HoraId].&[000342],000342,316
[DMH_INCIDENT].[HoraId].&[000343],000343,297
[DMH_INCIDENT].[HoraId].&[000344],000344,271
[DMH_INCIDENT].[HoraId].&[000345],000345,294
[DMH_INCIDENT].[HoraId].&[000346],000346,327
[DMH_INCIDENT].[HoraId].&[000347],000347,294
[DMH_INCIDENT].[HoraId].&[000348],000348,313
[DMH_INCIDENT].[HoraId].&[000349],000349,317
[DMH_INCIDENT].[HoraId].&[000350],000350,278
[DMH_INCIDENT].[HoraId].&[000351],000351,317
[DMH_INCIDENT].[HoraId].&[000352],000352,303
[DMH_INCIDENT].[HoraId].&[000353],000353,306
[DMH_INCIDENT].[HoraId].&[000354],000354,269
[DMH_INCIDENT].[HoraId].&[000355],000355,291
[DMH_INCIDENT].[HoraId].&[000356],000356,300
[DMH_INCIDENT].[HoraId].&[000357],000357,320
[DMH_INCIDENT].[HoraId].&[000358],000358,304
[DMH_INCIDENT].[HoraId].&[000359],000359,299
[DMH_INCIDENT].[HoraId].&[000400],000400,313
[DMH_INCIDENT].[HoraId].&[000401],000401,325
[DMH_INCIDENT].[HoraId].&[000402],000402,307
[DMH_INCIDENT].[HoraId].&[000403],000403,302
[DMH_INCIDENT].[HoraId].&[000404],000404,290
[DMH_INCIDENT].[HoraId].&[000405],000405,312
[DMH_INCIDENT].[HoraId].&[000406],000406,326
[DMH_INCIDENT].[HoraId].&[000407],000407,305
[DMH_INCIDENT].[HoraId].&[000408],000408,298
[DMH_INCIDENT].[HoraId].&[000409],000409,328
[DMH_INCIDENT].[HoraId].&[000410],000410,295
[DMH_INCIDENT].[HoraId].&[000411],000411,325
[DMH_INCIDENT].[HoraId].&[000412],000412,339
[DMH_INCIDENT].[HoraId].&[000413],000413,295
[DMH_INCIDENT].[HoraId].&[000414],000414,295
[DMH_INCIDENT].[HoraId].&[000415],000415,310
[DMH_INCIDENT].[HoraId].&[000416],000416,306
[DMH_INCIDENT].[HoraId].&[000417],000417,325
[DMH_INCIDENT].[HoraId].&[000418],000418,321
[DMH_INCIDENT].[HoraId].&[000419],000419,300
[DMH_INCIDENT].[HoraId].&[000420],000420,306
[DMH_INCIDENT].[HoraId].&[000421],000421,304
[DMH_INCIDENT].[HoraId].&[000422],000422,311
[DMH_INCIDENT].[HoraId].&[000423],000423,302
[DMH_INCIDENT].[HoraId].&[000424],000424,291
[DMH_INCIDENT].[HoraId].&[000425],000425,308
