[DIVADM].[DPA_DESCAN].[DPA_DESCAN].[MEMBER_UNIQUE_NAME],[DIVADM].[DPA_DESCAN].[DPA_DESCAN].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[DPA_DESCAN].&[NOBOL],NOBOL,29779
[DIVADM].[DPA_DESCAN].&[OLMEDO],OLMEDO,5424
[DIVADM].[DPA_DESCAN].&[OÑA],OÑA,3269
[DIVADM].[DPA_DESCAN].&[ORELLANA],ORELLANA,173621
[DIVADM].[DPA_DESCAN].&[OTAVALO],OTAVALO,133878
[DIVADM].[DPA_DESCAN].&[PABLO SEXTO],PABLO SEXTO,4527
[DIVADM].[DPA_DESCAN].&[PAJAN],PAJAN,13361
[DIVADM].[DPA_DESCAN].&[PALANDA],PALANDA,6731
[DIVADM].[DPA_DESCAN].&[PALENQUE],PALENQUE,9007
[DIVADM].[DPA_DESCAN].&[PALESTINA],PALESTINA,11737
[DIVADM].[DPA_DESCAN].&[PALLATANGA],PALLATANGA,11062
[DIVADM].[DPA_DESCAN].&[PALORA],PALORA,15488
[DIVADM].[DPA_DESCAN].&[PALTAS],PALTAS,12580
[DIVADM].[DPA_DESCAN].&[PANGUA],PANGUA,10438
[DIVADM].[DPA_DESCAN].&[PAQUISHA],PAQUISHA,5504
[DIVADM].[DPA_DESCAN].&[PASAJE],PASAJE,123190
[DIVADM].[DPA_DESCAN].&[PASTAZA],PASTAZA,147144
[DIVADM].[DPA_DESCAN].&[PATATE],PATATE,12342
[DIVADM].[DPA_DESCAN].&[PAUTE],PAUTE,25955
[DIVADM].[DPA_DESCAN].&[PEDERNALES],PEDERNALES,49694
[DIVADM].[DPA_DESCAN].&[PEDRO CARBO],PEDRO CARBO,48576
[DIVADM].[DPA_DESCAN].&[PEDRO MONCAYO],PEDRO MONCAYO,35855
[DIVADM].[DPA_DESCAN].&[PEDRO VICENTE MALDONADO],PEDRO VICENTE MALDONADO,9786
[DIVADM].[DPA_DESCAN].&[PENIPE],PENIPE,6142
[DIVADM].[DPA_DESCAN].&[PICHINCHA],PICHINCHA,7112
[DIVADM].[DPA_DESCAN].&[PIMAMPIRO],PIMAMPIRO,16934
[DIVADM].[DPA_DESCAN].&[PINDAL],PINDAL,5298
[DIVADM].[DPA_DESCAN].&[PIÑAS],PIÑAS,26164
[DIVADM].[DPA_DESCAN].&[PLAYAS],PLAYAS,70833
[DIVADM].[DPA_DESCAN].&[PORTOVELO],PORTOVELO,19095
[DIVADM].[DPA_DESCAN].&[PORTOVIEJO],PORTOVIEJO,345745
[DIVADM].[DPA_DESCAN].&[PUCARA],PUCARA,4719
[DIVADM].[DPA_DESCAN].&[PUEBLOVIEJO],PUEBLOVIEJO,47356
[DIVADM].[DPA_DESCAN].&[PUERTO LOPEZ],PUERTO LOPEZ,11728
[DIVADM].[DPA_DESCAN].&[PUERTO QUITO],PUERTO QUITO,12211
[DIVADM].[DPA_DESCAN].&[PUJILI],PUJILI,46730
[DIVADM].[DPA_DESCAN].&[PUTUMAYO],PUTUMAYO,12983
[DIVADM].[DPA_DESCAN].&[PUYANGO],PUYANGO,11457
[DIVADM].[DPA_DESCAN].&[QUERO],QUERO,13107
[DIVADM].[DPA_DESCAN].&[QUEVEDO],QUEVEDO,305238
[DIVADM].[DPA_DESCAN].&[QUIJOS],QUIJOS,10338
[DIVADM].[DPA_DESCAN].&[QUILANGA],QUILANGA,4761
[DIVADM].[DPA_DESCAN].&[QUININDE],QUININDE,88536
[DIVADM].[DPA_DESCAN].&[QUINSALOMA],QUINSALOMA,14313
[DIVADM].[DPA_DESCAN].&[QUITO],QUITO,5015101
[DIVADM].[DPA_DESCAN].&[RIOBAMBA],RIOBAMBA,502126
[DIVADM].[DPA_DESCAN].&[RIOVERDE],RIOVERDE,17162
[DIVADM].[DPA_DESCAN].&[ROCAFUERTE],ROCAFUERTE,23846
[DIVADM].[DPA_DESCAN].&[RUMIÑAHUI],RUMIÑAHUI,258723
[DIVADM].[DPA_DESCAN].&[SALCEDO],SALCEDO,64134
[DIVADM].[DPA_DESCAN].&[SALINAS],SALINAS,101778
[DIVADM].[DPA_DESCAN].&[SALITRE],SALITRE,25555
[DIVADM].[DPA_DESCAN].&[SAMBORONDON],SAMBORONDON,116813
[DIVADM].[DPA_DESCAN].&[SAN CRISTOBAL],SAN CRISTOBAL,31251
[DIVADM].[DPA_DESCAN].&[SAN FERNANDO],SAN FERNANDO,1417
[DIVADM].[DPA_DESCAN].&[SAN JACINTO DE YAGUACHI],SAN JACINTO DE YAGUACHI,77823
[DIVADM].[DPA_DESCAN].&[SAN JUAN BOSCO],SAN JUAN BOSCO,2211
[DIVADM].[DPA_DESCAN].&[SAN LORENZO],SAN LORENZO,37129
[DIVADM].[DPA_DESCAN].&[SAN MIGUEL],SAN MIGUEL,30917
[DIVADM].[DPA_DESCAN].&[SAN MIGUEL DE LOS BANCOS],SAN MIGUEL DE LOS BANCOS,14397
[DIVADM].[DPA_DESCAN].&[SAN MIGUEL DE URCUQUI],SAN MIGUEL DE URCUQUI,17164
[DIVADM].[DPA_DESCAN].&[SAN PEDRO DE HUACA],SAN PEDRO DE HUACA,10249
[DIVADM].[DPA_DESCAN].&[SAN PEDRO DE PELILEO],SAN PEDRO DE PELILEO,57003
[DIVADM].[DPA_DESCAN].&[SAN VICENTE],SAN VICENTE,17806
[DIVADM].[DPA_DESCAN].&[SANTA ANA],SANTA ANA,14523
[DIVADM].[DPA_DESCAN].&[SANTA CLARA],SANTA CLARA,3636
[DIVADM].[DPA_DESCAN].&[SANTA CRUZ],SANTA CRUZ,33821
[DIVADM].[DPA_DESCAN].&[SANTA ELENA],SANTA ELENA,133875
[DIVADM].[DPA_DESCAN].&[SANTA ISABEL],SANTA ISABEL,20025
[DIVADM].[DPA_DESCAN].&[SANTA LUCIA],SANTA LUCIA,21309
[DIVADM].[DPA_DESCAN].&[SANTA ROSA],SANTA ROSA,116623
[DIVADM].[DPA_DESCAN].&[SANTIAGO],SANTIAGO,11766
[DIVADM].[DPA_DESCAN].&[SANTIAGO DE PILLARO],SANTIAGO DE PILLARO,37655
[DIVADM].[DPA_DESCAN].&[SANTO DOMINGO],SANTO DOMINGO,733935
[DIVADM].[DPA_DESCAN].&[SAQUISILI],SAQUISILI,22205
[DIVADM].[DPA_DESCAN].&[SARAGURO],SARAGURO,15206
[DIVADM].[DPA_DESCAN].&[SEVILLA DE ORO],SEVILLA DE ORO,1634
[DIVADM].[DPA_DESCAN].&[SHUSHUFINDI],SHUSHUFINDI,56089
[DIVADM].[DPA_DESCAN].&[SIGCHOS],SIGCHOS,9188
[DIVADM].[DPA_DESCAN].&[SIGSIG],SIGSIG,16200
[DIVADM].[DPA_DESCAN].&[SIMON BOLIVAR],SIMON BOLIVAR,17893
[DIVADM].[DPA_DESCAN].&[SOZORANGA],SOZORANGA,1804
[DIVADM].[DPA_DESCAN].&[SUCRE],SUCRE,40645
[DIVADM].[DPA_DESCAN].&[SUCUA],SUCUA,35125
[DIVADM].[DPA_DESCAN].&[SUCUMBIOS],SUCUMBIOS,992
[DIVADM].[DPA_DESCAN].&[SUSCAL],SUSCAL,3212
[DIVADM].[DPA_DESCAN].&[TAISHA],TAISHA,7765
[DIVADM].[DPA_DESCAN].&[TENA],TENA,84916
[DIVADM].[DPA_DESCAN].&[TISALEO],TISALEO,12660
[DIVADM].[DPA_DESCAN].&[TIWINTZA],TIWINTZA,4315
[DIVADM].[DPA_DESCAN].&[TOSAGUA],TOSAGUA,23247
[DIVADM].[DPA_DESCAN].&[TULCAN],TULCAN,192663
[DIVADM].[DPA_DESCAN].&[URDANETA],URDANETA,28024
[DIVADM].[DPA_DESCAN].&[VALENCIA],VALENCIA,38943
[DIVADM].[DPA_DESCAN].&[VENTANAS],VENTANAS,99476
[DIVADM].[DPA_DESCAN].&[VINCES],VINCES,62635
[DIVADM].[DPA_DESCAN].&[YACUAMBI],YACUAMBI,3179
[DIVADM].[DPA_DESCAN].&[YANTZAZA],YANTZAZA,24881
[DIVADM].[DPA_DESCAN].&[ZAMORA],ZAMORA,35583
[DIVADM].[DPA_DESCAN].&[ZAPOTILLO],ZAPOTILLO,8395
[DIVADM].[DPA_DESCAN].&[ZARUMA],ZARUMA,19746
[DIVADM].[DPA_DESCAN].&,,4347
