[DIVADM].[COD_SUBCIR].[COD_SUBCIR].[MEMBER_UNIQUE_NAME],[DIVADM].[COD_SUBCIR].[COD_SUBCIR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[COD_SUBCIR].&[02D03C07S02],02D03C07S02,1064
[DIVADM].[COD_SUBCIR].&[02D04C01S01],02D04C01S01,23464
[DIVADM].[COD_SUBCIR].&[02D04C01S02],02D04C01S02,2136
[DIVADM].[COD_SUBCIR].&[02D04C02S01],02D04C02S01,25210
[DIVADM].[COD_SUBCIR].&[02D04C02S02],02D04C02S02,526
[DIVADM].[COD_SUBCIR].&[02D04C03S01],02D04C03S01,12413
[DIVADM].[COD_SUBCIR].&[03D01C01S01],03D01C01S01,363
[DIVADM].[COD_SUBCIR].&[03D01C01S02],03D01C01S02,766
[DIVADM].[COD_SUBCIR].&[03D01C02S01],03D01C02S01,14457
[DIVADM].[COD_SUBCIR].&[03D01C02S02],03D01C02S02,10142
[DIVADM].[COD_SUBCIR].&[03D01C02S03],03D01C02S03,9313
[DIVADM].[COD_SUBCIR].&[03D01C03S01],03D01C03S01,640
[DIVADM].[COD_SUBCIR].&[03D01C04S01],03D01C04S01,34924
[DIVADM].[COD_SUBCIR].&[03D01C04S02],03D01C04S02,8972
[DIVADM].[COD_SUBCIR].&[03D01C05S01],03D01C05S01,4818
[DIVADM].[COD_SUBCIR].&[03D01C06S01],03D01C06S01,4501
[DIVADM].[COD_SUBCIR].&[03D01C06S02],03D01C06S02,8360
[DIVADM].[COD_SUBCIR].&[03D01C07S01],03D01C07S01,2197
[DIVADM].[COD_SUBCIR].&[03D01C08S01],03D01C08S01,2472
[DIVADM].[COD_SUBCIR].&[03D01C09S01],03D01C09S01,16457
[DIVADM].[COD_SUBCIR].&[03D01C10S01],03D01C10S01,475
[DIVADM].[COD_SUBCIR].&[03D01C11S01],03D01C11S01,1025
[DIVADM].[COD_SUBCIR].&[03D01C12S01],03D01C12S01,6777
[DIVADM].[COD_SUBCIR].&[03D02C01S01],03D02C01S01,18128
[DIVADM].[COD_SUBCIR].&[03D02C02S01],03D02C02S01,3314
[DIVADM].[COD_SUBCIR].&[03D02C02S02],03D02C02S02,748
[DIVADM].[COD_SUBCIR].&[03D02C03S01],03D02C03S01,2220
[DIVADM].[COD_SUBCIR].&[03D02C04S01],03D02C04S01,4220
[DIVADM].[COD_SUBCIR].&[03D02C05S01],03D02C05S01,2177
[DIVADM].[COD_SUBCIR].&[03D02C06S01],03D02C06S01,7397
[DIVADM].[COD_SUBCIR].&[03D02C07S01],03D02C07S01,3212
[DIVADM].[COD_SUBCIR].&[03D03C01S01],03D03C01S01,30792
[DIVADM].[COD_SUBCIR].&[03D03C02S01],03D03C02S01,28447
[DIVADM].[COD_SUBCIR].&[03D03C02S02],03D03C02S02,9983
[DIVADM].[COD_SUBCIR].&[03D03C03S01],03D03C03S01,2764
[DIVADM].[COD_SUBCIR].&[03D03C03S02],03D03C03S02,3700
