[DIVADM].[NAM_SUBCIR].[NAM_SUBCIR].[MEMBER_UNIQUE_NAME],[DIVADM].[NAM_SUBCIR].[NAM_SUBCIR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[NAM_SUBCIR].&[ARGELIA 5],ARGELIA 5,13047
[DIVADM].[NAM_SUBCIR].&[ARGELIA 6],ARGELIA 6,14517
[DIVADM].[NAM_SUBCIR].&[ARGELIA 7],ARGELIA 7,6487
[DIVADM].[NAM_SUBCIR].&[ARGELIA 8],ARGELIA 8,6872
[DIVADM].[NAM_SUBCIR].&[AROSEMENA TOLA 1],AROSEMENA TOLA 1,2416
[DIVADM].[NAM_SUBCIR].&[ARRAYANES 1],ARRAYANES 1,1975
[DIVADM].[NAM_SUBCIR].&[ATACAMES 1],ATACAMES 1,17142
[DIVADM].[NAM_SUBCIR].&[ATACAMES 2],ATACAMES 2,17780
[DIVADM].[NAM_SUBCIR].&[ATAHUALPA 1],ATAHUALPA 1,6617
[DIVADM].[NAM_SUBCIR].&[ATAHUALPA 2],ATAHUALPA 2,26809
[DIVADM].[NAM_SUBCIR].&[ATARAZANA 1],ATARAZANA 1,21033
[DIVADM].[NAM_SUBCIR].&[ATARAZANA 2],ATARAZANA 2,24271
[DIVADM].[NAM_SUBCIR].&[ATARAZANA 3],ATARAZANA 3,13436
[DIVADM].[NAM_SUBCIR].&[ATARAZANA 4],ATARAZANA 4,14942
[DIVADM].[NAM_SUBCIR].&[ATARAZANA 5],ATARAZANA 5,32537
[DIVADM].[NAM_SUBCIR].&[ATARAZANA 6],ATARAZANA 6,26698
[DIVADM].[NAM_SUBCIR].&[ATARAZANA 7],ATARAZANA 7,11330
[DIVADM].[NAM_SUBCIR].&[ATARAZANA 8],ATARAZANA 8,7098
[DIVADM].[NAM_SUBCIR].&[ATOCHA FICOA 1],ATOCHA FICOA 1,20911
[DIVADM].[NAM_SUBCIR].&[ATOCHA FICOA 2],ATOCHA FICOA 2,14236
[DIVADM].[NAM_SUBCIR].&[AUGUSTO VALENCIA 1],AUGUSTO VALENCIA 1,7295
[DIVADM].[NAM_SUBCIR].&[AYACUCHO 1],AYACUCHO 1,1991
[DIVADM].[NAM_SUBCIR].&[AZAYA 1],AZAYA 1,33038
[DIVADM].[NAM_SUBCIR].&[AZOGUES NORTE 1],AZOGUES NORTE 1,14457
[DIVADM].[NAM_SUBCIR].&[AZOGUES NORTE 2],AZOGUES NORTE 2,10142
[DIVADM].[NAM_SUBCIR].&[AZOGUES NORTE 3],AZOGUES NORTE 3,9313
[DIVADM].[NAM_SUBCIR].&[AZOGUES OESTE 1],AZOGUES OESTE 1,4501
[DIVADM].[NAM_SUBCIR].&[AZOGUES OESTE 2],AZOGUES OESTE 2,8360
[DIVADM].[NAM_SUBCIR].&[AZOGUES ORIENTE 1],AZOGUES ORIENTE 1,363
