[DIVADM].[DPA_CANTON].[DPA_CANTON].[MEMBER_UNIQUE_NAME],[DIVADM].[DPA_CANTON].[DPA_CANTON].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[DPA_CANTON].&[1406],1406,35125
[DIVADM].[DPA_CANTON].&[1407],1407,15850
[DIVADM].[DPA_CANTON].&[1408],1408,2211
[DIVADM].[DPA_CANTON].&[1409],1409,7765
[DIVADM].[DPA_CANTON].&[1410],1410,6034
[DIVADM].[DPA_CANTON].&[1411],1411,4527
[DIVADM].[DPA_CANTON].&[1412],1412,4315
[DIVADM].[DPA_CANTON].&[1501],1501,84916
[DIVADM].[DPA_CANTON].&[1503],1503,21052
[DIVADM].[DPA_CANTON].&[1504],1504,7959
[DIVADM].[DPA_CANTON].&[1507],1507,10338
[DIVADM].[DPA_CANTON].&[1509],1509,2416
[DIVADM].[DPA_CANTON].&[1601],1601,147144
[DIVADM].[DPA_CANTON].&[1602],1602,22599
[DIVADM].[DPA_CANTON].&[1603],1603,3636
[DIVADM].[DPA_CANTON].&[1604],1604,5045
[DIVADM].[DPA_CANTON].&[1701],1701,5015101
[DIVADM].[DPA_CANTON].&[1702],1702,87497
[DIVADM].[DPA_CANTON].&[1703],1703,203385
[DIVADM].[DPA_CANTON].&[1704],1704,35855
[DIVADM].[DPA_CANTON].&[1705],1705,258723
[DIVADM].[DPA_CANTON].&[1707],1707,14397
[DIVADM].[DPA_CANTON].&[1708],1708,9786
[DIVADM].[DPA_CANTON].&[1709],1709,12211
[DIVADM].[DPA_CANTON].&[1801],1801,773731
[DIVADM].[DPA_CANTON].&[1802],1802,50090
[DIVADM].[DPA_CANTON].&[1803],1803,12040
[DIVADM].[DPA_CANTON].&[1804],1804,8137
[DIVADM].[DPA_CANTON].&[1805],1805,12342
[DIVADM].[DPA_CANTON].&[1806],1806,13107
[DIVADM].[DPA_CANTON].&[1807],1807,57003
[DIVADM].[DPA_CANTON].&[1808],1808,37655
[DIVADM].[DPA_CANTON].&[1809],1809,12660
[DIVADM].[DPA_CANTON].&[1901],1901,35583
[DIVADM].[DPA_CANTON].&[1902],1902,8136
[DIVADM].[DPA_CANTON].&[1903],1903,4426
[DIVADM].[DPA_CANTON].&[1904],1904,3179
[DIVADM].[DPA_CANTON].&[1905],1905,24881
[DIVADM].[DPA_CANTON].&[1906],1906,15781
[DIVADM].[DPA_CANTON].&[1907],1907,7252
[DIVADM].[DPA_CANTON].&[1908],1908,6731
[DIVADM].[DPA_CANTON].&[1909],1909,5504
[DIVADM].[DPA_CANTON].&[2001],2001,31251
[DIVADM].[DPA_CANTON].&[2002],2002,7611
[DIVADM].[DPA_CANTON].&[2003],2003,33821
[DIVADM].[DPA_CANTON].&[2101],2101,215684
[DIVADM].[DPA_CANTON].&[2102],2102,15083
[DIVADM].[DPA_CANTON].&[2103],2103,12983
[DIVADM].[DPA_CANTON].&[2104],2104,56089
[DIVADM].[DPA_CANTON].&[2105],2105,992
[DIVADM].[DPA_CANTON].&[2106],2106,13219
[DIVADM].[DPA_CANTON].&[2107],2107,7642
[DIVADM].[DPA_CANTON].&[2201],2201,173621
[DIVADM].[DPA_CANTON].&[2202],2202,835
[DIVADM].[DPA_CANTON].&[2203],2203,37394
[DIVADM].[DPA_CANTON].&[2204],2204,16612
[DIVADM].[DPA_CANTON].&[2301],2301,733935
[DIVADM].[DPA_CANTON].&[2401],2401,133875
[DIVADM].[DPA_CANTON].&[2402],2402,118086
[DIVADM].[DPA_CANTON].&[2403],2403,101778
[DIVADM].[DPA_CANTON].&[9001],9001,2533
[DIVADM].[DPA_CANTON].&[9003],9003,2369
[DIVADM].[DPA_CANTON].&[9004],9004,2751
[DIVADM].[DPA_CANTON].&,,4347
