[DIVADM].[OBJECTID].[OBJECTID].[MEMBER_UNIQUE_NAME],[DIVADM].[OBJECTID].[OBJECTID].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[OBJECTID].&[2.4813E4],24813,22097
[DIVADM].[OBJECTID].&[2.4814E4],24814,10928
[DIVADM].[OBJECTID].&[2.4815E4],24815,32900
[DIVADM].[OBJECTID].&[2.4816E4],24816,4677
[DIVADM].[OBJECTID].&[2.4817E4],24817,14359
[DIVADM].[OBJECTID].&[2.4818E4],24818,16104
[DIVADM].[OBJECTID].&[2.4819E4],24819,5906
[DIVADM].[OBJECTID].&[2.482E4],24820,20473
[DIVADM].[OBJECTID].&[2.4821E4],24821,11872
[DIVADM].[OBJECTID].&[2.4822E4],24822,7682
[DIVADM].[OBJECTID].&[2.4823E4],24823,5862
[DIVADM].[OBJECTID].&[2.4824E4],24824,6355
[DIVADM].[OBJECTID].&[2.4825E4],24825,3468
[DIVADM].[OBJECTID].&[2.4826E4],24826,19030
[DIVADM].[OBJECTID].&[2.4827E4],24827,9159
[DIVADM].[OBJECTID].&[2.4828E4],24828,2010
[DIVADM].[OBJECTID].&[2.4829E4],24829,39816
[DIVADM].[OBJECTID].&[2.483E4],24830,23002
[DIVADM].[OBJECTID].&[2.4831E4],24831,7648
[DIVADM].[OBJECTID].&[2.4832E4],24832,4573
[DIVADM].[OBJECTID].&[2.4833E4],24833,11412
[DIVADM].[OBJECTID].&[2.4834E4],24834,12209
[DIVADM].[OBJECTID].&[2.4835E4],24835,7239
[DIVADM].[OBJECTID].&[2.4836E4],24836,1861
[DIVADM].[OBJECTID].&[2.4837E4],24837,11591
[DIVADM].[OBJECTID].&[2.4838E4],24838,7384
[DIVADM].[OBJECTID].&[2.4839E4],24839,3431
[DIVADM].[OBJECTID].&[2.484E4],24840,2684
[DIVADM].[OBJECTID].&[2.4841E4],24841,1284
[DIVADM].[OBJECTID].&[2.4842E4],24842,2838
[DIVADM].[OBJECTID].&[2.4843E4],24843,16602
[DIVADM].[OBJECTID].&[2.4844E4],24844,6339
[DIVADM].[OBJECTID].&[2.4846E4],24846,7128
[DIVADM].[OBJECTID].&[2.4847E4],24847,6149
[DIVADM].[OBJECTID].&[2.4848E4],24848,4333
[DIVADM].[OBJECTID].&[2.4849E4],24849,13392
[DIVADM].[OBJECTID].&[2.485E4],24850,12346
[DIVADM].[OBJECTID].&[2.4851E4],24851,44109
[DIVADM].[OBJECTID].&[2.4852E4],24852,32784
[DIVADM].[OBJECTID].&[2.4853E4],24853,14308
[DIVADM].[OBJECTID].&[2.4854E4],24854,12249
[DIVADM].[OBJECTID].&[2.4855E4],24855,12489
[DIVADM].[OBJECTID].&[2.4856E4],24856,5301
[DIVADM].[OBJECTID].&[2.4857E4],24857,5913
[DIVADM].[OBJECTID].&[2.4858E4],24858,2062
[DIVADM].[OBJECTID].&[2.4859E4],24859,5820
[DIVADM].[OBJECTID].&[2.486E4],24860,2451
[DIVADM].[OBJECTID].&[2.4861E4],24861,12877
[DIVADM].[OBJECTID].&[2.4862E4],24862,6228
[DIVADM].[OBJECTID].&[2.4863E4],24863,316
[DIVADM].[OBJECTID].&[2.4864E4],24864,27013
[DIVADM].[OBJECTID].&[2.4865E4],24865,2749
[DIVADM].[OBJECTID].&[2.4866E4],24866,25046
[DIVADM].[OBJECTID].&[2.4867E4],24867,14023
[DIVADM].[OBJECTID].&[2.4868E4],24868,2045
[DIVADM].[OBJECTID].&[2.4869E4],24869,2633
[DIVADM].[OBJECTID].&[2.487E4],24870,9387
[DIVADM].[OBJECTID].&[2.4871E4],24871,11378
[DIVADM].[OBJECTID].&[2.4872E4],24872,16363
[DIVADM].[OBJECTID].&[2.4873E4],24873,15440
[DIVADM].[OBJECTID].&[2.4874E4],24874,3016
[DIVADM].[OBJECTID].&[2.4875E4],24875,26315
[DIVADM].[OBJECTID].&[2.4876E4],24876,1543
[DIVADM].[OBJECTID].&[2.4877E4],24877,6258
[DIVADM].[OBJECTID].&[2.4878E4],24878,6374
[DIVADM].[OBJECTID].&[2.4879E4],24879,17438
[DIVADM].[OBJECTID].&[2.488E4],24880,1306
[DIVADM].[OBJECTID].&[2.4881E4],24881,22082
[DIVADM].[OBJECTID].&[2.4882E4],24882,1983
[DIVADM].[OBJECTID].&[2.4883E4],24883,3301
[DIVADM].[OBJECTID].&[2.4884E4],24884,11748
[DIVADM].[OBJECTID].&[2.4885E4],24885,5322
[DIVADM].[OBJECTID].&[2.4886E4],24886,22764
[DIVADM].[OBJECTID].&[2.4887E4],24887,34747
[DIVADM].[OBJECTID].&[2.4888E4],24888,21594
[DIVADM].[OBJECTID].&[2.4889E4],24889,14313
[DIVADM].[OBJECTID].&[2.489E4],24890,3688
[DIVADM].[OBJECTID].&[2.4891E4],24891,764
[DIVADM].[OBJECTID].&[2.4892E4],24892,1216
[DIVADM].[OBJECTID].&[2.4893E4],24893,658
[DIVADM].[OBJECTID].&[2.4894E4],24894,1120
[DIVADM].[OBJECTID].&[2.4895E4],24895,14101
[DIVADM].[OBJECTID].&[2.4896E4],24896,7295
