[DIVADM].[SHAPE_LENG].[SHAPE_LENG].[MEMBER_UNIQUE_NAME],[DIVADM].[SHAPE_LENG].[SHAPE_LENG].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[SHAPE_LENG].&[3.48535138919E3],"3485,35138919",26504
[DIVADM].[SHAPE_LENG].&[3.48724941326E3],"3487,24941326",15800
[DIVADM].[SHAPE_LENG].&[3.48768984158E3],"3487,68984158",12438
[DIVADM].[SHAPE_LENG].&[3.49257217837E3],"3492,57217837",10217
[DIVADM].[SHAPE_LENG].&[3.49598236511E3],"3495,98236511",6283
[DIVADM].[SHAPE_LENG].&[3.50643819001E3],"3506,43819001",32340
[DIVADM].[SHAPE_LENG].&[3.51712781729E3],"3517,12781729",45054
[DIVADM].[SHAPE_LENG].&[3.5178007429E3],"3517,8007429",25570
[DIVADM].[SHAPE_LENG].&[3.52022577261E3],"3520,22577261",49123
[DIVADM].[SHAPE_LENG].&[3.52139472093E3],"3521,39472093",15382
[DIVADM].[SHAPE_LENG].&[3.52981314126E3],"3529,81314126",5828
[DIVADM].[SHAPE_LENG].&[3.5351282847E3],"3535,1282847",50499
[DIVADM].[SHAPE_LENG].&[3.53591090829E3],"3535,91090829",17402
[DIVADM].[SHAPE_LENG].&[3.53898443487E3],"3538,98443487",35448
[DIVADM].[SHAPE_LENG].&[3.54846498024E3],"3548,46498024",17762
[DIVADM].[SHAPE_LENG].&[3.55195934954E3],"3551,95934954",31897
[DIVADM].[SHAPE_LENG].&[3.57019818579E3],"3570,19818579",8723
[DIVADM].[SHAPE_LENG].&[3.57035032351E3],"3570,35032351",4087
[DIVADM].[SHAPE_LENG].&[3.57938256239E3],"3579,38256239",16264
[DIVADM].[SHAPE_LENG].&[3.58152799804E3],"3581,52799804",31468
[DIVADM].[SHAPE_LENG].&[3.58396400627E3],"3583,96400627",11471
[DIVADM].[SHAPE_LENG].&[3.58945493909E3],"3589,45493909",3911
[DIVADM].[SHAPE_LENG].&[3.59214439465E3],"3592,14439465",7726
[DIVADM].[SHAPE_LENG].&[3.59977241923E3],"3599,77241923",13376
[DIVADM].[SHAPE_LENG].&[3.60072837242E3],"3600,72837242",7155
[DIVADM].[SHAPE_LENG].&[3.61163865165E3],"3611,63865165",22991
[DIVADM].[SHAPE_LENG].&[3.6229859397E3],"3622,9859397",19124
[DIVADM].[SHAPE_LENG].&[3.62761286244E3],"3627,61286244",38801
[DIVADM].[SHAPE_LENG].&[3.62924986233E3],"3629,24986233",8389
[DIVADM].[SHAPE_LENG].&[3.64107321464E3],"3641,07321464",7618
[DIVADM].[SHAPE_LENG].&[3.64189093589E3],"3641,89093589",55017
[DIVADM].[SHAPE_LENG].&[3.64257854417E3],"3642,57854417",17537
[DIVADM].[SHAPE_LENG].&[3.64388225773E3],"3643,88225773",16346
[DIVADM].[SHAPE_LENG].&[3.64606481272E3],"3646,06481272",31562
[DIVADM].[SHAPE_LENG].&[3.65279454492E3],"3652,79454492",26232
[DIVADM].[SHAPE_LENG].&[3.65389662403E3],"3653,89662403",19745
[DIVADM].[SHAPE_LENG].&[3.65676497905E3],"3656,76497905",3508
[DIVADM].[SHAPE_LENG].&[3.65946599257E3],"3659,46599257",9970
[DIVADM].[SHAPE_LENG].&[3.68367590671E3],"3683,67590671",11676
[DIVADM].[SHAPE_LENG].&[3.68763189856E3],"3687,63189856",39901
[DIVADM].[SHAPE_LENG].&[3.6927731023E3],"3692,7731023",2360
[DIVADM].[SHAPE_LENG].&[3.70237403308E3],"3702,37403308",16308
[DIVADM].[SHAPE_LENG].&[3.70716294669E3],"3707,16294669",32587
[DIVADM].[SHAPE_LENG].&[3.70867745699E3],"3708,67745699",23397
[DIVADM].[SHAPE_LENG].&[3.72018699521E3],"3720,18699521",20786
[DIVADM].[SHAPE_LENG].&[3.72803628086E3],"3728,03628086",7542
[DIVADM].[SHAPE_LENG].&[3.74112526703E3],"3741,12526703",17739
[DIVADM].[SHAPE_LENG].&[3.74252402016E3],"3742,52402016",16944
[DIVADM].[SHAPE_LENG].&[3.7437317067E3],"3743,7317067",77615
[DIVADM].[SHAPE_LENG].&[3.74488514732E3],"3744,88514732",8967
[DIVADM].[SHAPE_LENG].&[3.74861105056E3],"3748,61105056",17704
[DIVADM].[SHAPE_LENG].&[3.75081628623E3],"3750,81628623",6049
[DIVADM].[SHAPE_LENG].&[3.75317367512E3],"3753,17367512",37294
[DIVADM].[SHAPE_LENG].&[3.76659649524E3],"3766,59649524",17900
[DIVADM].[SHAPE_LENG].&[3.7931507566E3],"3793,1507566",3018
[DIVADM].[SHAPE_LENG].&[3.7977552826E3],"3797,7552826",19174
[DIVADM].[SHAPE_LENG].&[3.7982599778E3],"3798,2599778",16204
[DIVADM].[SHAPE_LENG].&[3.79937750007E3],"3799,37750007",5173
[DIVADM].[SHAPE_LENG].&[3.80153154559E3],"3801,53154559",11791
[DIVADM].[SHAPE_LENG].&[3.81179796626E3],"3811,79796626",11758
[DIVADM].[SHAPE_LENG].&[3.81770217205E3],"3817,70217205",59195
[DIVADM].[SHAPE_LENG].&[3.82456741502E3],"3824,56741502",10036
[DIVADM].[SHAPE_LENG].&[3.8259592066E3],"3825,9592066",9058
[DIVADM].[SHAPE_LENG].&[3.82825236859E3],"3828,25236859",12596
[DIVADM].[SHAPE_LENG].&[3.84281889111E3],"3842,81889111",12893
[DIVADM].[SHAPE_LENG].&[3.8449735931E3],"3844,9735931",12977
[DIVADM].[SHAPE_LENG].&[3.85640527203E3],"3856,40527203",228
