[DIVPOL].[NOMPARROQ].[NOMPARROQ].[MEMBER_UNIQUE_NAME],[DIVPOL].[NOMPARROQ].[NOMPARROQ].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[NOMPARROQ].&[CONVENTO],CONVENTO,1597
[DIVPOL].[NOMPARROQ].&[COPAL],COPAL,192
[DIVPOL].[NOMPARROQ].&[CORDONCILLO],CORDONCILLO,654
[DIVPOL].[NOMPARROQ].&[CORONEL CARLOS CONCHA TORRES (CAB.EN HUELE)],CORONEL CARLOS CONCHA TORRES (CAB.EN HUELE),176
[DIVPOL].[NOMPARROQ].&[CORONEL LORENZO DE GARAICOA (PEDREGAL)],CORONEL LORENZO DE GARAICOA (PEDREGAL),4804
"[DIVPOL].[NOMPARROQ].&[CORONEL MARCELINO MARIDUEÑA (SAN CARLOS), CABECER]","CORONEL MARCELINO MARIDUEÑA (SAN CARLOS), CABECER",11269
[DIVPOL].[NOMPARROQ].&[COSANGA],COSANGA,250
"[DIVPOL].[NOMPARROQ].&[COTACACHI, CABECERA CANTONAL]","COTACACHI, CABECERA CANTONAL",22092
[DIVPOL].[NOMPARROQ].&[COTALÓ],COTALÓ,798
[DIVPOL].[NOMPARROQ].&[COTOGCHOA],COTOGCHOA,8528
[DIVPOL].[NOMPARROQ].&[COTUNDO],COTUNDO,8114
[DIVPOL].[NOMPARROQ].&[CRISTÓBAL COLÓN],CRISTÓBAL COLÓN,2229
[DIVPOL].[NOMPARROQ].&[CRUCITA],CRUCITA,14763
[DIVPOL].[NOMPARROQ].&[CRUZPAMBA (CAB. EN CARLOS BUSTAMANTE)],CRUZPAMBA (CAB. EN CARLOS BUSTAMANTE),382
[DIVPOL].[NOMPARROQ].&[CUBE],CUBE,2317
[DIVPOL].[NOMPARROQ].&[CUBIJÍES],CUBIJÍES,1983
[DIVPOL].[NOMPARROQ].&[CUCHAENTZA],CUCHAENTZA,1579
[DIVPOL].[NOMPARROQ].&[CUCHIL (CUTCHIL)],CUCHIL (CUTCHIL),1095
"[DIVPOL].[NOMPARROQ].&[CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.]","CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.",882926
[DIVPOL].[NOMPARROQ].&[CUMANDÁ (CAB. EN COLONIA AGRÍCOLA SEVILLA DEL OR],CUMANDÁ (CAB. EN COLONIA AGRÍCOLA SEVILLA DEL OR,600
"[DIVPOL].[NOMPARROQ].&[CUMANDÁ, CABECERA CANTONAL]","CUMANDÁ, CABECERA CANTONAL",14362
[DIVPOL].[NOMPARROQ].&[CUMBARATZA],CUMBARATZA,3857
[DIVPOL].[NOMPARROQ].&[CUMBAYÁ],CUMBAYÁ,69271
[DIVPOL].[NOMPARROQ].&[CUMBE],CUMBE,5850
[DIVPOL].[NOMPARROQ].&[CUNCHIBAMBA],CUNCHIBAMBA,5128
[DIVPOL].[NOMPARROQ].&[CURARAY],CURARAY,570
[DIVPOL].[NOMPARROQ].&[CURTINCAPA],CURTINCAPA,220
[DIVPOL].[NOMPARROQ].&[CUSUBAMBA],CUSUBAMBA,1836
[DIVPOL].[NOMPARROQ].&[CUTUGLAHUA],CUTUGLAHUA,30566
[DIVPOL].[NOMPARROQ].&[CUYABENO],CUYABENO,396
[DIVPOL].[NOMPARROQ].&[CUYUJA],CUYUJA,725
[DIVPOL].[NOMPARROQ].&[DANIEL CÓRDOVA TORAL (EL ORIENTE)],DANIEL CÓRDOVA TORAL (EL ORIENTE),868
[DIVPOL].[NOMPARROQ].&[DAULE],DAULE,641
"[DIVPOL].[NOMPARROQ].&[DAULE, CABECERA CANTONAL]","DAULE, CABECERA CANTONAL",156729
[DIVPOL].[NOMPARROQ].&[DAYUMA],DAYUMA,3803
"[DIVPOL].[NOMPARROQ].&[DÉLEG, CABECERA CANTONAL]","DÉLEG, CABECERA CANTONAL",5132
[DIVPOL].[NOMPARROQ].&[DIEZ  DE AGOSTO],DIEZ  DE AGOSTO,1410
[DIVPOL].[NOMPARROQ].&[DOCTOR MIGUEL EGAS CABEZAS (PEGUCHE)],DOCTOR MIGUEL EGAS CABEZAS (PEGUCHE),2712
[DIVPOL].[NOMPARROQ].&[DUCUR],DUCUR,2265
[DIVPOL].[NOMPARROQ].&[DUG DUG],DUG DUG,697
[DIVPOL].[NOMPARROQ].&[DURENO],DURENO,2555
"[DIVPOL].[NOMPARROQ].&[ECHEANDÍA, CABECERA CANTONAL]","ECHEANDÍA, CABECERA CANTONAL",25600
[DIVPOL].[NOMPARROQ].&[EL AIRO],EL AIRO,237
[DIVPOL].[NOMPARROQ].&[EL ALTAR],EL ALTAR,582
[DIVPOL].[NOMPARROQ].&[EL ANEGADO (CAB. EN ELOY ALFARO)],EL ANEGADO (CAB. EN ELOY ALFARO),1890
"[DIVPOL].[NOMPARROQ].&[EL ÁNGEL, CABECERA CANTONAL]","EL ÁNGEL, CABECERA CANTONAL",9166
[DIVPOL].[NOMPARROQ].&[EL ARENAL],EL ARENAL,250
[DIVPOL].[NOMPARROQ].&[EL CABO],EL CABO,3377
[DIVPOL].[NOMPARROQ].&[EL CARMELO (EL PUN)],EL CARMELO (EL PUN),3224
[DIVPOL].[NOMPARROQ].&[EL CARMEN DE PIJILÍ],EL CARMEN DE PIJILÍ,460
"[DIVPOL].[NOMPARROQ].&[EL CARMEN, CABECERA CANTONAL]","EL CARMEN, CABECERA CANTONAL",54017
"[DIVPOL].[NOMPARROQ].&[EL CHACO, CABECERA CANTONAL]","EL CHACO, CABECERA CANTONAL",4427
[DIVPOL].[NOMPARROQ].&[EL CHAUPI],EL CHAUPI,1794
[DIVPOL].[NOMPARROQ].&[EL CHICAL],EL CHICAL,1194
[DIVPOL].[NOMPARROQ].&[EL CHORRO],EL CHORRO,53
[DIVPOL].[NOMPARROQ].&[EL CISNE],EL CISNE,2439
"[DIVPOL].[NOMPARROQ].&[EL CORAZÓN, CABECERA CANTONAL]","EL CORAZÓN, CABECERA CANTONAL",3815
[DIVPOL].[NOMPARROQ].&[EL DORADO],EL DORADO,2189
"[DIVPOL].[NOMPARROQ].&[EL DORADO DE CASCALES, CABECERA CANTONAL]","EL DORADO DE CASCALES, CABECERA CANTONAL",10538
[DIVPOL].[NOMPARROQ].&[EL EDÉN],EL EDÉN,33
[DIVPOL].[NOMPARROQ].&[EL ENO],EL ENO,5701
[DIVPOL].[NOMPARROQ].&[EL ESFUERZO],EL ESFUERZO,2647
[DIVPOL].[NOMPARROQ].&[EL GOALTAL],EL GOALTAL,238
"[DIVPOL].[NOMPARROQ].&[EL GUABO, CABECERA CANTONAL]","EL GUABO, CABECERA CANTONAL",41798
[DIVPOL].[NOMPARROQ].&[EL GUISME],EL GUISME,1200
[DIVPOL].[NOMPARROQ].&[EL IDEAL],EL IDEAL,861
[DIVPOL].[NOMPARROQ].&[EL INGENIO],EL INGENIO,710
[DIVPOL].[NOMPARROQ].&[EL LIMO (MARIANA DE JESÚS)],EL LIMO (MARIANA DE JESÚS),412
[DIVPOL].[NOMPARROQ].&[EL LUCERO],EL LUCERO,889
"[DIVPOL].[NOMPARROQ].&[EL PAN, CABECERA CANTONAL]","EL PAN, CABECERA CANTONAL",900
