[DIVPOL].[NOMPARROQ].[NOMPARROQ].[MEMBER_UNIQUE_NAME],[DIVPOL].[NOMPARROQ].[NOMPARROQ].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
"[DIVPOL].[NOMPARROQ].&[NARCISA DE JESÚS (NOBOL), CABECERA CANTONAL]","NARCISA DE JESÚS (NOBOL), CABECERA CANTONAL",29779
[DIVPOL].[NOMPARROQ].&[NAYÓN],NAYÓN,21588
[DIVPOL].[NOMPARROQ].&[NAZÓN (CAB. EN PAMPA DE DOMÍNGUEZ)],NAZÓN (CAB. EN PAMPA DE DOMÍNGUEZ),1718
[DIVPOL].[NOMPARROQ].&[NOBOA],NOBOA,727
[DIVPOL].[NOMPARROQ].&[NONO],NONO,3825
[DIVPOL].[NOMPARROQ].&[NUEVA FÁTIMA],NUEVA FÁTIMA,120
"[DIVPOL].[NOMPARROQ].&[NUEVA LOJA, CABECERA CANTONAL Y CAPITAL PROVINCIAL]","NUEVA LOJA, CABECERA CANTONAL Y CAPITAL PROVINCIAL",184712
[DIVPOL].[NOMPARROQ].&[NUEVA TARQUI],NUEVA TARQUI,423
[DIVPOL].[NOMPARROQ].&[NUEVO PARAÍSO],NUEVO PARAÍSO,196
[DIVPOL].[NOMPARROQ].&[NUEVO PARAÍSO (CAB. EN UNIÓN CHIMBORAZO)],NUEVO PARAÍSO (CAB. EN UNIÓN CHIMBORAZO),2058
[DIVPOL].[NOMPARROQ].&[NUEVO QUITO],NUEVO QUITO,178
"[DIVPOL].[NOMPARROQ].&[NUEVO ROCAFUERTE, CABECERA CANTONAL]","NUEVO ROCAFUERTE, CABECERA CANTONAL",145
[DIVPOL].[NOMPARROQ].&[NULTI],NULTI,7839
[DIVPOL].[NOMPARROQ].&[OCTAVIO CORDERO PALACIOS (SANTA ROSA)],OCTAVIO CORDERO PALACIOS (SANTA ROSA),1323
[DIVPOL].[NOMPARROQ].&[OLMEDO (PESILLO)],OLMEDO (PESILLO),1680
"[DIVPOL].[NOMPARROQ].&[OLMEDO, CABECERA CANTONAL]","OLMEDO, CABECERA CANTONAL",5204
[DIVPOL].[NOMPARROQ].&[ORIANGA],ORIANGA,354
"[DIVPOL].[NOMPARROQ].&[OTAVALO, CABECERA CANTONAL]","OTAVALO, CABECERA CANTONAL",97864
[DIVPOL].[NOMPARROQ].&[OTÓN],OTÓN,1325
[DIVPOL].[NOMPARROQ].&[OYACACHI],OYACACHI,62
[DIVPOL].[NOMPARROQ].&[PABLO ARENAS],PABLO ARENAS,1051
"[DIVPOL].[NOMPARROQ].&[PABLO SEXTO, CABECERA CANTONAL]","PABLO SEXTO, CABECERA CANTONAL",4527
[DIVPOL].[NOMPARROQ].&[PACAYACU],PACAYACU,5228
[DIVPOL].[NOMPARROQ].&[PACCHA],PACCHA,8006
"[DIVPOL].[NOMPARROQ].&[PACCHA, CABECERA CANTONAL]","PACCHA, CABECERA CANTONAL",2957
[DIVPOL].[NOMPARROQ].&[PACHICUTZA],PACHICUTZA,1266
[DIVPOL].[NOMPARROQ].&[PACTO],PACTO,2181
"[DIVPOL].[NOMPARROQ].&[PAJÁN, CABECERA CANTONAL]","PAJÁN, CABECERA CANTONAL",6590
"[DIVPOL].[NOMPARROQ].&[PALANDA, CABECERA CANTONAL]","PALANDA, CABECERA CANTONAL",5330
"[DIVPOL].[NOMPARROQ].&[PALENQUE, CABECERA CANTONAL]","PALENQUE, CABECERA CANTONAL",9007
"[DIVPOL].[NOMPARROQ].&[PALESTINA,CABECERA CANTONAL]","PALESTINA,CABECERA CANTONAL",11737
[DIVPOL].[NOMPARROQ].&[PALETILLAS],PALETILLAS,596
"[DIVPOL].[NOMPARROQ].&[PALLATANGA, CABECERA CANTONAL]","PALLATANGA, CABECERA CANTONAL",11062
[DIVPOL].[NOMPARROQ].&[PALMA ROJA],PALMA ROJA,4746
[DIVPOL].[NOMPARROQ].&[PALMALES],PALMALES,1937
[DIVPOL].[NOMPARROQ].&[PALMAS],PALMAS,640
[DIVPOL].[NOMPARROQ].&[PALMIRA],PALMIRA,2920
[DIVPOL].[NOMPARROQ].&[PALO QUEMADO],PALO QUEMADO,120
"[DIVPOL].[NOMPARROQ].&[PALORA (METZERA),CABECERA CANTONAL]","PALORA (METZERA),CABECERA CANTONAL",10912
[DIVPOL].[NOMPARROQ].&[PAMPANAL DE BOLÍVAR],PAMPANAL DE BOLÍVAR,42
[DIVPOL].[NOMPARROQ].&[PAN DE AZÚCAR],PAN DE AZÚCAR,90
[DIVPOL].[NOMPARROQ].&[PANCHO NEGRO],PANCHO NEGRO,5748
[DIVPOL].[NOMPARROQ].&[PANGUINTZA],PANGUINTZA,1233
[DIVPOL].[NOMPARROQ].&[PANO],PANO,545
[DIVPOL].[NOMPARROQ].&[PANSALEO],PANSALEO,8001
[DIVPOL].[NOMPARROQ].&[PAÑACOCHA],PAÑACOCHA,76
[DIVPOL].[NOMPARROQ].&[PAPALLACTA],PAPALLACTA,2823
"[DIVPOL].[NOMPARROQ].&[PAQUISHA, CABECERA CANTONAL]","PAQUISHA, CABECERA CANTONAL",5178
[DIVPOL].[NOMPARROQ].&[PASA],PASA,2664
"[DIVPOL].[NOMPARROQ].&[PASAJE, CABECERA CANTONAL]","PASAJE, CABECERA CANTONAL",98121
[DIVPOL].[NOMPARROQ].&[PATAQUÍ],PATAQUÍ,78
"[DIVPOL].[NOMPARROQ].&[PATATE, CABECERA CANTONAL]","PATATE, CABECERA CANTONAL",10511
[DIVPOL].[NOMPARROQ].&[PATRICIA PILAR],PATRICIA PILAR,15786
[DIVPOL].[NOMPARROQ].&[PATUCA],PATUCA,1141
"[DIVPOL].[NOMPARROQ].&[PAUTE, CABECERA CANTONAL]","PAUTE, CABECERA CANTONAL",15584
"[DIVPOL].[NOMPARROQ].&[PEDERNALES, CABECERA CANTONAL]","PEDERNALES, CABECERA CANTONAL",37653
"[DIVPOL].[NOMPARROQ].&[PEDRO CARBO, CABECERA CANTONAL]","PEDRO CARBO, CABECERA CANTONAL",41455
[DIVPOL].[NOMPARROQ].&[PEDRO PABLO GÓMEZ],PEDRO PABLO GÓMEZ,738
"[DIVPOL].[NOMPARROQ].&[PEDRO VICENTE MALDONADO, CABECERA CANTONAL]","PEDRO VICENTE MALDONADO, CABECERA CANTONAL",9786
"[DIVPOL].[NOMPARROQ].&[PELILEO, CABECERA CANTONAL]","PELILEO, CABECERA CANTONAL",39887
"[DIVPOL].[NOMPARROQ].&[PENIPE, CABECERA CANTONAL]","PENIPE, CABECERA CANTONAL",3105
[DIVPOL].[NOMPARROQ].&[PEÑAHERRERA],PEÑAHERRERA,643
[DIVPOL].[NOMPARROQ].&[PERUCHO],PERUCHO,1048
[DIVPOL].[NOMPARROQ].&[PIARTAL],PIARTAL,72
[DIVPOL].[NOMPARROQ].&[PICAIGUA],PICAIGUA,8910
"[DIVPOL].[NOMPARROQ].&[PICHINCHA, CABECERA CANTONAL]","PICHINCHA, CABECERA CANTONAL",5571
[DIVPOL].[NOMPARROQ].&[PIEDRAS],PIEDRAS,268
[DIVPOL].[NOMPARROQ].&[PIFO],PIFO,35460
[DIVPOL].[NOMPARROQ].&[PILAGÜÍN (PILAHÜÍN)],PILAGÜÍN (PILAHÜÍN),4716
[DIVPOL].[NOMPARROQ].&[PILALÓ],PILALÓ,947
"[DIVPOL].[NOMPARROQ].&[PÍLLARO, CABECERA CANTONAL]","PÍLLARO, CABECERA CANTONAL",26789
"[DIVPOL].[NOMPARROQ].&[PIMAMPIRO, CABECERA CANTONAL]","PIMAMPIRO, CABECERA CANTONAL",16352
[DIVPOL].[NOMPARROQ].&[PIMOCHA],PIMOCHA,19055
"[DIVPOL].[NOMPARROQ].&[PINDAL, CABECERA CANTONAL]","PINDAL, CABECERA CANTONAL",4079
[DIVPOL].[NOMPARROQ].&[PINDILIG],PINDILIG,563
[DIVPOL].[NOMPARROQ].&[PINGUILÍ],PINGUILÍ,888
[DIVPOL].[NOMPARROQ].&[PINLLOPATA],PINLLOPATA,87
[DIVPOL].[NOMPARROQ].&[PÍNTAG],PÍNTAG,21729
"[DIVPOL].[NOMPARROQ].&[PIÑAS, CABECERA CANTONAL]","PIÑAS, CABECERA CANTONAL",20661
[DIVPOL].[NOMPARROQ].&[PIOTER],PIOTER,451
[DIVPOL].[NOMPARROQ].&[PISTISHÍ (NARIZ DEL DIABLO)],PISTISHÍ (NARIZ DEL DIABLO),181
[DIVPOL].[NOMPARROQ].&[PLAN PILOTO],PLAN PILOTO,2824
[DIVPOL].[NOMPARROQ].&[PLAZA GUTIÉRREZ  (CALVARIO)],PLAZA GUTIÉRREZ  (CALVARIO),158
[DIVPOL].[NOMPARROQ].&[POALÓ],POALÓ,3931
[DIVPOL].[NOMPARROQ].&[POMASQUI],POMASQUI,51986
[DIVPOL].[NOMPARROQ].&[POMONA],POMONA,349
[DIVPOL].[NOMPARROQ].&[POMPEYA],POMPEYA,313
"[DIVPOL].[NOMPARROQ].&[PORTOVELO, CABECERA CANTONAL]","PORTOVELO, CABECERA CANTONAL",18245
"[DIVPOL].[NOMPARROQ].&[PORTOVIEJO, CABECERA CANTONAL Y CAPITAL PROVINCIAL]","PORTOVIEJO, CABECERA CANTONAL Y CAPITAL PROVINCIAL",310597
[DIVPOL].[NOMPARROQ].&[POSORJA],POSORJA,22215
[DIVPOL].[NOMPARROQ].&[POZUL (SAN JUAN DE POZUL)],POZUL (SAN JUAN DE POZUL),1139
[DIVPOL].[NOMPARROQ].&[PRESIDENTE URBINA (CHAGRAPAMBA -PATZUCUL)],PRESIDENTE URBINA (CHAGRAPAMBA -PATZUCUL),1856
[DIVPOL].[NOMPARROQ].&[PRINCIPAL],PRINCIPAL,389
[DIVPOL].[NOMPARROQ].&[PROGRESO],PROGRESO,3611
[DIVPOL].[NOMPARROQ].&[PUCAPAMBA],PUCAPAMBA,150
"[DIVPOL].[NOMPARROQ].&[PUCARÁ, CABECERA CANTONAL]","PUCARÁ, CABECERA CANTONAL",4326
[DIVPOL].[NOMPARROQ].&[PUCAYACU],PUCAYACU,591
[DIVPOL].[NOMPARROQ].&[PUEBLO NUEVO],PUEBLO NUEVO,1150
"[DIVPOL].[NOMPARROQ].&[PUEBLOVIEJO, CABECERA CANTONAL]","PUEBLOVIEJO, CABECERA CANTONAL",25046
[DIVPOL].[NOMPARROQ].&[PUELA],PUELA,375
[DIVPOL].[NOMPARROQ].&[PUÉLLARO],PUÉLLARO,1771
[DIVPOL].[NOMPARROQ].&[PUEMBO],PUEMBO,24450
"[DIVPOL].[NOMPARROQ].&[PUERTO AYORA, CABECERA CANTONAL]","PUERTO AYORA, CABECERA CANTONAL",26590
"[DIVPOL].[NOMPARROQ].&[PUERTO BAQUERIZO MORENO, CABECERA CANTONAL Y CAPI*]","PUERTO BAQUERIZO MORENO, CABECERA CANTONAL Y CAPI*",29427
[DIVPOL].[NOMPARROQ].&[PUERTO BOLÍVAR (PUERTO MONTÚFAR)],PUERTO BOLÍVAR (PUERTO MONTÚFAR),16
[DIVPOL].[NOMPARROQ].&[PUERTO DE CAYO],PUERTO DE CAYO,2990
"[DIVPOL].[NOMPARROQ].&[PUERTO EL CARMEN DEL PUTUMAYO, CABECERA CANTONAL]","PUERTO EL CARMEN DEL PUTUMAYO, CABECERA CANTONAL",8151
"[DIVPOL].[NOMPARROQ].&[PUERTO FRANCISCO DE ORELLANA (EL COCA),CABECERA C*]","PUERTO FRANCISCO DE ORELLANA (EL COCA),CABECERA C*",143573
[DIVPOL].[NOMPARROQ].&[PUERTO LIBRE],PUERTO LIBRE,516
[DIVPOL].[NOMPARROQ].&[PUERTO LIMÓN],PUERTO LIMÓN,7704
"[DIVPOL].[NOMPARROQ].&[PUERTO LÓPEZ, CABECERA CANTONAL]","PUERTO LÓPEZ, CABECERA CANTONAL",7506
[DIVPOL].[NOMPARROQ].&[PUERTO MISAHUALLI],PUERTO MISAHUALLI,2406
[DIVPOL].[NOMPARROQ].&[PUERTO MURIALDO],PUERTO MURIALDO,880
[DIVPOL].[NOMPARROQ].&[PUERTO NAPO],PUERTO NAPO,2897
[DIVPOL].[NOMPARROQ].&[PUERTO PECHICHE],PUERTO PECHICHE,2045
"[DIVPOL].[NOMPARROQ].&[PUERTO QUITO, CABECERA CANTONAL]","PUERTO QUITO, CABECERA CANTONAL",12211
[DIVPOL].[NOMPARROQ].&[PUERTO RODRÍGUEZ],PUERTO RODRÍGUEZ,24
"[DIVPOL].[NOMPARROQ].&[PUERTO VILLAMIL, CABECERA CANTONAL]","PUERTO VILLAMIL, CABECERA CANTONAL",7311
"[DIVPOL].[NOMPARROQ].&[PUJILÍ, CABECERA CANTONAL]","PUJILÍ, CABECERA CANTONAL",37182
[DIVPOL].[NOMPARROQ].&[PUMALLACTA],PUMALLACTA,103
[DIVPOL].[NOMPARROQ].&[PUMPUENTSA],PUMPUENTSA,134
[DIVPOL].[NOMPARROQ].&[PUNÁ],PUNÁ,3498
[DIVPOL].[NOMPARROQ].&[PUNGALÁ],PUNGALÁ,1389
[DIVPOL].[NOMPARROQ].&[PUNÍN],PUNÍN,1814
[DIVPOL].[NOMPARROQ].&[PURUNUMA (EGUIGUREN)],PURUNUMA (EGUIGUREN),618
"[DIVPOL].[NOMPARROQ].&[PUYO, CABECERA CANTONAL Y CAPITAL PROVINCIAL]","PUYO, CABECERA CANTONAL Y CAPITAL PROVINCIAL",116974
"[DIVPOL].[NOMPARROQ].&[QUERO, CABECERA CANTONAL]","QUERO, CABECERA CANTONAL",10821
"[DIVPOL].[NOMPARROQ].&[QUEVEDO, CABECERA CANTONAL]","QUEVEDO, CABECERA CANTONAL",276422
"[DIVPOL].[NOMPARROQ].&[QUILANGA, CABECERA CANTONAL]","QUILANGA, CABECERA CANTONAL",3261
[DIVPOL].[NOMPARROQ].&[QUIMIAG],QUIMIAG,1901
[DIVPOL].[NOMPARROQ].&[QUINARA],QUINARA,605
[DIVPOL].[NOMPARROQ].&[QUINCHICOTO],QUINCHICOTO,746
[DIVPOL].[NOMPARROQ].&[QUINGEO],QUINGEO,3958
[DIVPOL].[NOMPARROQ].&[QUINGUE (OLMEDO PERDOMO FRANCO)],QUINGUE (OLMEDO PERDOMO FRANCO),49
"[DIVPOL].[NOMPARROQ].&[QUINSALOMA, CABECERA CANTONAL]","QUINSALOMA, CABECERA CANTONAL",14313
[DIVPOL].[NOMPARROQ].&[QUIROGA],QUIROGA,6509
[DIVPOL].[NOMPARROQ].&[QUISAPINCHA (QUIZAPINCHA)],QUISAPINCHA (QUIZAPINCHA),3581
"[DIVPOL].[NOMPARROQ].&[QUITO DISTRITO METROPOLITANO, CABECERA CANTONAL, *]","QUITO DISTRITO METROPOLITANO, CABECERA CANTONAL, *",3841162
[DIVPOL].[NOMPARROQ].&[RAMÓN CAMPAÑA],RAMÓN CAMPAÑA,290
[DIVPOL].[NOMPARROQ].&[RÉGULO DE MORA],RÉGULO DE MORA,322
[DIVPOL].[NOMPARROQ].&[REMIGIO CRESPO TORAL (GÚLAG)],REMIGIO CRESPO TORAL (GÚLAG),1151
[DIVPOL].[NOMPARROQ].&[RICAURTE],RICAURTE,50134
[DIVPOL].[NOMPARROQ].&[RÍO BLANCO],RÍO BLANCO,4539
[DIVPOL].[NOMPARROQ].&[RÍO BONITO],RÍO BONITO,8801
[DIVPOL].[NOMPARROQ].&[RÍO CORRIENTES],RÍO CORRIENTES,15
[DIVPOL].[NOMPARROQ].&[RÍO NEGRO],RÍO NEGRO,2346
[DIVPOL].[NOMPARROQ].&[RÍO TIGRE],RÍO TIGRE,75
[DIVPOL].[NOMPARROQ].&[RÍO VERDE],RÍO VERDE,1428
"[DIVPOL].[NOMPARROQ].&[RIOBAMBA, CABECERA CANTONAL Y CAPITAL PROVINCIAL]","RIOBAMBA, CABECERA CANTONAL Y CAPITAL PROVINCIAL",453392
[DIVPOL].[NOMPARROQ].&[RIOCHICO (RÍO CHICO)],RIOCHICO (RÍO CHICO),6126
"[DIVPOL].[NOMPARROQ].&[RÍOVERDE, CABECERA CANTONAL]","RÍOVERDE, CABECERA CANTONAL",8518
[DIVPOL].[NOMPARROQ].&[RIVERA],RIVERA,293
[DIVPOL].[NOMPARROQ].&[ROBERTO ASTUDILLO (CAB. EN CRUCE DE VENECIA)],ROBERTO ASTUDILLO (CAB. EN CRUCE DE VENECIA),6354
[DIVPOL].[NOMPARROQ].&[ROCAFUERTE],ROCAFUERTE,3128
"[DIVPOL].[NOMPARROQ].&[ROCAFUERTE, CABECERA CANTONAL]","ROCAFUERTE, CABECERA CANTONAL",23846
[DIVPOL].[NOMPARROQ].&[ROSA FLORIDA],ROSA FLORIDA,28
"[DIVPOL].[NOMPARROQ].&[ROSA ZÁRATE (QUININDÉ), CABECERA CANTONAL]","ROSA ZÁRATE (QUININDÉ), CABECERA CANTONAL",56079
[DIVPOL].[NOMPARROQ].&[RUMIPAMBA],RUMIPAMBA,1916
[DIVPOL].[NOMPARROQ].&[SABANILLA],SABANILLA,6712
[DIVPOL].[NOMPARROQ].&[SABIANGO (LA CAPILLA)],SABIANGO (LA CAPILLA),933
[DIVPOL].[NOMPARROQ].&[SACAPALCA],SACAPALCA,651
[DIVPOL].[NOMPARROQ].&[SALANGO],SALANGO,1869
[DIVPOL].[NOMPARROQ].&[SALASACA],SALASACA,3832
[DIVPOL].[NOMPARROQ].&[SALATÍ],SALATÍ,409
[DIVPOL].[NOMPARROQ].&[SALIMA],SALIMA,349
[DIVPOL].[NOMPARROQ].&[SALINAS],SALINAS,10824
"[DIVPOL].[NOMPARROQ].&[SALINAS, CABECERA CANTONAL]","SALINAS, CABECERA CANTONAL",66078
[DIVPOL].[NOMPARROQ].&[SALVIAS],SALVIAS,272
"[DIVPOL].[NOMPARROQ].&[SAMBORONDÓN, CABECERA CANTONAL]","SAMBORONDÓN, CABECERA CANTONAL",96994
[DIVPOL].[NOMPARROQ].&[SAN ANDRÉS],SAN ANDRÉS,14890
[DIVPOL].[NOMPARROQ].&[SAN ANTONIO],SAN ANTONIO,101543
[DIVPOL].[NOMPARROQ].&[SAN ANTONIO (CAB. EN SAN ANTONIO CENTRO)],SAN ANTONIO (CAB. EN SAN ANTONIO CENTRO),673
[DIVPOL].[NOMPARROQ].&[SAN ANTONIO DE BAYUSHIG],SAN ANTONIO DE BAYUSHIG,1002
[DIVPOL].[NOMPARROQ].&[SAN ANTONIO DE LAS ARADAS (CAB. EN LAS ARADAS)],SAN ANTONIO DE LAS ARADAS (CAB. EN LAS ARADAS),1278
[DIVPOL].[NOMPARROQ].&[SAN ANTONIO DE QUMBE (CUMBE)],SAN ANTONIO DE QUMBE (CUMBE),389
[DIVPOL].[NOMPARROQ].&[SAN BARTOLOMÉ],SAN BARTOLOMÉ,1763
[DIVPOL].[NOMPARROQ].&[SAN BARTOLOMÉ DE PINLLOG],SAN BARTOLOMÉ DE PINLLOG,11759
[DIVPOL].[NOMPARROQ].&[SAN BLAS],SAN BLAS,2307
[DIVPOL].[NOMPARROQ].&[SAN CARLOS],SAN CARLOS,25844
[DIVPOL].[NOMPARROQ].&[SAN CARLOS DE LAS MINAS],SAN CARLOS DE LAS MINAS,1567
[DIVPOL].[NOMPARROQ].&[SAN CARLOS DE LIMÓN],SAN CARLOS DE LIMÓN,143
[DIVPOL].[NOMPARROQ].&[SAN CRISTÓBAL (CARLOS ORDÓÑEZ LAZO)],SAN CRISTÓBAL (CARLOS ORDÓÑEZ LAZO),3185
[DIVPOL].[NOMPARROQ].&[SAN FELIPE DE OÑA CABECERA CANTONAL],SAN FELIPE DE OÑA CABECERA CANTONAL,2270
[DIVPOL].[NOMPARROQ].&[SAN FERNANDO (PASA SAN FERNANDO)],SAN FERNANDO (PASA SAN FERNANDO),1891
"[DIVPOL].[NOMPARROQ].&[SAN FERNANDO, CABECERA CANTONAL]","SAN FERNANDO, CABECERA CANTONAL",1207
[DIVPOL].[NOMPARROQ].&[SAN FRANCISCO],SAN FRANCISCO,1835
[DIVPOL].[NOMPARROQ].&[SAN FRANCISCO DE BORJA (VIRGILIO DÁVILA)],SAN FRANCISCO DE BORJA (VIRGILIO DÁVILA),779
[DIVPOL].[NOMPARROQ].&[SAN FRANCISCO DE CHINIMBIMI],SAN FRANCISCO DE CHINIMBIMI,923
[DIVPOL].[NOMPARROQ].&[SAN FRANCISCO DE NATABUELA],SAN FRANCISCO DE NATABUELA,8556
[DIVPOL].[NOMPARROQ].&[SAN FRANCISCO DE NOVILLO (CAB. EN  NOVILLO)],SAN FRANCISCO DE NOVILLO (CAB. EN  NOVILLO),127
[DIVPOL].[NOMPARROQ].&[SAN FRANCISCO DE ONZOLE],SAN FRANCISCO DE ONZOLE,28
[DIVPOL].[NOMPARROQ].&[SAN FRANCISCO DE SAGEO],SAN FRANCISCO DE SAGEO,1317
[DIVPOL].[NOMPARROQ].&[SAN FRANCISCO DE SIGSIPAMBA],SAN FRANCISCO DE SIGSIPAMBA,91
[DIVPOL].[NOMPARROQ].&[SAN FRANCISCO DEL VERGEL],SAN FRANCISCO DEL VERGEL,298
"[DIVPOL].[NOMPARROQ].&[SAN GABRIEL, CABECERA CANTONAL]","SAN GABRIEL, CABECERA CANTONAL",27858
[DIVPOL].[NOMPARROQ].&[SAN GERARDO],SAN GERARDO,366
[DIVPOL].[NOMPARROQ].&[SAN GERARDO DE PACAICAGUÁN],SAN GERARDO DE PACAICAGUÁN,1929
[DIVPOL].[NOMPARROQ].&[SAN GREGORIO],SAN GREGORIO,1642
[DIVPOL].[NOMPARROQ].&[SAN ISIDRO],SAN ISIDRO,7660
[DIVPOL].[NOMPARROQ].&[SAN ISIDRO DE PATULÚ],SAN ISIDRO DE PATULÚ,2229
[DIVPOL].[NOMPARROQ].&[SAN JACINTO],SAN JACINTO,796
"[DIVPOL].[NOMPARROQ].&[SAN JACINTO DE BUENA FÉ, CABECERA CANTONAL]","SAN JACINTO DE BUENA FÉ, CABECERA CANTONAL",81690
[DIVPOL].[NOMPARROQ].&[SAN JACINTO DE WAKAMBEIS],SAN JACINTO DE WAKAMBEIS,60
"[DIVPOL].[NOMPARROQ].&[SAN JACINTO DE YAGUACHI, CABECERA CANTONAL]","SAN JACINTO DE YAGUACHI, CABECERA CANTONAL",34067
[DIVPOL].[NOMPARROQ].&[SAN JACINTO DEL BÚA],SAN JACINTO DEL BÚA,7288
[DIVPOL].[NOMPARROQ].&[SAN JAVIER DE CACHAVÍ (CAB. EN SAN JAVIER)],SAN JAVIER DE CACHAVÍ (CAB. EN SAN JAVIER),130
[DIVPOL].[NOMPARROQ].&[SAN JOAQUÍN],SAN JOAQUÍN,10893
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ],SAN JOSÉ,1086
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DE ANCÓN],SAN JOSÉ DE ANCÓN,4158
[DIVPOL].[NOMPARROQ].&[SAN JOSE DE AYORA],SAN JOSE DE AYORA,6464
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DE CAYAPAS],SAN JOSÉ DE CAYAPAS,33
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DE CHALTURA],SAN JOSÉ DE CHALTURA,3510
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DE CHAMANGA (CAB.EN CHAMANGA)],SAN JOSÉ DE CHAMANGA (CAB.EN CHAMANGA),2920
"[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DE CHIMBO, CABECERA CANTONAL]","SAN JOSÉ DE CHIMBO, CABECERA CANTONAL",10294
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DE DAHUANO],SAN JOSÉ DE DAHUANO,746
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DE GUAYUSA],SAN JOSÉ DE GUAYUSA,1152
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DE MINAS],SAN JOSÉ DE MINAS,2049
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DE MORONA],SAN JOSÉ DE MORONA,1300
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DE PAYAMINO],SAN JOSÉ DE PAYAMINO,403
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DE POALÓ],SAN JOSÉ DE POALÓ,551
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DE QUICHINCHE],SAN JOSÉ DE QUICHINCHE,4589
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DE RARANGA],SAN JOSÉ DE RARANGA,707
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DEL CHAZO],SAN JOSÉ DEL CHAZO,345
[DIVPOL].[NOMPARROQ].&[SAN JOSÉ DEL TAMBO (TAMBOPAMBA)],SAN JOSÉ DEL TAMBO (TAMBOPAMBA),5277
[DIVPOL].[NOMPARROQ].&[SAN JUAN],SAN JUAN,26444
"[DIVPOL].[NOMPARROQ].&[SAN JUAN BOSCO, CABECERA CANTONAL]","SAN JUAN BOSCO, CABECERA CANTONAL",1701
[DIVPOL].[NOMPARROQ].&[SAN JUAN DE CERRO AZUL],SAN JUAN DE CERRO AZUL,107
[DIVPOL].[NOMPARROQ].&[SAN JUAN DE ILUMÁN],SAN JUAN DE ILUMÁN,7875
[DIVPOL].[NOMPARROQ].&[SAN JUAN DE MUYUNA],SAN JUAN DE MUYUNA,2391
[DIVPOL].[NOMPARROQ].&[SAN JUAN DE PASTOCALLE],SAN JUAN DE PASTOCALLE,10425
[DIVPOL].[NOMPARROQ].&[SAN LORENZO],SAN LORENZO,3740
"[DIVPOL].[NOMPARROQ].&[SAN LORENZO, CABECERA CANTONAL]","SAN LORENZO, CABECERA CANTONAL",31984
[DIVPOL].[NOMPARROQ].&[SAN LUCAS],SAN LUCAS,1850
[DIVPOL].[NOMPARROQ].&[SAN LUIS],SAN LUIS,15543
[DIVPOL].[NOMPARROQ].&[SAN LUIS DE ARMENIA],SAN LUIS DE ARMENIA,1747
[DIVPOL].[NOMPARROQ].&[SAN LUIS DE EL ACHO (CAB. EN EL ACHO)],SAN LUIS DE EL ACHO (CAB. EN EL ACHO),420
[DIVPOL].[NOMPARROQ].&[SAN LUIS DE PAMBIL],SAN LUIS DE PAMBIL,12172
[DIVPOL].[NOMPARROQ].&[SAN MARTÍN DE PUZHIO],SAN MARTÍN DE PUZHIO,514
[DIVPOL].[NOMPARROQ].&[SAN MATEO],SAN MATEO,9767
[DIVPOL].[NOMPARROQ].&[SAN MIGUEL],SAN MIGUEL,2197
[DIVPOL].[NOMPARROQ].&[SAN MIGUEL DE CONCHAY],SAN MIGUEL DE CONCHAY,134
[DIVPOL].[NOMPARROQ].&[SAN MIGUEL DE CUYES],SAN MIGUEL DE CUYES,132
"[DIVPOL].[NOMPARROQ].&[SAN MIGUEL DE IBARRA, CABECERA CANTONAL Y CAPITAL*]","SAN MIGUEL DE IBARRA, CABECERA CANTONAL Y CAPITAL*",475461
"[DIVPOL].[NOMPARROQ].&[SAN MIGUEL DE LOS BANCOS , CABECERA CANTONAL]","SAN MIGUEL DE LOS BANCOS , CABECERA CANTONAL",9474
"[DIVPOL].[NOMPARROQ].&[SAN MIGUEL, CABECERA CANTONAL]","SAN MIGUEL, CABECERA CANTONAL",62066
[DIVPOL].[NOMPARROQ].&[SAN MIGUELITO],SAN MIGUELITO,3033
[DIVPOL].[NOMPARROQ].&[SAN PABLO],SAN PABLO,10031
[DIVPOL].[NOMPARROQ].&[SAN PABLO  (SAN PABLO DE ATENAS)],SAN PABLO  (SAN PABLO DE ATENAS),4008
[DIVPOL].[NOMPARROQ].&[SAN PABLO (CAB. EN PUEBLO NUEVO)],SAN PABLO (CAB. EN PUEBLO NUEVO),185
[DIVPOL].[NOMPARROQ].&[SAN PABLO DE TENTA],SAN PABLO DE TENTA,606
