[DIVADM].[OBJECTID_1].[OBJECTID_1].[MEMBER_UNIQUE_NAME],[DIVADM].[OBJECTID_1].[OBJECTID_1].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[OBJECTID_1].&[212],212,7648
[DIVADM].[OBJECTID_1].&[213],213,4573
[DIVADM].[OBJECTID_1].&[214],214,11412
[DIVADM].[OBJECTID_1].&[215],215,12209
[DIVADM].[OBJECTID_1].&[216],216,7239
[DIVADM].[OBJECTID_1].&[217],217,1861
[DIVADM].[OBJECTID_1].&[218],218,11591
[DIVADM].[OBJECTID_1].&[219],219,7384
[DIVADM].[OBJECTID_1].&[220],220,3431
[DIVADM].[OBJECTID_1].&[221],221,2684
[DIVADM].[OBJECTID_1].&[222],222,1284
[DIVADM].[OBJECTID_1].&[223],223,2838
[DIVADM].[OBJECTID_1].&[224],224,16602
[DIVADM].[OBJECTID_1].&[225],225,6339
[DIVADM].[OBJECTID_1].&[226],226,7128
[DIVADM].[OBJECTID_1].&[227],227,6149
[DIVADM].[OBJECTID_1].&[228],228,4333
[DIVADM].[OBJECTID_1].&[229],229,13392
[DIVADM].[OBJECTID_1].&[230],230,12346
[DIVADM].[OBJECTID_1].&[231],231,44109
[DIVADM].[OBJECTID_1].&[232],232,32784
[DIVADM].[OBJECTID_1].&[233],233,14308
[DIVADM].[OBJECTID_1].&[234],234,12249
[DIVADM].[OBJECTID_1].&[235],235,12489
[DIVADM].[OBJECTID_1].&[236],236,5301
[DIVADM].[OBJECTID_1].&[237],237,5913
[DIVADM].[OBJECTID_1].&[238],238,2062
[DIVADM].[OBJECTID_1].&[239],239,5820
[DIVADM].[OBJECTID_1].&[240],240,2451
[DIVADM].[OBJECTID_1].&[241],241,12877
[DIVADM].[OBJECTID_1].&[242],242,6228
[DIVADM].[OBJECTID_1].&[243],243,316
[DIVADM].[OBJECTID_1].&[244],244,27013
[DIVADM].[OBJECTID_1].&[245],245,2749
[DIVADM].[OBJECTID_1].&[246],246,25046
