[DIVPOL].[OBJECTID_1].[OBJECTID_1].[MEMBER_UNIQUE_NAME],[DIVPOL].[OBJECTID_1].[OBJECTID_1].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[OBJECTID_1].&[154],154,176
[DIVPOL].[OBJECTID_1].&[155],155,3842
[DIVPOL].[OBJECTID_1].&[156],156,1165
[DIVPOL].[OBJECTID_1].&[157],157,9767
[DIVPOL].[OBJECTID_1].&[158],158,933
[DIVPOL].[OBJECTID_1].&[159],159,9311
[DIVPOL].[OBJECTID_1].&[160],160,3366
[DIVPOL].[OBJECTID_1].&[161],161,3384
[DIVPOL].[OBJECTID_1].&[162],162,261
[DIVPOL].[OBJECTID_1].&[163],163,29
[DIVPOL].[OBJECTID_1].&[164],164,9971
[DIVPOL].[OBJECTID_1].&[165],165,2278
[DIVPOL].[OBJECTID_1].&[166],166,23
[DIVPOL].[OBJECTID_1].&[167],167,1512
[DIVPOL].[OBJECTID_1].&[168],168,42
[DIVPOL].[OBJECTID_1].&[169],169,28
[DIVPOL].[OBJECTID_1].&[170],170,16
[DIVPOL].[OBJECTID_1].&[171],171,294
[DIVPOL].[OBJECTID_1].&[172],172,244
[DIVPOL].[OBJECTID_1].&[173],173,850
[DIVPOL].[OBJECTID_1].&[174],174,33
[DIVPOL].[OBJECTID_1].&[175],175,744
[DIVPOL].[OBJECTID_1].&[176],176,14072
[DIVPOL].[OBJECTID_1].&[177],177,491
[DIVPOL].[OBJECTID_1].&[178],178,641
[DIVPOL].[OBJECTID_1].&[179],179,377
[DIVPOL].[OBJECTID_1].&[180],180,49
[DIVPOL].[OBJECTID_1].&[181],181,349
[DIVPOL].[OBJECTID_1].&[182],182,1835
[DIVPOL].[OBJECTID_1].&[183],183,1642
[DIVPOL].[OBJECTID_1].&[184],184,2920
[DIVPOL].[OBJECTID_1].&[185],185,56079
[DIVPOL].[OBJECTID_1].&[186],186,2317
[DIVPOL].[OBJECTID_1].&[187],187,1290
[DIVPOL].[OBJECTID_1].&[188],188,2343
[DIVPOL].[OBJECTID_1].&[189],189,4611
[DIVPOL].[OBJECTID_1].&[190],190,31984
[DIVPOL].[OBJECTID_1].&[191],191,540
[DIVPOL].[OBJECTID_1].&[192],192,36
[DIVPOL].[OBJECTID_1].&[193],193,826
[DIVPOL].[OBJECTID_1].&[194],194,586
[DIVPOL].[OBJECTID_1].&[195],195,23
[DIVPOL].[OBJECTID_1].&[196],196,787
[DIVPOL].[OBJECTID_1].&[197],197,289
[DIVPOL].[OBJECTID_1].&[198],198,130
[DIVPOL].[OBJECTID_1].&[199],199,412
[DIVPOL].[OBJECTID_1].&[200],200,127
[DIVPOL].[OBJECTID_1].&[201],201,605
[DIVPOL].[OBJECTID_1].&[202],202,784
[DIVPOL].[OBJECTID_1].&[203],203,34922
[DIVPOL].[OBJECTID_1].&[204],204,1044
[DIVPOL].[OBJECTID_1].&[205],205,9687
[DIVPOL].[OBJECTID_1].&[206],206,8518
[DIVPOL].[OBJECTID_1].&[207],207,887
[DIVPOL].[OBJECTID_1].&[208],208,175
