[DIVADM].[AREAKM].[AREAKM].[MEMBER_UNIQUE_NAME],[DIVADM].[AREAKM].[AREAKM].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[AREAKM].&[5.8122301E-1],"0,58122301",23344
[DIVADM].[AREAKM].&[5.8216703E-1],"0,58216703",5467
[DIVADM].[AREAKM].&[5.8520699E-1],"0,58520699",10178
[DIVADM].[AREAKM].&[5.8640099E-1],"0,58640099",29683
[DIVADM].[AREAKM].&[5.86568E-1],"0,586568",17607
[DIVADM].[AREAKM].&[5.9224701E-1],"0,59224701",38801
[DIVADM].[AREAKM].&[5.9256101E-1],"0,59256101",4544
[DIVADM].[AREAKM].&[5.93247E-1],"0,593247",12596
[DIVADM].[AREAKM].&[5.9355199E-1],"0,59355199",9499
[DIVADM].[AREAKM].&[5.9355301E-1],"0,59355301",39901
[DIVADM].[AREAKM].&[5.9489101E-1],"0,59489101",21760
[DIVADM].[AREAKM].&[5.9540099E-1],"0,59540099",15256
[DIVADM].[AREAKM].&[6.00977E-1],"0,600977",16547
[DIVADM].[AREAKM].&[6.0120302E-1],"0,60120302",14942
[DIVADM].[AREAKM].&[6.0549599E-1],"0,60549599",11888
[DIVADM].[AREAKM].&[6.0570401E-1],"0,60570401",10976
[DIVADM].[AREAKM].&[6.0676801E-1],"0,60676801",4850
[DIVADM].[AREAKM].&[6.0836703E-1],"0,60836703",24438
[DIVADM].[AREAKM].&[6.09689E-1],"0,609689",11830
[DIVADM].[AREAKM].&[6.1102301E-1],"0,61102301",9970
[DIVADM].[AREAKM].&[6.1106598E-1],"0,61106598",17510
[DIVADM].[AREAKM].&[6.1629301E-1],"0,61629301",33121
[DIVADM].[AREAKM].&[6.2118E-1],"0,62118",18332
[DIVADM].[AREAKM].&[6.2263602E-1],"0,62263602",29554
[DIVADM].[AREAKM].&[6.2291998E-1],"0,62291998",36332
[DIVADM].[AREAKM].&[6.2418199E-1],"0,62418199",4087
[DIVADM].[AREAKM].&[6.2499702E-1],"0,62499702",7726
[DIVADM].[AREAKM].&[6.3191599E-1],"0,63191599",21815
[DIVADM].[AREAKM].&[6.3216799E-1],"0,63216799",19174
[DIVADM].[AREAKM].&[6.3644099E-1],"0,63644099",19124
[DIVADM].[AREAKM].&[6.3950598E-1],"0,63950598",25941
[DIVADM].[AREAKM].&[6.4046001E-1],"0,64046001",28869
[DIVADM].[AREAKM].&[6.4080399E-1],"0,64080399",12966
[DIVADM].[AREAKM].&[6.4351398E-1],"0,64351398",26504
[DIVADM].[AREAKM].&[6.4403301E-1],"0,64403301",14681
[DIVADM].[AREAKM].&[6.4565402E-1],"0,64565402",7060
[DIVADM].[AREAKM].&[6.4715099E-1],"0,64715099",7155
[DIVADM].[AREAKM].&[6.4789498E-1],"0,64789498",10124
[DIVADM].[AREAKM].&[6.4990199E-1],"0,64990199",22296
[DIVADM].[AREAKM].&[6.50002E-1],"0,650002",45054
[DIVADM].[AREAKM].&[6.5073103E-1],"0,65073103",14108
