[DIVPOL].[OBJECTID].[OBJECTID].[MEMBER_UNIQUE_NAME],[DIVPOL].[OBJECTID].[OBJECTID].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[OBJECTID].&[1.8E2],180,49
[DIVPOL].[OBJECTID].&[1.81E2],181,349
[DIVPOL].[OBJECTID].&[1.82E2],182,1835
[DIVPOL].[OBJECTID].&[1.83E2],183,1642
[DIVPOL].[OBJECTID].&[1.84E2],184,2920
[DIVPOL].[OBJECTID].&[1.85E2],185,56079
[DIVPOL].[OBJECTID].&[1.86E2],186,2317
[DIVPOL].[OBJECTID].&[1.87E2],187,1290
[DIVPOL].[OBJECTID].&[1.88E2],188,2343
[DIVPOL].[OBJECTID].&[1.89E2],189,4611
[DIVPOL].[OBJECTID].&[1.9E2],190,31984
[DIVPOL].[OBJECTID].&[1.91E2],191,540
[DIVPOL].[OBJECTID].&[1.92E2],192,36
[DIVPOL].[OBJECTID].&[1.93E2],193,826
[DIVPOL].[OBJECTID].&[1.94E2],194,586
[DIVPOL].[OBJECTID].&[1.95E2],195,23
[DIVPOL].[OBJECTID].&[1.96E2],196,787
[DIVPOL].[OBJECTID].&[1.97E2],197,289
[DIVPOL].[OBJECTID].&[1.98E2],198,130
[DIVPOL].[OBJECTID].&[1.99E2],199,412
[DIVPOL].[OBJECTID].&[2.E2],200,127
[DIVPOL].[OBJECTID].&[2.01E2],201,605
[DIVPOL].[OBJECTID].&[2.02E2],202,784
[DIVPOL].[OBJECTID].&[2.03E2],203,34922
[DIVPOL].[OBJECTID].&[2.04E2],204,1044
[DIVPOL].[OBJECTID].&[2.05E2],205,9687
[DIVPOL].[OBJECTID].&[2.06E2],206,8518
[DIVPOL].[OBJECTID].&[2.07E2],207,887
[DIVPOL].[OBJECTID].&[2.08E2],208,175
[DIVPOL].[OBJECTID].&[2.09E2],209,2636
[DIVPOL].[OBJECTID].&[2.1E2],210,1818
[DIVPOL].[OBJECTID].&[2.11E2],211,3128
[DIVPOL].[OBJECTID].&[2.12E2],212,475461
[DIVPOL].[OBJECTID].&[2.13E2],213,12436
[DIVPOL].[OBJECTID].&[2.14E2],214,1490
[DIVPOL].[OBJECTID].&[2.15E2],215,2953
[DIVPOL].[OBJECTID].&[2.16E2],216,8751
[DIVPOL].[OBJECTID].&[2.17E2],217,4252
[DIVPOL].[OBJECTID].&[2.18E2],218,4800
[DIVPOL].[OBJECTID].&[2.19E2],219,31808
[DIVPOL].[OBJECTID].&[2.2E2],220,41257
[DIVPOL].[OBJECTID].&[2.21E2],221,2104
[DIVPOL].[OBJECTID].&[2.22E2],222,3510
[DIVPOL].[OBJECTID].&[2.23E2],223,8830
[DIVPOL].[OBJECTID].&[2.24E2],224,22092
[DIVPOL].[OBJECTID].&[2.25E2],225,993
[DIVPOL].[OBJECTID].&[2.26E2],226,1074
[DIVPOL].[OBJECTID].&[2.27E2],227,2597
[DIVPOL].[OBJECTID].&[2.28E2],228,643
[DIVPOL].[OBJECTID].&[2.29E2],229,158
[DIVPOL].[OBJECTID].&[2.3E2],230,5203
[DIVPOL].[OBJECTID].&[2.31E2],231,300
[DIVPOL].[OBJECTID].&[2.32E2],232,62
[DIVPOL].[OBJECTID].&[2.33E2],233,97864
[DIVPOL].[OBJECTID].&[2.34E2],234,2712
[DIVPOL].[OBJECTID].&[2.35E2],235,4084
[DIVPOL].[OBJECTID].&[2.36E2],236,4774
[DIVPOL].[OBJECTID].&[2.37E2],237,78
[DIVPOL].[OBJECTID].&[2.38E2],238,4589
[DIVPOL].[OBJECTID].&[2.39E2],239,7875
[DIVPOL].[OBJECTID].&[2.4E2],240,10031
[DIVPOL].[OBJECTID].&[2.41E2],241,1633
[DIVPOL].[OBJECTID].&[2.42E2],242,238
[DIVPOL].[OBJECTID].&[2.43E2],243,16352
[DIVPOL].[OBJECTID].&[2.44E2],244,319
[DIVPOL].[OBJECTID].&[2.45E2],245,172
[DIVPOL].[OBJECTID].&[2.46E2],246,91
[DIVPOL].[OBJECTID].&[2.47E2],247,9422
[DIVPOL].[OBJECTID].&[2.48E2],248,924
[DIVPOL].[OBJECTID].&[2.49E2],249,1051
[DIVPOL].[OBJECTID].&[2.5E2],250,2307
[DIVPOL].[OBJECTID].&[2.51E2],251,2982
[DIVPOL].[OBJECTID].&[2.52E2],252,2391
[DIVPOL].[OBJECTID].&[2.53E2],253,2118
[DIVPOL].[OBJECTID].&[2.54E2],254,1262
[DIVPOL].[OBJECTID].&[2.55E2],255,545
[DIVPOL].[OBJECTID].&[2.56E2],256,2406
[DIVPOL].[OBJECTID].&[2.57E2],257,2897
[DIVPOL].[OBJECTID].&[2.58E2],258,1451
[DIVPOL].[OBJECTID].&[2.59E2],259,11330
[DIVPOL].[OBJECTID].&[2.6E2],260,8114
[DIVPOL].[OBJECTID].&[2.61E2],261,1140
[DIVPOL].[OBJECTID].&[2.62E2],262,4427
[DIVPOL].[OBJECTID].&[2.63E2],263,2284
[DIVPOL].[OBJECTID].&[2.64E2],264,74
[DIVPOL].[OBJECTID].&[2.65E2],265,62
[DIVPOL].[OBJECTID].&[2.66E2],266,854
[DIVPOL].[OBJECTID].&[2.67E2],267,258
[DIVPOL].[OBJECTID].&[2.68E2],268,5740
[DIVPOL].[OBJECTID].&[2.69E2],269,250
[DIVPOL].[OBJECTID].&[2.7E2],270,725
[DIVPOL].[OBJECTID].&[2.71E2],271,2823
[DIVPOL].[OBJECTID].&[2.72E2],272,779
[DIVPOL].[OBJECTID].&[2.73E2],273,21
[DIVPOL].[OBJECTID].&[2.74E2],274,2416
[DIVPOL].[OBJECTID].&[2.75E2],275,116974
[DIVPOL].[OBJECTID].&[2.76E2],276,1228
[DIVPOL].[OBJECTID].&[2.77E2],277,1410
[DIVPOL].[OBJECTID].&[2.78E2],278,2004
[DIVPOL].[OBJECTID].&[2.79E2],279,1214
[DIVPOL].[OBJECTID].&[2.8E2],280,349
[DIVPOL].[OBJECTID].&[2.81E2],281,15
[DIVPOL].[OBJECTID].&[2.82E2],282,75
[DIVPOL].[OBJECTID].&[2.83E2],283,302
[DIVPOL].[OBJECTID].&[2.84E2],284,6643
[DIVPOL].[OBJECTID].&[2.85E2],285,12128
[DIVPOL].[OBJECTID].&[2.86E2],286,1030
[DIVPOL].[OBJECTID].&[2.87E2],287,2423
[DIVPOL].[OBJECTID].&[2.88E2],288,1349
[DIVPOL].[OBJECTID].&[2.89E2],289,4309
[DIVPOL].[OBJECTID].&[2.9E2],290,2687
[DIVPOL].[OBJECTID].&[2.91E2],291,15603
[DIVPOL].[OBJECTID].&[2.92E2],292,2917
[DIVPOL].[OBJECTID].&[2.93E2],293,719
[DIVPOL].[OBJECTID].&[2.94E2],294,4475
[DIVPOL].[OBJECTID].&[2.95E2],295,570
[DIVPOL].[OBJECTID].&[2.96E2],296,43887
[DIVPOL].[OBJECTID].&[2.97E2],297,45644
[DIVPOL].[OBJECTID].&[2.98E2],298,307
[DIVPOL].[OBJECTID].&[2.99E2],299,14347
[DIVPOL].[OBJECTID].&[3.E2],300,335428
[DIVPOL].[OBJECTID].&[3.01E2],301,156923
[DIVPOL].[OBJECTID].&[3.02E2],302,69271
[DIVPOL].[OBJECTID].&[3.03E2],303,218
[DIVPOL].[OBJECTID].&[3.04E2],304,6504
[DIVPOL].[OBJECTID].&[3.05E2],305,26669
[DIVPOL].[OBJECTID].&[3.06E2],306,1190
[DIVPOL].[OBJECTID].&[3.07E2],307,6877
[DIVPOL].[OBJECTID].&[3.08E2],308,26488
[DIVPOL].[OBJECTID].&[3.09E2],309,8044
[DIVPOL].[OBJECTID].&[3.1E2],310,22218
[DIVPOL].[OBJECTID].&[3.11E2],311,6010
[DIVPOL].[OBJECTID].&[3.12E2],312,1374
[DIVPOL].[OBJECTID].&[3.13E2],313,8135
[DIVPOL].[OBJECTID].&[3.14E2],314,21588
[DIVPOL].[OBJECTID].&[3.15E2],315,3825
[DIVPOL].[OBJECTID].&[3.16E2],316,2181
[DIVPOL].[OBJECTID].&[3.17E2],317,1048
[DIVPOL].[OBJECTID].&[3.18E2],318,35460
[DIVPOL].[OBJECTID].&[3.19E2],319,21729
[DIVPOL].[OBJECTID].&[3.2E2],320,51986
[DIVPOL].[OBJECTID].&[3.21E2],321,1771
[DIVPOL].[OBJECTID].&[3.22E2],322,24450
[DIVPOL].[OBJECTID].&[3.23E2],323,64561
[DIVPOL].[OBJECTID].&[3.24E2],324,2049
[DIVPOL].[OBJECTID].&[3.25E2],325,13723
[DIVPOL].[OBJECTID].&[3.26E2],326,105353
[DIVPOL].[OBJECTID].&[3.27E2],327,38004
[DIVPOL].[OBJECTID].&[3.28E2],328,6677
[DIVPOL].[OBJECTID].&[3.29E2],329,63052
[DIVPOL].[OBJECTID].&[3.3E2],330,6002
[DIVPOL].[OBJECTID].&[3.31E2],331,4973
[DIVPOL].[OBJECTID].&[3.32E2],332,1680
[DIVPOL].[OBJECTID].&[3.33E2],333,1325
[DIVPOL].[OBJECTID].&[3.34E2],334,4001
[DIVPOL].[OBJECTID].&[3.35E2],335,75523
[DIVPOL].[OBJECTID].&[3.36E2],336,28499
[DIVPOL].[OBJECTID].&[3.37E2],337,22121
[DIVPOL].[OBJECTID].&[3.38E2],338,1794
[DIVPOL].[OBJECTID].&[3.39E2],339,13505
[DIVPOL].[OBJECTID].&[3.4E2],340,23330
[DIVPOL].[OBJECTID].&[3.41E2],341,24630
[DIVPOL].[OBJECTID].&[3.42E2],342,2231
[DIVPOL].[OBJECTID].&[3.43E2],343,4487
[DIVPOL].[OBJECTID].&[3.44E2],344,2598
[DIVPOL].[OBJECTID].&[3.45E2],345,1909
[DIVPOL].[OBJECTID].&[3.46E2],346,8528
[DIVPOL].[OBJECTID].&[3.47E2],347,381
[DIVPOL].[OBJECTID].&[3.48E2],348,9474
[DIVPOL].[OBJECTID].&[3.49E2],349,4923
[DIVPOL].[OBJECTID].&[3.5E2],350,9786
[DIVPOL].[OBJECTID].&[3.51E2],351,12211
[DIVPOL].[OBJECTID].&[3.52E2],352,2567
[DIVPOL].[OBJECTID].&[3.53E2],353,16092
[DIVPOL].[OBJECTID].&[3.54E2],354,1443
