[DIVPOL].[DPA_PARROQ].[DPA_PARROQ].[MEMBER_UNIQUE_NAME],[DIVPOL].[DPA_PARROQ].[DPA_PARROQ].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[DPA_PARROQ].&[020555],020555,1790
[DIVPOL].[DPA_PARROQ].&[020556],020556,1216
[DIVPOL].[DPA_PARROQ].&[020650],020650,25736
[DIVPOL].[DPA_PARROQ].&[020750],020750,12413
[DIVPOL].[DPA_PARROQ].&[030150],030150,78448
[DIVPOL].[DPA_PARROQ].&[030151],030151,2843
[DIVPOL].[DPA_PARROQ].&[030153],030153,4818
[DIVPOL].[DPA_PARROQ].&[030154],030154,10018
[DIVPOL].[DPA_PARROQ].&[030155],030155,2472
[DIVPOL].[DPA_PARROQ].&[030156],030156,563
[DIVPOL].[DPA_PARROQ].&[030157],030157,293
[DIVPOL].[DPA_PARROQ].&[030158],030158,2197
[DIVPOL].[DPA_PARROQ].&[030160],030160,273
[DIVPOL].[DPA_PARROQ].&[030250],030250,13911
[DIVPOL].[DPA_PARROQ].&[030251],030251,1718
[DIVPOL].[DPA_PARROQ].&[030252],030252,1317
[DIVPOL].[DPA_PARROQ].&[030253],030253,536
[DIVPOL].[DPA_PARROQ].&[030254],030254,475
[DIVPOL].[DPA_PARROQ].&[030350],030350,18362
[DIVPOL].[DPA_PARROQ].&[030351],030351,827
[DIVPOL].[DPA_PARROQ].&[030352],030352,645
[DIVPOL].[DPA_PARROQ].&[030353],030353,543
[DIVPOL].[DPA_PARROQ].&[030354],030354,959
[DIVPOL].[DPA_PARROQ].&[030355],030355,2253
[DIVPOL].[DPA_PARROQ].&[030356],030356,1975
[DIVPOL].[DPA_PARROQ].&[030357],030357,699
[DIVPOL].[DPA_PARROQ].&[030358],030358,374
[DIVPOL].[DPA_PARROQ].&[030361],030361,1478
[DIVPOL].[DPA_PARROQ].&[030362],030362,427
[DIVPOL].[DPA_PARROQ].&[030363],030363,2265
[DIVPOL].[DPA_PARROQ].&[030450],030450,69222
[DIVPOL].[DPA_PARROQ].&[030451],030451,2758
[DIVPOL].[DPA_PARROQ].&[030452],030452,5748
[DIVPOL].[DPA_PARROQ].&[030550],030550,7397
[DIVPOL].[DPA_PARROQ].&[030650],030650,5132
[DIVPOL].[DPA_PARROQ].&[030651],030651,1645
[DIVPOL].[DPA_PARROQ].&[030750],030750,3212
[DIVPOL].[DPA_PARROQ].&[040150],040150,160009
[DIVPOL].[DPA_PARROQ].&[040151],040151,3224
[DIVPOL].[DPA_PARROQ].&[040153],040153,14431
[DIVPOL].[DPA_PARROQ].&[040154],040154,2520
[DIVPOL].[DPA_PARROQ].&[040155],040155,451
[DIVPOL].[DPA_PARROQ].&[040156],040156,22
[DIVPOL].[DPA_PARROQ].&[040157],040157,5177
[DIVPOL].[DPA_PARROQ].&[040158],040158,3612
[DIVPOL].[DPA_PARROQ].&[040159],040159,1194
[DIVPOL].[DPA_PARROQ].&[040161],040161,2023
[DIVPOL].[DPA_PARROQ].&[040250],040250,5802
[DIVPOL].[DPA_PARROQ].&[040251],040251,630
[DIVPOL].[DPA_PARROQ].&[040252],040252,4177
[DIVPOL].[DPA_PARROQ].&[040253],040253,564
[DIVPOL].[DPA_PARROQ].&[040254],040254,1214
[DIVPOL].[DPA_PARROQ].&[040255],040255,473
[DIVPOL].[DPA_PARROQ].&[040350],040350,9166
[DIVPOL].[DPA_PARROQ].&[040351],040351,238
[DIVPOL].[DPA_PARROQ].&[040352],040352,1665
[DIVPOL].[DPA_PARROQ].&[040353],040353,2986
[DIVPOL].[DPA_PARROQ].&[040450],040450,7807
[DIVPOL].[DPA_PARROQ].&[040451],040451,1991
[DIVPOL].[DPA_PARROQ].&[040452],040452,529
[DIVPOL].[DPA_PARROQ].&[040453],040453,317
[DIVPOL].[DPA_PARROQ].&[040550],040550,27858
[DIVPOL].[DPA_PARROQ].&[040551],040551,2229
[DIVPOL].[DPA_PARROQ].&[040552],040552,422
[DIVPOL].[DPA_PARROQ].&[040553],040553,397
[DIVPOL].[DPA_PARROQ].&[040554],040554,4812
[DIVPOL].[DPA_PARROQ].&[040555],040555,72
[DIVPOL].[DPA_PARROQ].&[040650],040650,9085
[DIVPOL].[DPA_PARROQ].&[040651],040651,1164
[DIVPOL].[DPA_PARROQ].&[050150],050150,208729
[DIVPOL].[DPA_PARROQ].&[050151],050151,4357
[DIVPOL].[DPA_PARROQ].&[050152],050152,5071
[DIVPOL].[DPA_PARROQ].&[050153],050153,14567
[DIVPOL].[DPA_PARROQ].&[050154],050154,1880
