[DIVPOL].[DPA_PARROQ].[DPA_PARROQ].[MEMBER_UNIQUE_NAME],[DIVPOL].[DPA_PARROQ].[DPA_PARROQ].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[DPA_PARROQ].&[092850],092850,10928
[DIVPOL].[DPA_PARROQ].&[100150],100150,475461
[DIVPOL].[DPA_PARROQ].&[100151],100151,12436
[DIVPOL].[DPA_PARROQ].&[100152],100152,1490
[DIVPOL].[DPA_PARROQ].&[100153],100153,2953
[DIVPOL].[DPA_PARROQ].&[100154],100154,8751
[DIVPOL].[DPA_PARROQ].&[100155],100155,4252
[DIVPOL].[DPA_PARROQ].&[100156],100156,4800
[DIVPOL].[DPA_PARROQ].&[100157],100157,31808
[DIVPOL].[DPA_PARROQ].&[100250],100250,41257
[DIVPOL].[DPA_PARROQ].&[100251],100251,2104
[DIVPOL].[DPA_PARROQ].&[100252],100252,8556
[DIVPOL].[DPA_PARROQ].&[100253],100253,3510
[DIVPOL].[DPA_PARROQ].&[100254],100254,8830
[DIVPOL].[DPA_PARROQ].&[100350],100350,22092
[DIVPOL].[DPA_PARROQ].&[100351],100351,993
[DIVPOL].[DPA_PARROQ].&[100352],100352,1074
[DIVPOL].[DPA_PARROQ].&[100353],100353,2597
[DIVPOL].[DPA_PARROQ].&[100354],100354,643
[DIVPOL].[DPA_PARROQ].&[100355],100355,158
[DIVPOL].[DPA_PARROQ].&[100356],100356,5203
[DIVPOL].[DPA_PARROQ].&[100357],100357,300
[DIVPOL].[DPA_PARROQ].&[100358],100358,62
[DIVPOL].[DPA_PARROQ].&[100450],100450,97864
[DIVPOL].[DPA_PARROQ].&[100451],100451,2712
[DIVPOL].[DPA_PARROQ].&[100452],100452,4084
[DIVPOL].[DPA_PARROQ].&[100453],100453,4774
[DIVPOL].[DPA_PARROQ].&[100454],100454,78
[DIVPOL].[DPA_PARROQ].&[100455],100455,4589
[DIVPOL].[DPA_PARROQ].&[100456],100456,7875
[DIVPOL].[DPA_PARROQ].&[100457],100457,10031
[DIVPOL].[DPA_PARROQ].&[100458],100458,1633
[DIVPOL].[DPA_PARROQ].&[100459],100459,238
[DIVPOL].[DPA_PARROQ].&[100550],100550,16352
[DIVPOL].[DPA_PARROQ].&[100551],100551,319
[DIVPOL].[DPA_PARROQ].&[100552],100552,172
[DIVPOL].[DPA_PARROQ].&[100553],100553,91
[DIVPOL].[DPA_PARROQ].&[100650],100650,9422
[DIVPOL].[DPA_PARROQ].&[100651],100651,924
[DIVPOL].[DPA_PARROQ].&[100652],100652,478
[DIVPOL].[DPA_PARROQ].&[100653],100653,1051
[DIVPOL].[DPA_PARROQ].&[100654],100654,2307
[DIVPOL].[DPA_PARROQ].&[100655],100655,2982
[DIVPOL].[DPA_PARROQ].&[110150],110150,418303
[DIVPOL].[DPA_PARROQ].&[110151],110151,648
[DIVPOL].[DPA_PARROQ].&[110152],110152,1875
[DIVPOL].[DPA_PARROQ].&[110153],110153,2439
[DIVPOL].[DPA_PARROQ].&[110154],110154,1211
[DIVPOL].[DPA_PARROQ].&[110155],110155,326
[DIVPOL].[DPA_PARROQ].&[110156],110156,11057
[DIVPOL].[DPA_PARROQ].&[110157],110157,1850
[DIVPOL].[DPA_PARROQ].&[110158],110158,2587
[DIVPOL].[DPA_PARROQ].&[110159],110159,1019
[DIVPOL].[DPA_PARROQ].&[110160],110160,2036
[DIVPOL].[DPA_PARROQ].&[110161],110161,7279
[DIVPOL].[DPA_PARROQ].&[110162],110162,671
[DIVPOL].[DPA_PARROQ].&[110163],110163,605
[DIVPOL].[DPA_PARROQ].&[110250],110250,20181
[DIVPOL].[DPA_PARROQ].&[110251],110251,765
[DIVPOL].[DPA_PARROQ].&[110252],110252,889
[DIVPOL].[DPA_PARROQ].&[110253],110253,405
[DIVPOL].[DPA_PARROQ].&[110254],110254,374
[DIVPOL].[DPA_PARROQ].&[110350],110350,45855
[DIVPOL].[DPA_PARROQ].&[110351],110351,3599
[DIVPOL].[DPA_PARROQ].&[110352],110352,580
[DIVPOL].[DPA_PARROQ].&[110353],110353,3069
[DIVPOL].[DPA_PARROQ].&[110354],110354,130
[DIVPOL].[DPA_PARROQ].&[110450],110450,9647
[DIVPOL].[DPA_PARROQ].&[110451],110451,382
[DIVPOL].[DPA_PARROQ].&[110455],110455,1139
[DIVPOL].[DPA_PARROQ].&[110456],110456,1052
[DIVPOL].[DPA_PARROQ].&[110457],110457,169
[DIVPOL].[DPA_PARROQ].&[110550],110550,2543
[DIVPOL].[DPA_PARROQ].&[110551],110551,340
[DIVPOL].[DPA_PARROQ].&[110552],110552,401
[DIVPOL].[DPA_PARROQ].&[110553],110553,420
[DIVPOL].[DPA_PARROQ].&[110554],110554,196
[DIVPOL].[DPA_PARROQ].&[110650],110650,4068
[DIVPOL].[DPA_PARROQ].&[110651],110651,663
[DIVPOL].[DPA_PARROQ].&[110652],110652,743
[DIVPOL].[DPA_PARROQ].&[110653],110653,770
[DIVPOL].[DPA_PARROQ].&[110654],110654,788
[DIVPOL].[DPA_PARROQ].&[110655],110655,572
[DIVPOL].[DPA_PARROQ].&[110656],110656,237
[DIVPOL].[DPA_PARROQ].&[110750],110750,3256
[DIVPOL].[DPA_PARROQ].&[110751],110751,1233
[DIVPOL].[DPA_PARROQ].&[110753],110753,1969
[DIVPOL].[DPA_PARROQ].&[110754],110754,618
[DIVPOL].[DPA_PARROQ].&[110756],110756,651
[DIVPOL].[DPA_PARROQ].&[110850],110850,17442
[DIVPOL].[DPA_PARROQ].&[110851],110851,462
[DIVPOL].[DPA_PARROQ].&[110852],110852,201
[DIVPOL].[DPA_PARROQ].&[110853],110853,933
[DIVPOL].[DPA_PARROQ].&[110950],110950,9223
[DIVPOL].[DPA_PARROQ].&[110951],110951,296
[DIVPOL].[DPA_PARROQ].&[110952],110952,661
[DIVPOL].[DPA_PARROQ].&[110954],110954,465
[DIVPOL].[DPA_PARROQ].&[110956],110956,354
[DIVPOL].[DPA_PARROQ].&[110957],110957,255
[DIVPOL].[DPA_PARROQ].&[110958],110958,691
[DIVPOL].[DPA_PARROQ].&[110959],110959,635
[DIVPOL].[DPA_PARROQ].&[111050],111050,9489
[DIVPOL].[DPA_PARROQ].&[111051],111051,360
[DIVPOL].[DPA_PARROQ].&[111052],111052,250
[DIVPOL].[DPA_PARROQ].&[111053],111053,412
[DIVPOL].[DPA_PARROQ].&[111054],111054,579
[DIVPOL].[DPA_PARROQ].&[111055],111055,367
[DIVPOL].[DPA_PARROQ].&[111150],111150,9601
[DIVPOL].[DPA_PARROQ].&[111151],111151,478
[DIVPOL].[DPA_PARROQ].&[111152],111152,244
[DIVPOL].[DPA_PARROQ].&[111153],111153,332
[DIVPOL].[DPA_PARROQ].&[111154],111154,750
[DIVPOL].[DPA_PARROQ].&[111155],111155,389
[DIVPOL].[DPA_PARROQ].&[111156],111156,606
[DIVPOL].[DPA_PARROQ].&[111157],111157,404
[DIVPOL].[DPA_PARROQ].&[111158],111158,569
[DIVPOL].[DPA_PARROQ].&[111159],111159,1567
[DIVPOL].[DPA_PARROQ].&[111160],111160,266
[DIVPOL].[DPA_PARROQ].&[111250],111250,1418
[DIVPOL].[DPA_PARROQ].&[111251],111251,120
[DIVPOL].[DPA_PARROQ].&[111252],111252,266
[DIVPOL].[DPA_PARROQ].&[111350],111350,6744
[DIVPOL].[DPA_PARROQ].&[111351],111351,107
[DIVPOL].[DPA_PARROQ].&[111352],111352,665
[DIVPOL].[DPA_PARROQ].&[111353],111353,136
[DIVPOL].[DPA_PARROQ].&[111354],111354,596
[DIVPOL].[DPA_PARROQ].&[111355],111355,99
[DIVPOL].[DPA_PARROQ].&[111356],111356,48
[DIVPOL].[DPA_PARROQ].&[111450],111450,4079
[DIVPOL].[DPA_PARROQ].&[111451],111451,276
[DIVPOL].[DPA_PARROQ].&[111452],111452,533
[DIVPOL].[DPA_PARROQ].&[111453],111453,410
[DIVPOL].[DPA_PARROQ].&[111550],111550,3261
[DIVPOL].[DPA_PARROQ].&[111551],111551,222
[DIVPOL].[DPA_PARROQ].&[111552],111552,1278
[DIVPOL].[DPA_PARROQ].&[111650],111650,2092
[DIVPOL].[DPA_PARROQ].&[111651],111651,220
[DIVPOL].[DPA_PARROQ].&[120150],120150,240839
[DIVPOL].[DPA_PARROQ].&[120152],120152,5820
[DIVPOL].[DPA_PARROQ].&[120153],120153,15350
[DIVPOL].[DPA_PARROQ].&[120154],120154,19055
[DIVPOL].[DPA_PARROQ].&[120155],120155,12489
[DIVPOL].[DPA_PARROQ].&[120250],120250,15328
[DIVPOL].[DPA_PARROQ].&[120251],120251,2974
[DIVPOL].[DPA_PARROQ].&[120252],120252,6228
[DIVPOL].[DPA_PARROQ].&[120350],120350,33115
[DIVPOL].[DPA_PARROQ].&[120351],120351,3118
[DIVPOL].[DPA_PARROQ].&[120450],120450,25046
[DIVPOL].[DPA_PARROQ].&[120451],120451,2045
[DIVPOL].[DPA_PARROQ].&[120452],120452,20265
[DIVPOL].[DPA_PARROQ].&[120550],120550,276422
[DIVPOL].[DPA_PARROQ].&[120553],120553,17438
[DIVPOL].[DPA_PARROQ].&[120555],120555,11378
[DIVPOL].[DPA_PARROQ].&[120650],120650,9345
[DIVPOL].[DPA_PARROQ].&[120651],120651,18679
[DIVPOL].[DPA_PARROQ].&[120750],120750,79105
[DIVPOL].[DPA_PARROQ].&[120752],120752,16192
[DIVPOL].[DPA_PARROQ].&[120753],120753,2523
[DIVPOL].[DPA_PARROQ].&[120754],120754,1656
[DIVPOL].[DPA_PARROQ].&[120850],120850,58183
[DIVPOL].[DPA_PARROQ].&[120851],120851,4452
[DIVPOL].[DPA_PARROQ].&[120950],120950,9007
[DIVPOL].[DPA_PARROQ].&[121050],121050,81690
[DIVPOL].[DPA_PARROQ].&[121051],121051,15786
[DIVPOL].[DPA_PARROQ].&[121150],121150,38943
[DIVPOL].[DPA_PARROQ].&[121250],121250,30454
[DIVPOL].[DPA_PARROQ].&[121350],121350,14313
[DIVPOL].[DPA_PARROQ].&[130150],130150,310597
[DIVPOL].[DPA_PARROQ].&[130151],130151,7608
[DIVPOL].[DPA_PARROQ].&[130152],130152,2049
[DIVPOL].[DPA_PARROQ].&[130153],130153,14763
[DIVPOL].[DPA_PARROQ].&[130154],130154,1150
[DIVPOL].[DPA_PARROQ].&[130155],130155,6126
[DIVPOL].[DPA_PARROQ].&[130156],130156,2970
[DIVPOL].[DPA_PARROQ].&[130157],130157,482
[DIVPOL].[DPA_PARROQ].&[130250],130250,22240
[DIVPOL].[DPA_PARROQ].&[130251],130251,337
[DIVPOL].[DPA_PARROQ].&[130252],130252,1306
[DIVPOL].[DPA_PARROQ].&[130350],130350,68382
[DIVPOL].[DPA_PARROQ].&[130351],130351,583
[DIVPOL].[DPA_PARROQ].&[130352],130352,4034
[DIVPOL].[DPA_PARROQ].&[130353],130353,1597
[DIVPOL].[DPA_PARROQ].&[130354],130354,954
[DIVPOL].[DPA_PARROQ].&[130355],130355,1054
[DIVPOL].[DPA_PARROQ].&[130356],130356,2028
[DIVPOL].[DPA_PARROQ].&[130357],130357,2952
[DIVPOL].[DPA_PARROQ].&[130450],130450,54017
[DIVPOL].[DPA_PARROQ].&[130451],130451,1363
[DIVPOL].[DPA_PARROQ].&[130452],130452,1338
[DIVPOL].[DPA_PARROQ].&[130453],130453,2369
[DIVPOL].[DPA_PARROQ].&[130550],130550,8217
[DIVPOL].[DPA_PARROQ].&[130551],130551,127
[DIVPOL].[DPA_PARROQ].&[130552],130552,977
[DIVPOL].[DPA_PARROQ].&[130650],130650,38867
[DIVPOL].[DPA_PARROQ].&[130651],130651,402
[DIVPOL].[DPA_PARROQ].&[130652],130652,1890
[DIVPOL].[DPA_PARROQ].&[130653],130653,454
[DIVPOL].[DPA_PARROQ].&[130654],130654,249
[DIVPOL].[DPA_PARROQ].&[130656],130656,839
[DIVPOL].[DPA_PARROQ].&[130657],130657,738
[DIVPOL].[DPA_PARROQ].&[130658],130658,2990
[DIVPOL].[DPA_PARROQ].&[130750],130750,8498
[DIVPOL].[DPA_PARROQ].&[130850],130850,296912
[DIVPOL].[DPA_PARROQ].&[130851],130851,1368
[DIVPOL].[DPA_PARROQ].&[130852],130852,1648
[DIVPOL].[DPA_PARROQ].&[130950],130950,58981
[DIVPOL].[DPA_PARROQ].&[130952],130952,1669
[DIVPOL].[DPA_PARROQ].&[131050],131050,6590
[DIVPOL].[DPA_PARROQ].&[131051],131051,1218
[DIVPOL].[DPA_PARROQ].&[131052],131052,3747
[DIVPOL].[DPA_PARROQ].&[131053],131053,1227
[DIVPOL].[DPA_PARROQ].&[131054],131054,579
[DIVPOL].[DPA_PARROQ].&[131150],131150,5571
[DIVPOL].[DPA_PARROQ].&[131151],131151,456
[DIVPOL].[DPA_PARROQ].&[131152],131152,1085
[DIVPOL].[DPA_PARROQ].&[131250],131250,23846
[DIVPOL].[DPA_PARROQ].&[131350],131350,10494
[DIVPOL].[DPA_PARROQ].&[131351],131351,1991
[DIVPOL].[DPA_PARROQ].&[131352],131352,993
[DIVPOL].[DPA_PARROQ].&[131353],131353,860
[DIVPOL].[DPA_PARROQ].&[131355],131355,185
[DIVPOL].[DPA_PARROQ].&[131450],131450,23230
[DIVPOL].[DPA_PARROQ].&[131453],131453,13586
[DIVPOL].[DPA_PARROQ].&[131457],131457,3829
[DIVPOL].[DPA_PARROQ].&[131550],131550,19763
[DIVPOL].[DPA_PARROQ].&[131551],131551,1624
[DIVPOL].[DPA_PARROQ].&[131552],131552,1860
[DIVPOL].[DPA_PARROQ].&[131650],131650,4483
[DIVPOL].[DPA_PARROQ].&[131651],131651,827
[DIVPOL].[DPA_PARROQ].&[131652],131652,727
[DIVPOL].[DPA_PARROQ].&[131653],131653,440
[DIVPOL].[DPA_PARROQ].&[131750],131750,37653
[DIVPOL].[DPA_PARROQ].&[131751],131751,6603
[DIVPOL].[DPA_PARROQ].&[131752],131752,4897
[DIVPOL].[DPA_PARROQ].&[131753],131753,541
[DIVPOL].[DPA_PARROQ].&[131850],131850,3112
[DIVPOL].[DPA_PARROQ].&[131950],131950,7506
[DIVPOL].[DPA_PARROQ].&[131951],131951,2353
[DIVPOL].[DPA_PARROQ].&[131952],131952,1869
[DIVPOL].[DPA_PARROQ].&[132050],132050,6591
[DIVPOL].[DPA_PARROQ].&[132150],132150,21233
[DIVPOL].[DPA_PARROQ].&[132250],132250,14217
[DIVPOL].[DPA_PARROQ].&[132251],132251,3589
[DIVPOL].[DPA_PARROQ].&[140150],140150,107335
[DIVPOL].[DPA_PARROQ].&[140151],140151,213
[DIVPOL].[DPA_PARROQ].&[140153],140153,5479
[DIVPOL].[DPA_PARROQ].&[140156],140156,796
[DIVPOL].[DPA_PARROQ].&[140157],140157,17760
[DIVPOL].[DPA_PARROQ].&[140158],140158,1595
[DIVPOL].[DPA_PARROQ].&[140160],140160,278
[DIVPOL].[DPA_PARROQ].&[140162],140162,1579
[DIVPOL].[DPA_PARROQ].&[140164],140164,4539
[DIVPOL].[DPA_PARROQ].&[140250],140250,18384
[DIVPOL].[DPA_PARROQ].&[140251],140251,121
[DIVPOL].[DPA_PARROQ].&[140252],140252,52
[DIVPOL].[DPA_PARROQ].&[140253],140253,4341
[DIVPOL].[DPA_PARROQ].&[140254],140254,117
[DIVPOL].[DPA_PARROQ].&[140255],140255,289
[DIVPOL].[DPA_PARROQ].&[140256],140256,423
[DIVPOL].[DPA_PARROQ].&[140257],140257,132
[DIVPOL].[DPA_PARROQ].&[140258],140258,861
[DIVPOL].[DPA_PARROQ].&[140350],140350,7321
[DIVPOL].[DPA_PARROQ].&[140351],140351,906
[DIVPOL].[DPA_PARROQ].&[140353],140353,673
[DIVPOL].[DPA_PARROQ].&[140356],140356,134
[DIVPOL].[DPA_PARROQ].&[140357],140357,332
[DIVPOL].[DPA_PARROQ].&[140358],140358,1066
[DIVPOL].[DPA_PARROQ].&[140450],140450,10912
[DIVPOL].[DPA_PARROQ].&[140451],140451,812
[DIVPOL].[DPA_PARROQ].&[140452],140452,600
[DIVPOL].[DPA_PARROQ].&[140454],140454,1925
[DIVPOL].[DPA_PARROQ].&[140455],140455,1239
[DIVPOL].[DPA_PARROQ].&[140550],140550,7919
[DIVPOL].[DPA_PARROQ].&[140551],140551,192
[DIVPOL].[DPA_PARROQ].&[140552],140552,480
[DIVPOL].[DPA_PARROQ].&[140553],140553,1141
[DIVPOL].[DPA_PARROQ].&[140554],140554,420
[DIVPOL].[DPA_PARROQ].&[140556],140556,691
[DIVPOL].[DPA_PARROQ].&[140557],140557,923
[DIVPOL].[DPA_PARROQ].&[140650],140650,29107
[DIVPOL].[DPA_PARROQ].&[140651],140651,1960
[DIVPOL].[DPA_PARROQ].&[140652],140652,2793
[DIVPOL].[DPA_PARROQ].&[140655],140655,1265
[DIVPOL].[DPA_PARROQ].&[140750],140750,6252
[DIVPOL].[DPA_PARROQ].&[140751],140751,9598
[DIVPOL].[DPA_PARROQ].&[140850],140850,1701
[DIVPOL].[DPA_PARROQ].&[140851],140851,90
[DIVPOL].[DPA_PARROQ].&[140852],140852,143
[DIVPOL].[DPA_PARROQ].&[140853],140853,60
[DIVPOL].[DPA_PARROQ].&[140854],140854,217
[DIVPOL].[DPA_PARROQ].&[140950],140950,5967
[DIVPOL].[DPA_PARROQ].&[140951],140951,34
[DIVPOL].[DPA_PARROQ].&[140952],140952,1237
[DIVPOL].[DPA_PARROQ].&[140953],140953,393
[DIVPOL].[DPA_PARROQ].&[140954],140954,134
[DIVPOL].[DPA_PARROQ].&[141050],141050,4154
[DIVPOL].[DPA_PARROQ].&[141051],141051,236
[DIVPOL].[DPA_PARROQ].&[141052],141052,1644
[DIVPOL].[DPA_PARROQ].&[141150],141150,4527
[DIVPOL].[DPA_PARROQ].&[141250],141250,3015
[DIVPOL].[DPA_PARROQ].&[141251],141251,1300
[DIVPOL].[DPA_PARROQ].&[141350],141350,4617
[DIVPOL].[DPA_PARROQ].&[150150],150150,71846
[DIVPOL].[DPA_PARROQ].&[150151],150151,2118
[DIVPOL].[DPA_PARROQ].&[150153],150153,1262
[DIVPOL].[DPA_PARROQ].&[150154],150154,545
[DIVPOL].[DPA_PARROQ].&[150155],150155,2406
[DIVPOL].[DPA_PARROQ].&[150156],150156,2897
[DIVPOL].[DPA_PARROQ].&[150157],150157,1451
[DIVPOL].[DPA_PARROQ].&[150158],150158,2391
[DIVPOL].[DPA_PARROQ].&[150350],150350,11330
[DIVPOL].[DPA_PARROQ].&[150352],150352,8114
[DIVPOL].[DPA_PARROQ].&[150354],150354,1140
[DIVPOL].[DPA_PARROQ].&[150356],150356,468
[DIVPOL].[DPA_PARROQ].&[150450],150450,4427
[DIVPOL].[DPA_PARROQ].&[150451],150451,2284
[DIVPOL].[DPA_PARROQ].&[150452],150452,74
[DIVPOL].[DPA_PARROQ].&[150453],150453,62
[DIVPOL].[DPA_PARROQ].&[150454],150454,854
[DIVPOL].[DPA_PARROQ].&[150455],150455,258
[DIVPOL].[DPA_PARROQ].&[150750],150750,5740
[DIVPOL].[DPA_PARROQ].&[150751],150751,250
[DIVPOL].[DPA_PARROQ].&[150752],150752,725
[DIVPOL].[DPA_PARROQ].&[150753],150753,2823
[DIVPOL].[DPA_PARROQ].&[150754],150754,779
[DIVPOL].[DPA_PARROQ].&[150756],150756,21
[DIVPOL].[DPA_PARROQ].&[150950],150950,2416
[DIVPOL].[DPA_PARROQ].&[160150],160150,116974
[DIVPOL].[DPA_PARROQ].&[160152],160152,1228
[DIVPOL].[DPA_PARROQ].&[160154],160154,1410
[DIVPOL].[DPA_PARROQ].&[160155],160155,2004
[DIVPOL].[DPA_PARROQ].&[160156],160156,1214
[DIVPOL].[DPA_PARROQ].&[160157],160157,349
[DIVPOL].[DPA_PARROQ].&[160158],160158,15
[DIVPOL].[DPA_PARROQ].&[160159],160159,75
[DIVPOL].[DPA_PARROQ].&[160161],160161,302
[DIVPOL].[DPA_PARROQ].&[160162],160162,6643
[DIVPOL].[DPA_PARROQ].&[160163],160163,12128
[DIVPOL].[DPA_PARROQ].&[160164],160164,1030
[DIVPOL].[DPA_PARROQ].&[160165],160165,2423
[DIVPOL].[DPA_PARROQ].&[160166],160166,1349
[DIVPOL].[DPA_PARROQ].&[160250],160250,4309
[DIVPOL].[DPA_PARROQ].&[160251],160251,2687
[DIVPOL].[DPA_PARROQ].&[160252],160252,15603
[DIVPOL].[DPA_PARROQ].&[160350],160350,2917
[DIVPOL].[DPA_PARROQ].&[160351],160351,719
[DIVPOL].[DPA_PARROQ].&[160450],160450,4475
[DIVPOL].[DPA_PARROQ].&[160451],160451,570
[DIVPOL].[DPA_PARROQ].&[170150],170150,3841162
[DIVPOL].[DPA_PARROQ].&[170151],170151,43887
[DIVPOL].[DPA_PARROQ].&[170152],170152,45644
[DIVPOL].[DPA_PARROQ].&[170153],170153,307
[DIVPOL].[DPA_PARROQ].&[170154],170154,14347
[DIVPOL].[DPA_PARROQ].&[170155],170155,335428
[DIVPOL].[DPA_PARROQ].&[170156],170156,156923
[DIVPOL].[DPA_PARROQ].&[170157],170157,69271
[DIVPOL].[DPA_PARROQ].&[170158],170158,218
[DIVPOL].[DPA_PARROQ].&[170159],170159,6504
[DIVPOL].[DPA_PARROQ].&[170160],170160,26669
[DIVPOL].[DPA_PARROQ].&[170161],170161,1190
[DIVPOL].[DPA_PARROQ].&[170162],170162,6877
[DIVPOL].[DPA_PARROQ].&[170163],170163,26488
[DIVPOL].[DPA_PARROQ].&[170164],170164,8044
[DIVPOL].[DPA_PARROQ].&[170165],170165,22218
[DIVPOL].[DPA_PARROQ].&[170166],170166,6010
[DIVPOL].[DPA_PARROQ].&[170168],170168,1374
[DIVPOL].[DPA_PARROQ].&[170169],170169,8135
[DIVPOL].[DPA_PARROQ].&[170170],170170,21588
[DIVPOL].[DPA_PARROQ].&[170171],170171,3825
[DIVPOL].[DPA_PARROQ].&[170172],170172,2181
[DIVPOL].[DPA_PARROQ].&[170174],170174,1048
[DIVPOL].[DPA_PARROQ].&[170175],170175,35460
[DIVPOL].[DPA_PARROQ].&[170176],170176,21729
[DIVPOL].[DPA_PARROQ].&[170177],170177,51986
[DIVPOL].[DPA_PARROQ].&[170178],170178,1771
[DIVPOL].[DPA_PARROQ].&[170179],170179,24450
[DIVPOL].[DPA_PARROQ].&[170180],170180,64561
[DIVPOL].[DPA_PARROQ].&[170181],170181,2049
[DIVPOL].[DPA_PARROQ].&[170183],170183,13723
[DIVPOL].[DPA_PARROQ].&[170184],170184,105353
[DIVPOL].[DPA_PARROQ].&[170185],170185,38004
[DIVPOL].[DPA_PARROQ].&[170186],170186,6677
[DIVPOL].[DPA_PARROQ].&[170250],170250,63052
[DIVPOL].[DPA_PARROQ].&[170251],170251,6002
[DIVPOL].[DPA_PARROQ].&[170252],170252,4973
[DIVPOL].[DPA_PARROQ].&[170253],170253,1680
[DIVPOL].[DPA_PARROQ].&[170254],170254,1325
[DIVPOL].[DPA_PARROQ].&[170255],170255,4001
[DIVPOL].[DPA_PARROQ].&[170256],170256,6464
[DIVPOL].[DPA_PARROQ].&[170350],170350,75523
[DIVPOL].[DPA_PARROQ].&[170351],170351,28499
[DIVPOL].[DPA_PARROQ].&[170352],170352,22121
[DIVPOL].[DPA_PARROQ].&[170353],170353,30566
[DIVPOL].[DPA_PARROQ].&[170354],170354,1794
[DIVPOL].[DPA_PARROQ].&[170355],170355,13505
[DIVPOL].[DPA_PARROQ].&[170356],170356,23330
[DIVPOL].[DPA_PARROQ].&[170357],170357,8047
[DIVPOL].[DPA_PARROQ].&[170450],170450,24630
[DIVPOL].[DPA_PARROQ].&[170451],170451,2231
[DIVPOL].[DPA_PARROQ].&[170452],170452,4487
[DIVPOL].[DPA_PARROQ].&[170453],170453,2598
[DIVPOL].[DPA_PARROQ].&[170454],170454,1909
[DIVPOL].[DPA_PARROQ].&[170550],170550,249814
[DIVPOL].[DPA_PARROQ].&[170551],170551,8528
[DIVPOL].[DPA_PARROQ].&[170552],170552,381
[DIVPOL].[DPA_PARROQ].&[170750],170750,9474
[DIVPOL].[DPA_PARROQ].&[170751],170751,4923
[DIVPOL].[DPA_PARROQ].&[170850],170850,9786
[DIVPOL].[DPA_PARROQ].&[170950],170950,12211
[DIVPOL].[DPA_PARROQ].&[180150],180150,598475
[DIVPOL].[DPA_PARROQ].&[180151],180151,2567
[DIVPOL].[DPA_PARROQ].&[180152],180152,16092
[DIVPOL].[DPA_PARROQ].&[180153],180153,6514
[DIVPOL].[DPA_PARROQ].&[180154],180154,1443
[DIVPOL].[DPA_PARROQ].&[180155],180155,25094
[DIVPOL].[DPA_PARROQ].&[180156],180156,28007
[DIVPOL].[DPA_PARROQ].&[180157],180157,4164
[DIVPOL].[DPA_PARROQ].&[180158],180158,4390
[DIVPOL].[DPA_PARROQ].&[180159],180159,2664
[DIVPOL].[DPA_PARROQ].&[180160],180160,8910
[DIVPOL].[DPA_PARROQ].&[180161],180161,4716
[DIVPOL].[DPA_PARROQ].&[180162],180162,3581
[DIVPOL].[DPA_PARROQ].&[180163],180163,11759
[DIVPOL].[DPA_PARROQ].&[180164],180164,1891
[DIVPOL].[DPA_PARROQ].&[180165],180165,28120
[DIVPOL].[DPA_PARROQ].&[180166],180166,16034
[DIVPOL].[DPA_PARROQ].&[180167],180167,5128
[DIVPOL].[DPA_PARROQ].&[180168],180168,4182
[DIVPOL].[DPA_PARROQ].&[180250],180250,40750
[DIVPOL].[DPA_PARROQ].&[180251],180251,365
[DIVPOL].[DPA_PARROQ].&[180252],180252,2346
[DIVPOL].[DPA_PARROQ].&[180253],180253,1428
[DIVPOL].[DPA_PARROQ].&[180254],180254,5201
[DIVPOL].[DPA_PARROQ].&[180350],180350,12040
[DIVPOL].[DPA_PARROQ].&[180450],180450,7249
[DIVPOL].[DPA_PARROQ].&[180451],180451,888
[DIVPOL].[DPA_PARROQ].&[180550],180550,10511
[DIVPOL].[DPA_PARROQ].&[180551],180551,372
[DIVPOL].[DPA_PARROQ].&[180552],180552,727
[DIVPOL].[DPA_PARROQ].&[180553],180553,732
[DIVPOL].[DPA_PARROQ].&[180650],180650,10821
[DIVPOL].[DPA_PARROQ].&[180651],180651,1252
[DIVPOL].[DPA_PARROQ].&[180652],180652,1034
[DIVPOL].[DPA_PARROQ].&[180750],180750,39887
[DIVPOL].[DPA_PARROQ].&[180751],180751,2386
[DIVPOL].[DPA_PARROQ].&[180752],180752,723
[DIVPOL].[DPA_PARROQ].&[180753],180753,798
[DIVPOL].[DPA_PARROQ].&[180754],180754,1066
[DIVPOL].[DPA_PARROQ].&[180755],180755,1163
[DIVPOL].[DPA_PARROQ].&[180756],180756,3645
[DIVPOL].[DPA_PARROQ].&[180757],180757,3503
[DIVPOL].[DPA_PARROQ].&[180758],180758,3832
[DIVPOL].[DPA_PARROQ].&[180850],180850,26789
[DIVPOL].[DPA_PARROQ].&[180851],180851,146
[DIVPOL].[DPA_PARROQ].&[180852],180852,980
[DIVPOL].[DPA_PARROQ].&[180853],180853,587
[DIVPOL].[DPA_PARROQ].&[180854],180854,1856
[DIVPOL].[DPA_PARROQ].&[180855],180855,3713
[DIVPOL].[DPA_PARROQ].&[180856],180856,551
[DIVPOL].[DPA_PARROQ].&[180857],180857,3033
[DIVPOL].[DPA_PARROQ].&[180950],180950,11914
[DIVPOL].[DPA_PARROQ].&[180951],180951,746
[DIVPOL].[DPA_PARROQ].&[190150],190150,25127
[DIVPOL].[DPA_PARROQ].&[190151],190151,3857
[DIVPOL].[DPA_PARROQ].&[190152],190152,1934
[DIVPOL].[DPA_PARROQ].&[190153],190153,184
[DIVPOL].[DPA_PARROQ].&[190155],190155,728
[DIVPOL].[DPA_PARROQ].&[190156],190156,2186
