[DMH_INCIDENT].[GeoRefDiv_PolObjId].[GeoRefDiv_PolObjId].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[GeoRefDiv_PolObjId].[GeoRefDiv_PolObjId].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[148],148,1002
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[149],149,125
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[150],150,221
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[151],151,14362
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[152],152,289115
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[153],153,2374
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[154],154,176
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[155],155,3842
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[156],156,1165
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[157],157,9767
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[158],158,933
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[159],159,9311
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[160],160,3366
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[161],161,3384
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[162],162,261
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[163],163,29
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[164],164,9971
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[165],165,2278
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[166],166,23
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[167],167,1512
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[168],168,42
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[169],169,28
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[170],170,16
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[171],171,294
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[172],172,244
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[173],173,850
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[174],174,33
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[175],175,744
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[176],176,14072
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[177],177,491
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[178],178,641
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[179],179,377
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[180],180,49
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[181],181,349
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[182],182,1835
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[183],183,1642
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[184],184,2920
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[185],185,56079
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[186],186,2317
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[187],187,1290
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[188],188,2343
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[189],189,4611
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[190],190,31984
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[191],191,540
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[192],192,36
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[193],193,826
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[194],194,586
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[195],195,23
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[196],196,787
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[197],197,289
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[198],198,130
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[199],199,412
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[200],200,127
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[201],201,605
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[202],202,784
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[203],203,34922
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[204],204,1044
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[205],205,9687
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[206],206,8518
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[207],207,887
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[208],208,175
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[209],209,2636
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[210],210,1818
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[211],211,3128
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[212],212,475461
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[213],213,12436
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[214],214,1490
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[215],215,2953
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[216],216,8751
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[217],217,4252
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[218],218,4800
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[219],219,31808
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[220],220,41257
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[221],221,2104
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[222],222,3510
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[223],223,8830
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[224],224,22092
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[225],225,993
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[226],226,1074
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[227],227,2597
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[228],228,643
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[229],229,158
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[230],230,5203
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[231],231,300
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[232],232,62
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[233],233,97864
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[234],234,2712
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[235],235,4084
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[236],236,4774
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[237],237,78
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[238],238,4589
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[239],239,7875
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[240],240,10031
